tag,actionable
falaffel,1
Achy arms,0
No motivation,0
90 minute massage,0
Day 1,0
extremely hot weather,0
car travel,1
headache AM,0
Concerned,0
Stomach flare,0
Extreme naseua,0
mangos,1
soy,1
Sunday 9:30 stream,0
s-log,0
Better mood,0
no plans,0
Body ache,0
went swimming,1
hurts all over,0
Went for food,0
Awful,0
happy,0
opened blinds,0
Picked up thyroid medication,0
so i'm kinda dead,0
3 hours jewellery making,0
Ate lots of sweets,0
a lot of muscle pain from washing my feet yesterday,0
Costco ,0
benadryl ,1
moved slowly,0
ate corn meal,1
read NHS powerpoint,0
better with food,0
Stomach upset - morning,0
Project Day,0
feet hurt,0
depo injection,0
Very late night,0
Stuffy nose,0
short nap,1
proud,0
numbness in toes,0
crumble,0
too much chocolate,1
Difficulty Waking,0
slept well again,1
Ran out of butterbur,0
Stressed about health,0
GI Improved over yesterday,0
new bunny,0
Melbourne,0
Came home from vacation,0
congested,0
Errands,0
walked 1/2 mile,0
Stomach flu,0
couldn't sleep because homework,0
post-exercise fatigue,0
spent day in bed,0
Extra fatigue,0
Back Home ,0
Ate crab,1
ride didn't show,0
really awful nausea,0
sharp nerve pain,0
Yelled at by driver - made me cry,0
Day 2 of D-ribose allergy,0
medium tiredness,0
10K steps,1
fatigued,0
Kalb,0
Slept a lot,1
writing work,0
missed zoloft,0
subway,0
masturbated,1
still very tired,0
rainbow belts,0
more than usual that is,0
skipped ADD meds,0
and now i'm kinda dying,0
Friends visited,0
emergency cat vet trip,0
too much work,1
made challah,1
Emma,0
funeral,0
Discouraged about shoulder,0
didn't leave the house,0
12 hours of sleep,1
Mystic SMF,0
did nothing,0
studied,1
Pain easier,0
yay adrenaline,0
Gallbladder,0
Visit from Declan,0
feel like I have been hit by a truck,0
Drooping eyelids,0
If it's not better by monday i'll have to see a dr,0
tingling hands,0
Broken sleep,1
dentist visit,0
flareup,0
no explanation,0
positive,0
angry,0
left house,0
Morwenna's leaving drinks,0
Esther visited,0
In the heat,0
Brittle hair,0
jewish festival,0
new issue,0
Re-twisted ankle,0
which is good,0
pooped today!,0
really fun evening,0
neti pot,0
threw up at the gym,0
spaced out,0
goodwill shoppinh,0
food reaction,0
relaxed day,1
vegg,0
risk of cross-contamination,0
Tylenol,1
Melatonin,1
lunch at restaurant,1
Jeremy Corbyn,0
New food,1
forgot homework,0
hate everyone coughing,0
got up to see meteors,0
Skyrim,1
toes hurt,0
Ate Terribly,1
laundry,1
tight neck,0
lots of dust,0
no walk,0
17K steps,0
date,0
twitching alot,0
Walked a lot,1
stress,1
long shopping  trip,1
15.5 hours of sleep,1
Kaitlyn sick home,0
mango,1
roller derby,0
no fucking Internet,0
Kai,0
cleaned closet,1
Encouraged,0
migraine day,0
It was a bad idea,0
eat two Luna bars,1
First day relapse,0
ate breakfast,1
ME ,0
snuggly cat,1
middleschmertz,0
crash day,0
high humidity,0
knee brace,0
stayed up a bit long,0
afternoon fatigue,0
alcohol yesterday,1
Still recovering from travel,0
Hiding,0
insomnia,0
traveling (car),0
messaged tony,0
did lots of cross stitch,1
cold/flu,0
long rehearsal,0
no food until well after noon,0
drank a lot,1
chewing gum,1
Hopeful about everything BUT shoulder,0
tired in eve,0
3 drinks,1
mexican dinner,1
head didn't like laying down,0
Pain in lower flank,0
ate eggs,1
trauma,0
broken sleep,1
hairdresser,0
wore bad shoes,1
ate garlic,1
Kind of relaxing,0
got stuff done,1
Into the city,1
training,1
commecting to myself,0
Better sleep,1
napped well,1
remembered errands,0
headaches for most of day,0
picnic,1
With alex,0
cobb salad,1
work day,0
Float spa,1
Played derby,1
spoke to doc's secretary - heard about next scan,0
Topiramate,1
did stuff all day,0
Doctor's Appointment,0
worked in sketchbook,0
Depressive episode,0
floppy,0
but i think i've found a solution,0
wee to QE,0
didn't leave my room all day,0
boyfriend,0
Wizard Con,0
slept well,0
Weeded garden,1
depressed,0
finished Keflex,0
so-so,0
rehab,0
minimal exercise,0
cinnamon roll,1
counselor,0
overexerted,0
nausea after meal,0
Stuck in bed,0
argument,0
mr singh's,0
sad,0
PTSD trigger,0
abby accidents,0
deadlifts,0
slept not alone,1
sas,0
anna's suicide,0
OK work day,0
MR data fixed,0
severe pain,1
ritalin comedown,0
bad ,0
Aspie,0
Left work,0
lifting things,1
rough start after a 12 hr sleep,0
but it shouldn't take long to even out,0
drive,1
Feel needy,0
Groceries,1
tooth ache,0
jittery,0
Felt better after walk,0
Sore in the morning,0
Vegan grindhouse,0
still on keflex,0
walking,0
lots of napping,0
Kenilworth to see Derek,0
Went to hospital,0
migraine yesterday,0
fibre,0
slow,0
"Flu-ey",0
tears,0
didn't move much,0
Having my period,0
Kept moving,0
also chamomile is evil,0
raaage,0
psychiatrist,0
ate three meals,1
Assignment Due,0
woke up (wet),0
stayed at ben's,0
also first day without the girls,0
Walked Byron,0
worried,0
not sure what's causing it,0
craving sugar,0
Started cycle,0
sticky shift,0
13K steps,0
Balloons,0
Additional abdominal pain on lower left,0
missed Vyvanse dose,0
Left work at half day,0
I did at least 10 loalds of laudry,0
starting to catch a cold -,0
pushed self,0
acidy day,0
outdoor tidying,0
2nd day on keflex,0
ate spicy food yesterday,1
Soy Sauce,1
last appointment with noah,0
forgot lunch,0
intense dreams,0
afternoon crash,0
feeling of guilt and worthlessness,0
It was going to rain,0
dislocation,0
cramps,0
portfolio work,0
bad cfs,0
vacation,1
Saw fireworks,0
Vets,0
reflective,0
ride home was late,0
really bad morning,0
rest day,1
May's packing,0
hopefully a long sleep tonight will end it anyway,0
coughing,0
Breakfast out,1
Long sleep,0
stomach bug,0
dmv,0
queasy,0
very bad nausea,0
Little alcohol in food,0
Improving ,0
zonked,0
3 hours homework,0
Alhamdulillah,1
blah,0
toothache,0
double zyrtec,0
reading and relaxing,0
morning stiffness,0
INR appointment,0
High fatigue,0
mini golf,0
Wobbly brain,0
High temperarure,0
Fun with friends,0
brushed my teeth yesterday,0
Want to work,0
made dinner,1
breakdown,0
Went to walmart,1
UTI,0
Anna attempted suicide again,0
wired,0
endocrinologist appointment,0
hot weather,0
Went to a festival,0
Play party,0
pacing,0
Walked lots,0
skype (15mins),0
A lot of Stairs,0
grumpy,0
fell back asleep unaware,0
Feel awful,0
lunch with mama,0
sore jaw - stress,0
afternoon coffee,1
sensory play,0
forgot tasks,0
More and more nihilistic,0
Sunday Funday,0
fast heart rate,0
No milk,1
lots of pain,0
traffic,0
Slept extra,1
Walkathon,0
Sat outside in the sun,1
perked up around sunset,0
i've been pretty tired since.... and before for that matter,0
gluten free prezels,1
grouping,0
food hangover,0
might be getting a cold,0
Headache after exercising outdoors,0
different msm brand,0
daytime nap,1
ate almonds,1
Extreme hip pain at bedtime,0
I laughed for ten minutes straight,0
stomach cramping,0
interpersonal interaction,0
saag aloo,0
Stress level improving,0
Lots of pills yesterday,0
curling stress,0
Super productive!,0
forgot meal,0
Rought sleep,0
had a bit of a rest day,0
ankle is still bothering me/swollen,0
Found out about cancer reoccurrence,0
6 days since enbrel,0
difficult to communicate with anyone,0
more energy in the evning,0
consripated,0
went to Doctor,0
back hurts,0
Dnd,0
Worked from home,0
Lots of appointments,0
low motivation ,0
skipped breakfast,0
I miss him but i fucked up,0
Pain ,0
Taco Bell,1
transport fail,0
job interview,0
very hot weather,0
Much family,0
no pills at breakfast,0
low sugars,1
medium stress,0
slightly spicy pepitas,0
lots of people,0
ate a slice of cheese,1
Frazzled,0
exhausted,0
Thursday,0
Hot,0
Light dinner,1
walked,1
empty reservoir,0
tranquil,0
one IPA,0
transport woe,0
cream,1
yoga,1
Just Back from Robert Waghmare's,0
lift x2,1
bad day,0
awake during the night,0
not able to do anything - tried Relpax didn't work this time,0
Last day of three day vacation,0
Sun exposure,0
hot office at work,0
Afternoon mini flare,0
very bad sleep,0
Pms cramps,0
Took it easy,1
Did pilates,0
II camp,0
took a bath ,1
intense bowel movements,0
IBD issues,0
Started period,0
cyr wheel,0
a bit of nausea,0
hopefully i won't get too much payback for it,0
bleeding after sex,0
tidying lab,0
appointment,0
i seem weirdly okay,0
patirnce,0
Babe picnic,0
painsomnia,0
sexual activity,0
grumpy animals,0
rommate not home,0
Mild stress,0
rice drink breakfast,1
manageable pain,0
Darrell,0
cancelled plans,0
STI check,0
hypoglycemic episode,0
fast food,1
feeling down,0
Took a nap,1
PTSD episode,0
got a new mouse,0
new pillow,0
felt sick,0
no exercise,1
plans canceled,0
sugar hangover,0
vomiting,0
last day of period,0
head pain,0
hip pain,0
Massage ,1
social,0
neck spasms,0
yogurt and fruit,1
Aerial hoop,0
Felt cold,0
indoors,0
Day after entyvio,0
Recovering from Migraine,0
nut roast,0
path of exile,0
emailed friends,0
social ,0
At in-laws,0
3 and half years,0
11k steps,1
Depressed,0
dad's birthday dinner,0
Wheelchair outing,0
warm fuzzies,0
feeling sick,0
mall,0
sahm,0
failed stats,0
lots of gas,0
Methotrexate? Effect,0
bpal,0
sewing compulsion,0
Bunny snuggles,1
beef stew,1
didn't knit,0
not hungry,0
too much school,0
glutened,1
headless chicken day,0
hugs,1
depressed day,0
Anoyed,0
No school,0
low energy but functional,0
Visiting family ,0
public transportation,0
'bone tired',0
Woke a lot,0
Nervous,0
really bad day,0
No spoons left,0
drank lots of water,1
got fired,0
Lizzie,0
high pressure,0
Grumpy!,0
travelling,0
Mixed energy levels,0
Datefriend,0
backache,0
outside most of the day,0
cat scratches,0
coco pops,1
URI,0
very active,0
Did housework,0
Slept most of the day,1
Mets game,0
talked with family,1
freaking out,0
migraine in evening,0
scrambed tofu on toast,0
woke at noon thirty,0
haunted house,0
burnt out,0
dead day,0
long nap,0
Tramadol,1
Hike and got lost,0
eating out,1
sore hip,0
Chalet,0
lots going on,0
psychology,0
Work Day,0
ate peppers,1
Sunburn,0
Tried something new,0
took all meds,0
Short drive,0
Regular Day,0
cut right index finger,0
Off sick,0
Poor sleep quality,0
Cleaned house,0
had car,0
housebound,0
had a pretty bad headache yesterday,0
9 glasses of water,0
ate well,1
Twisted ankle,0
Couldn't fall asleep - legs hurt,0
Teared up,0
finished rough draft of booked,0
at odds,0
tidied bedroom,0
abdominal pain after sex,0
not able to work,0
went to town,0
not productive,0
went out yesterday,0
struggled to get up,0
feels like i have been hit by a truck,0
roommate issues,0
ironing,1
bad weather,0
ate cooked nightshades,1
short of breath,0
left sided pain,0
felt positive,0
cashew ice cream,1
Sunny,0
tough half marathon,1
Woke up for no reason at 3 am,0
feeling self destructive,0
ate pizza,1
orange and verveine tea,1
Late to appointment,0
busy day ahead,0
hyperventilating,0
2 cocktails,1
mint chocolates,1
gum pain,0
meh day,0
tiny dinner,0
time with husband,0
started on Cerazette,0
fatigued muscles,0
meal replacement shake,0
Fell asleep twice,0
off meds,0
too many things this week,0
determined,0
partly cloudy ,0
late evening,0
sore joints,0
which is awesome,0
Lots of cleaning,1
gross feeling ,0
150km yday,1
training at work,0
IViG,0
woken up in middle of the night by phone call,0
anxiety dreams,0
ate dairy,1
did chores,0
played games,0
I miss her but i fucked up,0
many symptoms,0
16K steps,1
virus,0
train into downtown,0
partly because i was dehydrated after a 16 hr sleep,0
upset stomach - gurgly and unhappy,0
lots of phone calls,0
Did some tasks,0
went out after work,0
Singing,1
ugh,0
emotional hangover,0
Barometer falling,0
and posted my blog post on fb,0
Did not sing in church,0
30+ weather,0
overwhelmed,0
skipped strattera,0
used oven,0
Gym,1
which probably means it will all blow up in my face soon,0
hyper japan,0
Grandma died,0
dependent,0
loose hips,0
sunny,0
Cooked,0
extremely sensitive teeth,0
Slept 4 hours today,0
Active all day,0
Frustrating,0
distraction,0
JLPT,0
cry,0
seperated,0
bad sleep,0
fragrance reaction,0
river,0
Right hand pain,0
social interaction,0
stayed busy,0
don't care about anything,0
sex,1
some poo,0
Fog,0
slept 7 hours,1
restless legs,0
so out of sorts I missed my MRI today,0
woke up with pink eye and cough like a 50 year old smoker,0
movie,0
guides,0
Very dizzy,0
mostly alone,0
nope,0
immoble,0
Kate brought Hamish over yesterday,0
could not leave house today,0
spicy mock beef,1
Brandy died; hjärta är sten nu,0
incident,0
death,0
Weights,1
neck massage,1
wrist pain,0
Fighting with people,0
leg pain,0
Feeling drained,0
church,1
vascular consultant,0
very sore,0
the nerve pain is horrible tody,0
Cold night,0
minimal snacking,0
treatment,0
resting,0
counselling,0
random digestive system flare,0
and esther came over,0
Harried,0
shabbat,0
nre,0
Hard work,0
bit stressful,0
awake,0
Aquatherapy,1
face hurts,0
Cried,0
day after The Conversation,0
probably shouldn't have,0
Church,1
Cold,0
Field work,0
hurt everywhere - hopefully therapy will avoid surgury,0
slept 8 hours!,1
book club,0
roof of mouth,0
first day of period,0
therapy phone appt,0
Itchy,0
really painful hands,0
very very anxious,0
choking,0
Norwich,0
went to bed early,0
house inspection,0
Found moldy pies,0
knitting,1
post-holiday,0
Daytime nap,1
Lots of kitty love,1
Out all afternoon,0
Self-conscious,0
with friends,0
barometric pressure change,0
Had peach soda,1
two bowel movements,0
zombies run!,0
still a lot of fatigue but less muscle and joint pain,0
Karl,0
cut toenails,0
neck ache,0
Hopeful,0
Derealisation,0
FWB,0
Worked out,0
cinnamon cake,1
very stressfull,0
rice crackers,1
hate everyone,0
parents,0
Skype with C,0
crying,0
t shot,0
corncakes,1
feeling better now after the last two days of blood moon hell,0
fairly productive,0
did bathroom,0
maple syrup,1
Tossed and turned all night,0
Day off,0
low key day,0
i don't even know,0
didn't get enough sleep,0
no right hand physio,0
off my meds,0
date night,0
Thinktank,0
tooth infection,0
nursing school paperwork,0
on edge,0
A bug bit me,0
possible cold,0
spinach risotto,1
Indian food,1
First day of cycle,0
fast paced,0
frantic to get to Scottsdale - panic attack - this is when i need axanx,0
barely left the house,0
forgot pills,0
too much chaos,0
Organic mostly,0
moderate weather,0
terrible stomach reaction,0
good work day,0
emdofedge,0
netflix,0
nosebleed,0
cuddles!,1
difficult to move,0
achey joints,0
Left house without breakfast,0
Mediocre,0
silk painting,0
lots of period cramps,0
Discouraged about increase in shoulder pain,0
thunderstorms expected,0
Siesta,0
I feel lifeless,0
slow coagulation,0
ate lots,1
dry mouth,0
good day!,0
foot pain,0
Around people,0
First discovered breast lump left,0
day after a wedding party,0
second stool 13h,0
relaxed,0
suspect food,0
Ear ringing,0
Anger at others,0
Left shoulder is killing me,0
Worn out from the weekend,0
Well rested,0
physical exhaustion,0
civ,0
LosingMyJob,0
hot day,0
ehhhhhhhhhhhhhhhhhhhhhhhh,0
3 hours sleep,0
I don't remember what I did yesterday,0
trouble breathing,0
woke up with dry eye,0
got up late,0
BACK from Pinetop 4th of July-too much,0
Took 10 mg every hour,0
out to a bar,0
energetic,0
very physizcally active,1
ativan,1
did homework,0
Apartment finished,0
will hopefully fix my elbow problem,0
Sugar reaction,0
gc2b binder,0
napping,0
first tried finbarrs then had to go to rosaliee,0
big burger,1
Some book work,0
essay,0
didn't really eat lunch,1
Probably have some kind of bug,0
rapid mood swing,0
doctor lied,0
very fatigued,0
enjoyable,0
oh and i had a nap,0
some really bad back pain,0
long car ride,0
meh sleep,0
couldn't get home from supermarket,0
Becca Home (for Summer),0
garden,0
took sleeping pill last night,0
Candy,1
Exausted,0
terrible sleep,0
anxious,0
lots to do,0
I feel unlovable,0
an email from kate,0
neck pain,0
no dairy,0
No major exercise,0
Hazmatt,0
Period,0
painful knees,0
Anxious when not active,0
Nurse,0
Temp 15c,0
ovulation,0
11 glasses of water,0
shivers,0
sweaty,0
derealisation episode,0
woke up in the middle of the night,0
caffeine free,0
6 hour nap,0
tried to exercise - but it wore me out - back in bed for a nap,0
Slept in amazing bed,0
while i sat in the study and watched a movie,0
Puppies,1
Pain clinic,0
great,0
Energy,0
popcorn,1
unpacking,0
Organizing,0
Stress 2,0
slept through alarm,0
sleep till late,0
beans and baked potato,1
beef pot pie,1
standing,0
doubt,0
In city,0
very dry eyes,0
chiro apt,0
time with friends ,0
baffled,0
still upset over noel,0
Sugar in evening,1
better today,0
soy or tofu main dish eaten,1
stiff everywhere,0
Feeling speedy,0
rice,1
hurt all over,0
Feel Weak,0
Rested in evening,0
Nutritionist,0
lunch with a friend,0
tired in afternoon,0
Christmas,0
in bed on time,0
had a shower yesterday too,0
mother making lots of small jumps in decision making,0
Travel day three,0
Friends,1
slightly better,0
I feel like a burden,0
Cat ,1
Hazmatt stayed over,0
Hormonal pain,0
Bad stuff day,0
out to lunch,0
Bleurgh,0
Long drive,0
med resistant migrsine,0
8.5 hours of sleep,0
Stayed home from work,0
Stressed ,0
Late sleep,1
watermelon,1
slightly stressed,0
been ill,0
ingress,0
cooked lunch,1
moved house,0
christmas day,0
started Equilibrant,0
cognitive distortions,0
loose shoulder,0
issues paper,0
last day of thesis,0
Triggered,0
bad morning,0
self harm,0
good afternoon at work,0
canned vegetable beef soup,1
plus lots of headaches,0
Woke at 3am,0
Sick and tired of being sick and tired,0
Hungry,0
headache seemed to get better after N,0
Social,1
second Zoladex injection,0
cleaned cage,0
ate grains,1
out to club,1
Sad,0
feeling sick to stomach,0
now sleeps,0
first block on low back,0
ok sleep,0
took shower,0
help walking,0
feel sick in light,0
Not much food,0
Anniversary,0
drop attack 1,0
Kinda worried,0
really painful hands ,0
gross feeling,0
Noise,0
no am meds,0
op shop adventure,0
Poor appetite,0
Sleeping problems,0
painful mouth,0
Noisy,0
Big moving day,0
sean home,0
headaches still absent or mild since starting N,0
chilli,0
bam,0
slimfast,1
just woke up,0
Slugish,0
chilly,0
pudding,0
Amtiriptyline earlier,0
and kind of died,0
Late lunch,1
chills,0
Made step target,0
awful sleep,0
JBR,0
Migraine,0
Was fine until beer,0
need proper alone time,0
festival,0
improved continence,0
Post-party,0
language learning ,0
painful,0
4 hrs sleep,0
tomato,1
co-op,0
job offer,0
Very gassy,0
burlesque,0
cream cheese wantons,1
one glass of wine,1
Shoulder hurts,0
did the treatment thing too,0
walked dog,0
Jen here tomorrow,0
gearing up for big activity day,0
atetonkatsu,0
chore day,0
crazy day with the dog,0
Suuuuper urgent bathroom trip after 6PM,0
daytime zonk,0
OT Appointment,0
going outside every day,0
fibro flare,0
Cortney and Sandi visited,0
marks back,0
dead to start with but improved as the day went on,0
skip day,0
bleeding from rear,0
studying,0
Weekend Workday,0
spoke to Adam,0
hangover,0
Dogs,1
Focused,0
so waiting for that to happen,0
instead of just the 12 hrs then crashing,0
not active much today,0
coconut milk,1
not so good afternoon,0
Hiked,1
humid weather,0
Good AM GI,0
Getting better after being sick,0
Cold ,0
hot dog,1
bit of a cough starting last night,0
Neck & shoulder tension,0
thanksgiving,0
no gluten,1
bone broth,1
bunged up,0
pasta and veggies,1
oreos,1
skipped first metformin,0
used cefaly,0
more xrays on ankle.....,0
MDMA,1
weak legs,0
super tired from last night,0
car accident,0
high humidity day,0
low spoon day,0
cranky,0
post-nasal drip,0
Low work stress,0
sinus,0
and toenails,0
hopeful about GI,0
Very sore belly,0
powerlifting,1
Upped My Glumetza,0
Constant pain,0
heartburn,0
dropping things,0
Pancake Breakfast,1
peppermint tea,1
Pc,0
PT,0
nature,0
Had candy,1
very low pain,0
bed 3am,0
Zoey's first egg- PANIC ATTACK,0
Woke up early,0
a bit of bad reflux yesterday,0
Runny stomach ,0
Enjoyable,0
Orgasm,1
exercises x1,0
feel sick,0
flood triggers,0
Bleeding from rear,0
finished cutting my nails,0
oncoming sinus ick,0
Tried Dog Gone- no success,0
got into a fight with babcia,0
crafted,0
nauseas all night,0
blended EOs,0
painful feet,0
Relapse ,0
Worked overtime,0
Fructose,1
Packing- Stressed but handling it better. Embrace the music of the night.,0
SW Lisa,0
step aerobics,0
noise sensitivity,0
podcasts,0
nervous today - I will take less of the muscle relaxer prescribed to me for pain relief,0
Anxious day,0
Early morning check in,0
Yesterday was a bedridden day,0
39 BPM (heart rate),0
Left knee gave out twice,0
Slept in,0
Upped my meds,0
optimistic,0
lewis came over upset,0
went to work,0
tattoo,0
Took ibuprophen,1
Might be allergic to corn,0
Sore,0
painful left hip,0
heavy limbs etc,0
Difficulty talking,0
cut my nails,0
drink,0
had sex ,1
9.9 headache,0
dust,0
broccoli,0
overcast,0
drawing,0
Woke up nauseous,0
14k steps,0
Had corn for dinner,0
rambled,0
juiced veggies,1
and some abdo gas pain ,0
paul,0
weird dreams,0
6 hours sleep,0
difficulty breathing,0
butrans started,0
weird food day,0
watched Easter Parade,0
very hard to do anything today,0
out of the house,0
lost to found,0
pretzels w sesame seeds,1
mental rehab,0
spent day with others,1
Went out with friends,1
urine infection,0
eye spasms,0
missed obligations,0
not great day,0
Meditative,0
tony's coming tomorrow,0
trigger points,0
heat and humidity,0
Overdid it,0
very social,0
almonds,1
Beach day,0
very few vegetables,1
walk-20 minutes ,0
ate rice last night,1
hard to wake up,0
up early - 10:45,0
Expressed my feelings,0
lots of small icky things,0
In pain,0
overall good day,0
able to get oil changed today-before it is 120 outside,0
tired muscles,0
Project Work Day,0
High BP,0
high sodium,1
swimming,1
Sewing,1
pissed off,0
very tired at end of day,0
errands,0
not a lot of physical activity,0
High heels,0
Dad's birthday,0
want to feel better,0
Period starting soon,0
good bowel movement,0
fridge debacle,0
frustration,0
recovering from drinking,0
massive sugar cravings,0
SAD light,0
Well,0
upping Naltrexone to 1mg alternating with 0.5 for two weeks,0
construction,0
less stressed,0
Warm head,0
felt rested,0
stuck in medical limbo,0
excitement,0
virus?,0
menstruation,0
in the sun,0
small breakfast,1
long commute,0
Hurty feet,0
Very long day,0
Bad belly day,0
Flu-like symptoms,0
Utah,0
started keflex,0
possible soy exposure,0
Up late,0
Long day,0
day one of keflex,0
Slept badly,0
monday,0
and some drawing,0
lie down haircut,0
tough run,0
wake 10am,0
night sweats,0
sleepuu,0
yard work,0
thai food,1
allergy attacks,0
got up early,0
Overwhelmed,0
Stressful discussion,0
the stats don't seem so bad,0
chuck's funeral,0
suicidal,0
way off the diet train! :(,0
Found a new app,0
Agitated,0
Holiday,0
veg-o,0
Max all day,0
Ate s'mores,0
almost panic attacks,0
Did dishes,0
new computer and setup,0
voted,0
Woke up cramping,0
fodmap diet,0
overstimulated,0
hard time functioning,0
anxiety around specific people,0
not sure what caused it,0
have a cold,0
Adam over,0
neighbor yelled at me,0
Dinner with violet,0
Don't wanna get up,0
cleaned bun cage,0
ringing ears,0
no additional painkiller,0
stranded at Bournville,0
but a much much better day after that,0
still think it was muscular,0
