Coconut Oil Pulling,did some homework,Triamcinolone,small breakfast,Sunlight,Acetyl Carnitine,Magnesium glycinate,Magnesium gel,N-Acelcysteine,5-htp,Nasonex,Claritin,Lithium,9 hours sleep,Strattera,Creatine,Clonazepam,Ecural,Synthroid,Soluble Aspirin,Gelatin,8 hours sleep,Borage oil,Famotidine,Vitamin b complex,cuddled kitten,Ranitidine,Probiotic,Physical activity,Astelin,Vitamin C,Dr J study,Physiotherapy,linseed,antihistamines,Panamax,THC,Standing desk,amphetamine salts,Allegra,Klonopin,Singulair,Fish oil,Vitamin b12,bed late,mass transit,Post-op ice device,Zinc,Vitamin d,Melatonin,Mezavant,Nortriptyline,Prednisone,row
,0.0,,0.0,2.0,,2.0,,,2.0,2.0,2.0,,0.0,2.0,,,,,,,0.0,,2.0,2.0,,,,,2.0,2.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,cuddled kitten
,,,,,,,0.0,,,,,0.0,,,2.0,0.0,2.0,0.0,,,,,,,,,0.0,,,,,2.0,0.0,,,,2.0,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,Ranitidine
,,,,,,,0.0,,,,,0.0,,,2.0,0.0,2.0,0.0,,,,,,,,0.0,,,,,,2.0,0.0,,,,2.0,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical activity
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Astelin
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr J study
,,,,,,,2.0,,,,,2.0,,,0.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,,,,2.0,,,,0.0,,,,,2.0,,,,,,2.0,,2.0,2.0,2.0,Physiotherapy
,,,,,,,0.0,,,,,0.0,,,2.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,,,2.0,,,,,2.0,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,linseed
,,,,,0.0,,,2.0,,,,2.0,,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,antihistamines
,,,,,2.0,,,0.0,,,,0.0,,,2.0,0.0,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,Panamax
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,THC
,,,,,,,2.0,,,,,2.0,,,0.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,,,0.0,2.0,,,,,,,,,2.0,,,,,,2.0,,2.0,2.0,2.0,Standing desk
,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphetamine salts
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Allegra
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Klonopin
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,Singulair
,2.0,,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0464018804113,0.0,0.0,0.0,0.0,Fish oil
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,,,,Vitamin b12
,0.0,,0.0,2.0,,2.0,,,2.0,2.0,2.0,,0.0,2.0,,,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,,,,bed late
,0.0,,0.0,2.0,,2.0,,,2.0,2.0,2.0,,0.0,2.0,,,,,,,0.0,,2.0,2.0,0.0,,,,2.0,2.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,,,,mass transit
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,,,,Post-op ice device
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,,,,Zinc
,2.0,,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,0.0464018804113,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,Vitamin d
,2.0,,2.0,0.0,,0.0,,,0.0,0.0,0.0,,2.0,0.0,,,,,,,2.0,,0.0,0.0,2.0,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,,Melatonin
,,,,,,,0.0,,,,,0.0,,,2.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,,,2.0,0.0,,,,2.0,,,,,0.0,,,,,,0.0,,,0.0,0.0,Mezavant
,,,,,2.0,,0.0,0.0,,,,0.171313579047,,,1.92527084472,0.333073575576,2.0,0.0,0.0,,,,,,,0.0,0.0,,,,,2.0,0.0,2.0,0.0,,2.0,,,,,0.0,,,,,,0.0,,0.0,,0.654535552607,Nortriptyline
,,,,,2.0,,0.0,0.0,,,,0.188465658548,,,1.67560202519,0.0703529434059,2.0,0.0,0.0,,,,,,,0.0,0.0,,,,,2.0,0.0,2.0,0.0,,2.0,,,,,0.0,,,,,,0.0,,0.0,0.654535552607,,Prednisone
