Metoprolol,Viibryd,Vitamins,Phyical Therapy - stretches,Fluids,Osteopathy,Ambien CR,gluten free,meds,Plaquenil,distraction,Vitamin b complex,Aloe Detox Water,Caffeine,THC,Turmeric,Allegra,Fish oil,Rest,Post-op ice device,Hobbies,Corticosteroids,Tretinoin,gluten free diet,Language Learning,Aleve,ASMR,Claritin,Strattera,Relaxing,Medical Marijuana,Zofran,Clinda-derm,Hydroxyzine,excedrin migraine,SPD alternative treatments,Pet Therapy,Aga,Astelin,breathing exercises,Vitamin B,SAD Light Box,Melatonin,Vitamin C,Klonopin,Medication,CBD,Zomig,Vitamin b12,Vitamin d,Ice pack,massage,physical therapy,Levothyroxine,Extra Medications,Metformin,Exercise,Armodafinil,Therapy,Weather- rain,Social interactions,Tacrolimus,Sunlight,Tranexamic acid,Mirtazapine,Sertraline,stool softener,Cabergoline,magnesium ionic,Zinc,Meditation,TENS Unit,Dicyclomine,Alcohol,Provigil,Pantoprazole,Magnesium glycinate,5-htp,Ventolin,Fexofenadine,Flo-pred,Topamax,Fluoxetine,eye ointment,Daily walk,Exercise--walking,Achy breaky rub,Famotidine,Enada,strapping of shoulder,Nasonex,Coffee,Progesterone,Essential oils,heating pads,Norco,Adderall,Singulair,Montelukast,Sleep,row
,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,Clinda-derm
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,Hydroxyzine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,SPD alternative treatments
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Pet Therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Aga
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Astelin
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,breathing exercises
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin B
,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SAD Light Box
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Melatonin
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Vitamin C
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Klonopin
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Medication
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,CBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Vitamin b12
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Vitamin d
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,Ice pack
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,massage
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,physical therapy
0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Levothyroxine
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Extra Medications
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metformin
,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Exercise
2.0,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,Armodafinil
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Therapy
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Weather- rain
,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Social interactions
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Tacrolimus
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Sunlight
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Mirtazapine
,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Sertraline
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,stool softener
0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Cabergoline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,magnesium ionic
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Zinc
0.0,0.0,0.0,,0.0,,,0.0,,,,,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,2.0,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,Meditation
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,TENS Unit
,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,Dicyclomine
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,Alcohol
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Provigil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,Magnesium glycinate
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,0.0,,,5-htp
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,Ventolin
