Rest Day,unproductive,hiking,tired,exhausted,Angry,sushi,Storms,Writing,Nap,Browsed library,wrote!,Yoghurt,ate breakfast,dairy,loose shoulder,Suuuuper urgent bathroom trip after 6PM,Played outside,Becca Home (for Summer),stepdown of medication,walked 2 miles,Relaxed,medication issue,worried,magpie,dropped shoulder,Exercise--walking,Period coming,Hair 'wash',elliptical,Cold,music,awake during the night,Noisy,Cat ,knitting,sick,sinua infection,dizzy (pm),sore back in morning,Walked dog,URI,Cat,alcohol,therapy,Dog barking,Slept extra,Fun,slept in chair,Rain ,Cambia,gluten,nausea,feels,Weeded garden,Chinese,Tired,Work Day,Very low appetite,good sleep,Period,walked,thunderstorms,Assembled coat stand,rice noodles,over ate,Ibuprofen,New Chair,ibs issues,Singing,overdid it,Stress: 1,stressed,row
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,loose shoulder
,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,Suuuuper urgent bathroom trip after 6PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Played outside
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Becca Home (for Summer)
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,stepdown of medication
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,walked 2 miles
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Relaxed
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,medication issue
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,worried
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,magpie
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,dropped shoulder
,2.0,2.0,,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,0.0,,,2.0,2.0,2.0,,,,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,2.0,,,2.0,,,,,,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,Exercise--walking
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,Period coming
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Hair 'wash'
,2.0,2.0,,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,2.0,,,2.0,,,,,,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,elliptical
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,Cold
,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,2.0,0.0,,,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,0.0,,,,music
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,awake during the night
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Noisy
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Cat 
,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,2.0,0.0,,,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,0.0,,,,knitting
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,sick
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,sinua infection
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,dizzy (pm)
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,sore back in morning
,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,0.0,2.0,,,,0.0,,,,,2.0,,,2.0,,,,,2.0,,,,,,,2.0,,,,Walked dog
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,URI
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Cat
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,alcohol
,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,0.0,,,,,2.0,,,,0.0,,,,,2.0,,,2.0,,,,,2.0,,,,,,,2.0,,,,therapy
,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,2.0,,,,2.0,,,,,2.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,,0.0,,,,Dog barking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept extra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fun
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,slept in chair
,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,0.0,,,,0.0,2.0,,,,,,,,,2.0,,,2.0,,,,,2.0,,,,,,,2.0,,,,Rain 
,2.0,2.0,,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,,2.0,0.0,,,2.0,2.0,2.0,,,,2.0,2.0,,,2.0,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,Cambia
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,nausea
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,feels
,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,2.0,,,,2.0,0.0,,,,2.0,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,Weeded garden
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Chinese
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tired
,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,2.0,,,,2.0,0.0,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,Work Day
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,Very low appetite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Period
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,walked
,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,2.0,,,,2.0,0.0,,,,2.0,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,thunderstorms
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Assembled coat stand
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,rice noodles
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,over ate
,2.0,2.0,,2.0,2.0,2.0,,2.0,,,2.0,2.0,,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,,2.0,0.0,,,2.0,2.0,2.0,,,,2.0,2.0,,,2.0,,,,,,2.0,,0.0,,2.0,,,2.0,,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,Ibuprofen
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,New Chair
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,ibs issues
,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,,0.0,,2.0,0.0,,,0.0,2.0,2.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,Singing
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,overdid it
,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,2.0,,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,Stress: 1
,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,stressed
