Dicyclomine,Home physio exercises,Phyical Therapy - stretches,Prilosec,Caffeine,Sunlight,Synthroid,Aromatherapy,Tretinoin,Imodium,aqua therapy,Acupuncture,birth control,Magnesium glycinate,Metformin,Veggies,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Relaxing,Low oxalate,Citalopram,Clinda-derm,Allergy Shots,Snooze,gluten free,excedrin migraine,Physio,Topiramate,Achy breaky rub,Pantoprazole,ponstan,Famotidine,DEHA,Vitamin b complex,Trigger Points,Paracatamol with codeine,Enada,Methylcobalamine,Ranitidine,Zomig,therapy session,Tylenol 3,Astelin,Progesterone,Vitamin C,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Tavegyl,THC,Snacks,Prednisone,Allegra,Klonopin,Medication,Goth clubbing,Singulair,Fexofenadine,Fish oil,Osteopathy,psychologist,rebounding,CoQ10,Montelukast,Vitamin b12,Cannabis,Post-op ice device,Zinc,Vitamin d,Methotrexate,Melatonin,Corticosteroids,LUSH acne spot-treatment,massage,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enada
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylcobalamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,1.0,,-1.0,,,-1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,Zomig
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,therapy session
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tylenol 3
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,Astelin
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,1.0,,,,,,-1.0,,,-1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,Progesterone
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,Vitamin C
,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,-1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migraine herb feverfew tablets
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,-1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tavegyl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snacks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,Allegra
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,Klonopin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goth clubbing
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,Singulair
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fexofenadine
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,Fish oil
,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,-1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychologist
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebounding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoQ10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montelukast
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post-op ice device
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,Zinc
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corticosteroids
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUSH acne spot-treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multi-vitamin
