Wear shoulder brace,coconut,napped well,Lying flat,hiking,More stretching,bed day,met a new cat,haircut,3 drinks,short nap,honey,Protecting back,Poor sleep (hotel),Ambien CR,Miralax low dose at night,drank alcohol,ate breakfast,snuggly cat,sugar yesterday,busy,excerise,Zofran,Hydroxyzine,vacation,gluten free,nap,dairy,L-theanine,dairy free,party,rice,exercise,cuddled kitten,Oxynorm,Slept well,Woke Up With Alarm,Superlong nap,mass transit,butternut squash risotto,listen to music ,heating pads,beans,Norco,heavy physcial exertion,Late lunch,Freezie wrap,no breakfast,studied,walked,Better sleep,very little sleep,new environment,bed late,Sleep,l-theanine,cocodamol,Onions,drawing,drank a lot,row
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,short nap
,,,,2.0,,,2.0,,,,,,,,,,2.0,0.0,0.0,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,0.0,2.0,,2.0,,2.0,honey
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Protecting back
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,Poor sleep (hotel)
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Ambien CR
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Miralax low dose at night
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,drank alcohol
2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,4.2130288147e-10,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,ate breakfast
,,,,2.0,,,2.0,,,,0.0,,,,,,2.0,,0.0,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,0.0,2.0,,2.0,,2.0,snuggly cat
,,,,2.0,,,2.0,,,,0.0,,,,,,2.0,0.0,,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,0.0,2.0,,2.0,,2.0,sugar yesterday
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,busy
,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,2.0,2.0,,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,0.0,,0.0,,0.0,excerise
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Zofran
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Hydroxyzine
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,vacation
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,gluten free
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,nap
2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,4.2130288147e-10,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,dairy
,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,2.0,2.0,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,0.0,,0.0,,0.0,L-theanine
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,dairy free
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,party
,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,2.0,2.0,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,0.0,,0.0,,0.0,rice
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,exercise
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,cuddled kitten
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Oxynorm
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,Slept well
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,Woke Up With Alarm
,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,2.0,2.0,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,0.0,,0.0,,0.0,Superlong nap
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,mass transit
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,butternut squash risotto
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,listen to music 
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,heating pads
,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,2.0,2.0,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,0.0,beans
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Norco
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,heavy physcial exertion
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,Late lunch
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,0.0,,Freezie wrap
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,no breakfast
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,2.0,,2.0,,studied
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.0,,2.0,,walked
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,Better sleep
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,2.0,,2.0,,very little sleep
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,2.0,,2.0,,new environment
2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,2.0,,bed late
,,,,2.0,,,2.0,,,,0.0,,,,,,2.0,0.0,0.0,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,2.0,Sleep
,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,2.0,2.0,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,,,0.0,,0.0,l-theanine
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,0.0,,cocodamol
,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,2.0,2.0,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,0.0,,,,0.0,Onions
0.0,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,,,,drawing
,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,2.0,2.0,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,2.0,0.0,,0.0,,,drank a lot
