Vitamins,Selenium,Echinacea,exercise - dancing,Naproxen,Acetaminophen,Relpax,5-htp,Peristeen,Daytime sleep,Cetirizine hydrochloride,Docosahexaenoic acid,occular migraine meds,Gelatin,Biotin,elliptical,Borage oil,Gravol,Vitamin b complex,flu vaccine injection,No red meat,Seasonique,foot brace,Calcium citrate,Nycopro Probiotic,b12 injection,Support worker assistance,Ibuprofen 800mg,Iron,Iodine,catheter,Folic acid,Cetirizine,CrossFit,Glycine,Eicosapentaenoic acid,Coenzyme q-10,Vitamin d,Curcumin,Tolterodine,row
0.0,0.0,,,,,,2.0,,,0.0,0.0,,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,occular migraine meds
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,Gelatin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Borage oil
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,Gravol
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,Vitamin b complex
2.0,2.0,,,,,,0.0,,,2.0,2.0,2.0,,,,,2.0,2.0,,2.0,0.0,2.0,,,2.0,2.0,,2.0,2.0,,,,,2.0,2.0,2.0,,0.0,,flu vaccine injection
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,No red meat
2.0,2.0,,,,,,0.0,,,2.0,2.0,2.0,,,,,2.0,2.0,0.0,2.0,,2.0,,,2.0,2.0,,2.0,2.0,,,,,2.0,2.0,2.0,,0.0,,Seasonique
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,foot brace
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nycopro Probiotic
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,b12 injection
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,,Support worker assistance
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen 800mg
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,2.0,,Iron
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,2.0,,Iodine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrossFit
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,2.0,,Glycine
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,,2.0,,Eicosapentaenoic acid
0.0,0.0,,,,,,2.0,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,2.0,,Coenzyme q-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
2.0,2.0,,,,,,0.0,,,2.0,2.0,2.0,,,,,2.0,2.0,0.0,2.0,0.0,2.0,,,2.0,2.0,,2.0,2.0,,,,,2.0,2.0,2.0,,,,Curcumin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolterodine
