Dicyclomine,Tretinoin,Ritalin,BeachBody OnDemand,Phyical Therapy - stretches,Cyclizine,Osteopathy,Cold Pack,Pantoprazole,Methylprednisolone,Metformin,Tetralabs Gold Caps CBN,Solifenacin,Hydrocortisone,Fexofenadine,Prednisolone,Relaxing,Clinda-derm,digestive enzyme,Passionflower,excedrin migraine,Ingefära,Fludrocortisone,Feverfew,Achy breaky rub,Tetralabs Gold Caps,Piyo,Enada,Mt. Si ACDC 2x Coco Caps,Probiotic,TigerBalm,Progesterone,Vitamin B,Medication,Tranexamic acid,Flexeril,Zomig,Ginger,PeaPure,Montelukast,Vitamin b12,Sleep,Corticosteroids,Florinef,row
0.0,0.0,,,0.0,,0.0,,2.0,,,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,Metformin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,Hydrocortisone
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,Fexofenadine
,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,Prednisolone
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,Relaxing
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,Clinda-derm
,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,digestive enzyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passionflower
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,excedrin migraine
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,Ingefära
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,Fludrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
2.0,2.0,,,2.0,,2.0,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,,,,,,,2.0,,,,0.0,2.0,2.0,2.0,,2.0,,,2.0,,,2.0,,Achy breaky rub
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,Enada
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
2.0,2.0,,,2.0,,2.0,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,,,,0.0,,,2.0,,,,,2.0,2.0,2.0,,2.0,,,2.0,,,2.0,,Progesterone
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,,0.0,0.0,,0.0,,,0.0,,,0.0,,Vitamin B
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,Medication
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,Zomig
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,Ginger
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,PeaPure
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,Montelukast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep
0.0,0.0,,,0.0,,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2.0,,,0.0,,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,Corticosteroids
,,,,,,,,,0.0,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,Florinef
