burnt out,proprioception notes,really painful hands ,sleepy,Feel Shakey,depressed,starting down swing ,PAC,loose joints,Recouping,Bactrim,really painful hands,painful,alcohol,no sleep,little down ,Candesartan,sore upper back, Subluxated hip ,okay day,gene blood draw,exercise,headache,lonely,migraine notes,weakness,loose hips,Ibuprofen,New Car!!!,headache free,productive,tense,stepdown of medication,THC,recovering from flight ,Exhausted,stayed up to late last night,prodrome,bad sleep,Rest,Montelukast,Duexis,apathetic,Painful morning,Vitamin d,Recent gaming,happy,Overwhelmed,just blah,row
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,okay day
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,gene blood draw
,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,0.0,0.0,,,,2.0,,,,0.0,0.0,,2.0,,0.0,,,0.0,0.0,,,exercise
,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,2.0,0.0,0.0,,,,2.0,,,,0.0,0.0,,2.0,,0.0,,,0.0,0.0,,,headache
,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,2.0,0.0,0.0,,,,2.0,,,,0.0,0.0,,2.0,,0.0,,,0.0,0.0,,,lonely
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,migraine notes
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,weakness
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,loose hips
,,,,,2.0,,,,,,,,2.0,,,,,,,,2.0,2.0,2.0,,,,,2.0,2.0,,,,0.0,,,,2.0,2.0,,0.0,,2.0,,,2.0,2.0,,,Ibuprofen
,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,2.0,,0.0,,,,2.0,,,,0.0,0.0,,2.0,,0.0,,,0.0,0.0,,,New Car!!!
,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,2.0,0.0,,,,,2.0,,,,0.0,0.0,,2.0,,0.0,,,0.0,0.0,,,headache free
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,productive
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,tense
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,stepdown of medication
,,,,,2.0,,,,,,,,2.0,,,,,,,,2.0,2.0,2.0,,,,0.0,2.0,2.0,,,,,,,,2.0,2.0,,0.0,,2.0,,,2.0,2.0,,,THC
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,recovering from flight 
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,Exhausted
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,stayed up to late last night
,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,2.0,0.0,0.0,,,,2.0,,,,,0.0,,2.0,,0.0,,,0.0,0.0,,,prodrome
,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,2.0,0.0,0.0,,,,2.0,,,,0.0,,,2.0,,0.0,,,0.0,0.0,,,bad sleep
2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,,,0.0,,2.0,0.0,,2.0,2.0,2.0,Rest
,,,,,2.0,,,,,,,,2.0,,,,,,,,2.0,2.0,2.0,,,,0.0,2.0,2.0,,,,0.0,,,,2.0,2.0,,,,2.0,,,2.0,2.0,,,Montelukast
2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,0.0,,,,2.0,0.0,,2.0,2.0,2.0,Duexis
,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,2.0,0.0,0.0,,,,2.0,,,,0.0,0.0,,2.0,,,,,0.0,0.0,,,apathetic
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,,2.0,,0.0,0.0,0.0,Painful morning
2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,0.0,,0.0,,2.0,,,2.0,2.0,2.0,Vitamin d
,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,2.0,0.0,0.0,,,,2.0,,,,0.0,0.0,,2.0,,0.0,,,,0.0,,,Recent gaming
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,happy
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,,0.0,Overwhelmed
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,,just blah
