Alcohol,Dancing,physical therapy,Sunlight,Ambien CR,Magnesium glycinate,5-htp,Nasonex,Claritin,Strattera,Sisu B Calm,Zofran,Hydroxyzine,eye ointment,meds,Therapy,Famotidine,Vitamin b complex,strapping of shoulder,Trigger Points,Astelin,Vitamin C,heating pads,Norco,THC,Allegra,Klonopin,CBD,Singulair,Fish oil,stool softener,Rest,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Ice pack,Melatonin,row
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Hydroxyzine
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,eye ointment
2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,meds
,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Therapy
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Famotidine
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Vitamin b complex
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,strapping of shoulder
,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Trigger Points
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Astelin
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Vitamin C
2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,heating pads
2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,Norco
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,THC
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Allegra
2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,Klonopin
2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,CBD
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Singulair
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,Fish oil
2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,stool softener
2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,2.0,Rest
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,Vitamin b12
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,Post-op ice device
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,Zinc
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,0.0,Vitamin d
2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,Ice pack
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,Melatonin
