essay,Triamcinolone,Elder Carr,nagging mother,clean clothes,home ward,rude internet,late to work,period,tumblr,abby accidents,planning,deadline,good Abby,church,cold,temeraire,burnout warning,art class,taught sunday school,driving,confident,migraine,studying,low food,low money,diarrhea,fun time with family,deadlines,back home,uac meetings,hot,cereal and milk,long drive,up late,meditated,finances,homework,creative urge,sitting,social justice,screenings,creative block,solo shift,visitors,sent out job application,putty,bunny cuddles,ramen,class,hot weather,no work,visiting teachers,meal replacement shake,Infodump,work,good sleep,bad sleep,extremely hot weather,shower,classes,long sleep,clean,work day,saw friends,executive dysfunction,Glucerna shake
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,0.0,,0.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,,
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,0.0,,0.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,,
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,,
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,0.0,,0.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,,
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,,
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,,2.0,2.0,,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,0.0,,0.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,,
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,0.0,,0.0
,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,0.0,,0.0
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,0.0,,0.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,2.0,0.0,,,2.0,,2.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,2.0,0.0,,,2.0,,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,,,2.0,,2.0
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,,0.0,,0.0
,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,,2.0,,2.0
,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,2.0,,,2.0,,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,
,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,0.0,,
