10.5 hours sleep,had a 4 hour nap right after breakfast,Medicinal Herbs,Viibryd,Alcohol,hiking,Migraine Diet,Naltrexone,Levothyroxine,bacon,Caffeine,8.5 hours sleep,ate garlic,8.75 hours sleep,Acetaminophen,spicy food,shopping,daytime nap,ate breakfast,sugar,lift x2,Forever Aloe Berry,busy,Fluoxetine,1 slice of cheese,advil,Armodafinil,espresso,tough half marathon,gluten ,12 hours sleep,gluten free,Ubiquinol,dairy,treadmill,Ibuprophen,washed and exfoliated my feet,ativan,gluten free diet,CoQ10,exercise,Garden of Life Raw Meal,shower,had a bath,laundry,gluten,archery,Woke Up With Alarm,Superlong nap,anti-diarrhea med,Equilibrant,Vitamin C,siracha,Zoloft,no breakfast,Amitryptiline,Metoprolol,Daytime nap,THC,ate legumes,b12 spray,1 slice of cheese ,did lots of cross stitch,Surgical repair of injured shoulder ,ate a slice of cheese,Fish oil,studied,Chocolate after 6pm,stool softener,ate spicy food yesterday,banana,mangos,Cabergoline,11 hours of sleep,Ibuprofen,popcorn,had sex,Meditation,Resrticted diet,ate dinner,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
0.0,,,,,,,2.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,0.0,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,2.0,,,8.5 hours sleep
,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,ate garlic
0.0,,,,,,,2.0,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,0.0,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,2.0,,,8.75 hours sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,spicy food
,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,shopping
0.0,,,,,,,2.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,0.0,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,2.0,,,daytime nap
,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,ate breakfast
,,,2.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,2.0,,,,sugar
,0.0,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,2.0,,,0.0,0.0,,,,,,2.0,2.0,2.0,,,,,,,,,2.0,,0.0,,,2.0,,,2.0,,,,,,,,,,,,2.0,lift x2
,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,Forever Aloe Berry
,,,2.0,,0.0298574998546,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,0.0,,2.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0298574998546,,,,,0.0,0.0,,,,,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,2.0,2.0,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluoxetine
,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,1 slice of cheese
,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,advil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armodafinil
,,,0.0,,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,espresso
,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,tough half marathon
,,,2.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,2.0,,,,gluten 
0.0,,,,,,,2.0,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,0.0,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,2.0,,,12 hours sleep
,,,2.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,2.0,,,,gluten free
,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,2.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,Ubiquinol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,dairy
,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,treadmill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Ibuprophen
,0.0,,,2.0,,2.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,2.0,2.0,,,,,,,,,2.0,,0.0,,,2.0,,,2.0,,,,,,,,,,,,2.0,washed and exfoliated my feet
,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ativan
,,,2.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,2.0,2.0,,,,gluten free diet
,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,,,,2.0,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,2.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,CoQ10
,,,,,0.117647058823,,,,,,,0.0,,,,0.0,,,,,,0.0298574998546,,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,exercise
,,,,,,,,,,,,,,,2.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,Garden of Life Raw Meal
,0.0,,,2.0,,2.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,,,,2.0,2.0,2.0,,,,,,,,,2.0,,0.0,,,2.0,,,2.0,,,,,,,,,,,,2.0,shower
,0.0,,,2.0,,2.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,0.0,,,2.0,,,0.0,,,,,,,2.0,2.0,2.0,,,,,,,,,2.0,,0.0,,,2.0,,,2.0,,,,,,,,,,,,2.0,had a bath
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,laundry
,,,2.0,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,2.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,2.0,2.0,,0.0,,gluten
,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,archery
,,,,,,,,,,,,,,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Woke Up With Alarm
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,2.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,anti-diarrhea med
,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,2.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,Equilibrant
,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,,,,,,,,,,0.0,,2.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,Vitamin C
0.0,,,,,,,2.0,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,2.0,,,siracha
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoloft
,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,no breakfast
,,,0.0,,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,0.0,,2.0,,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,Amitryptiline
,,0.0,2.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,2.0,2.0,,,,Metoprolol
0.0,,,,,,,2.0,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,0.0,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,2.0,,,Daytime nap
2.0,,,,,,,0.0,,2.0,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,,,2.0,0.0,,,,2.0,,,,,,,,2.0,,,0.0,,,THC
0.0,,,,,,,2.0,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,2.0,,,ate legumes
,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,b12 spray
,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,1 slice of cheese 
0.0,0.0,,,2.0,,2.0,1.76590960184,,0.0,,0.0,,0.0,,,,0.0,,,0.0,,,,,,,,,,0.0,,2.0,,,,0.0,,,2.0,,,0.0,0.0,,,,,,2.0,2.0,2.0,0.0,,,,,0.0,2.0,0.0,2.0,,,2.0,,2.0,,0.0,2.0,,,,,,,0.0,,,2.0,,2.0,did lots of cross stitch
2.0,,,,,,,0.0,,2.0,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,0.0,2.0,,,2.0,,,,,2.0,,,,,,,,2.0,,,0.0,,,Surgical repair of injured shoulder 
,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,ate a slice of cheese
,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,2.0,,,,,,0.0,,,,,,,,,,,,0.0,Fish oil
,,,2.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,studied
0.0,,,,,,,2.0,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,0.0,,,0.0,2.0,,,,,,,,,,,,0.0,,,2.0,,,Chocolate after 6pm
,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,,0.0,stool softener
,,,,,,,,,,,,,,,0.0,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate spicy food yesterday
,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,banana
,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,mangos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabergoline
,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,11 hours of sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
0.0,,,,,,,2.0,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.0,0.0,,,0.0,2.0,,,,0.0,,,,,,,,,,,2.0,,,popcorn
,,,0.0,,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,0.0,,2.0,,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,had sex
,,,0.0,,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,0.0,,2.0,,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,Meditation
2.0,,,,,,,0.0,,2.0,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,0.0,2.0,,,2.0,0.0,,,,2.0,,,,,,,,2.0,,,,,,Resrticted diet
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate dinner
,2.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,2.0,2.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,2.0,,,0.0,,,0.0,,,,,,,,,,,,,Pristiq
