Fluvoxamine,bunny cuddles,My Goodness Organics meals,ate breakfast,busy,Feverfew,woke up late,Thyreoidum,Cold Mask,Probiotic,Coenzyme q-10,10K steps,TigerBalm,Magnesium,day at home,Slept most of the day,Medications,Ritalin,gluten free diet,snuggles,Biest,Cannabis CBD capsule 10mg,Zolpidem,Tyrosine,Solifenacin,Prednisolone,grocery shopping,Methylphenidate,Ingefära,Fludrocortisone,Venlafaxine,exercise,Stayed in bed all day,Superlong nap,very active aqua class,listen to music ,Ropinirole,Tavegyl,Walking,Medication,Nortriptyline,stretching,Ginger,Hydrocortisone,digestive enzyme,Vitamin d,Thyrax,Yoga,hiking,physical therapy,A little stressed,had sex,Florinef,Exercise,Topiramate,Dermatologist,worked in garden,Plaquenil,banana,shopping,gluten,Chiropractic,crafting,scary new shit,Midodrine,neuro,Love,Ultrasound,counselor,coconut,Methylprednisolone,AM meds,BeachBody OnDemand,Cyclizine,Cold Pack,Pantoprazole,drank alcohol,mountain biking,dairy,yoga,Vitamin b12,housework,Piyo,knitting,did 7 mins of exercise   woohoo,Voltaren,psychiatrists,tomato,PeaPure,long shopping  trip,Passionflower,row
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,gluten free diet
,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,2.0,,,,2.0,,,,0.0,0.0,,,,,,,,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,snuggles
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Biest
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis CBD capsule 10mg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zolpidem
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Tyrosine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,2.0,2.0,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,,0.0,,,,2.0,2.0,,,,,,,,0.0,0.0,0.0,,,,2.0,2.0,2.0,2.0,0.0,,,,,,,2.0,,,,2.0,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,2.0,,Prednisolone
,,,0.0,,,,,,,2.0,,,,,2.0,0.0,,,,,,,,,,,,,,,0.0,2.0,,,,,,2.0,2.0,,,,,,2.0,,2.0,,0.0,,,,0.0,,2.0,0.0,,,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,0.0,,0.0,,,2.0,,2.0,,,,,grocery shopping
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Methylphenidate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingefära
,,,2.0,2.0,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,0.0,,,,,,,,2.0,2.0,,,,,,,,0.0,0.0,0.0,,,,2.0,2.0,2.0,2.0,0.0,,,,,,,2.0,,,,2.0,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,2.0,,Fludrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venlafaxine
2.0,0.0,,0.0,,,,,,,2.0,0.0,,2.0,,2.0,0.0,,2.0,,,,,2.0,,,0.0,2.0,,,,,2.0,,,,2.0,2.0,2.0,2.0,,,,,,2.0,,1.99982304126,0.0,0.0,,,,1.59340609348,2.0,2.0,0.0,2.0,,,,1.98175503571,0.0,,2.0,2.0,2.0,2.0,2.0,,,,,,,,0.0,2.0,0.0,0.0,,0.0,,,2.0,2.0,2.0,,,,,exercise
,,,2.0,,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,2.0,,,,2.0,,0.0,2.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,Stayed in bed all day
,,2.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,0.0,2.0,,,,,2.0,,,,2.0,,,,,0.0,,,,,,,0.0,2.0,2.0,2.0,,,,0.0436349537449,0.0,0.0,0.00222038816647,2.0,,,,,,,0.0,,,,0.0,,,,,,0.0,2.0,,,,,,,,0.0,,,,,2.0,,,,0.0,2.0,0.0,,Superlong nap
,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,2.0,,,,0.0,,,,,,,,,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,very active aqua class
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,listen to music 
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Ropinirole
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Tavegyl
,,,2.0,,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,2.0,,,,2.0,,0.0,2.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,Walking
,,,2.0,,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,2.0,,,,2.0,,0.0,2.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nortriptyline
,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,stretching
,,,2.0,2.0,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,0.0,,,,0.0,,,,2.0,2.0,,,,,,,,,0.0,0.0,,,,2.0,2.0,2.0,2.0,0.0,,,,,,,2.0,,,,2.0,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,2.0,,Ginger
,,,2.0,2.0,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,0.0,,,,0.0,,,,2.0,2.0,,,,,,,,0.0,,0.0,,,,2.0,2.0,2.0,2.0,0.000204123087507,,,,,,2.0,2.0,,,,2.0,,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,,,,0.0,2.0,,Hydrocortisone
,,,2.0,2.0,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,0.0,,,,0.0,,,,2.0,2.0,,,,,,,,0.0,0.0,,,,,2.0,2.0,2.0,2.0,0.0,,,,,,,2.0,,,,2.0,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,2.0,,digestive enzyme
,,,2.0,,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,2.0,,,,2.0,,0.0,2.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyrax
0.0,2.0,,2.0,,,,,,,0.0,2.0,,0.0,,0.0,2.0,,0.0,,,,,0.0,,,2.0,0.0,,,,1.99982304126,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,2.0,2.0,,,,0.391557186347,0.0,0.0,2.0,0.0,,,,0.0148416174864,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,0.0,2.0,2.0,,2.0,,,0.0,0.0,0.0,,,,,Yoga
2.0,0.0,2.0,0.0,0.0,,0.0,,,,,0.0,,2.0,0.0,,,,2.0,0.0,2.0,,,2.0,,2.0,,2.0,,2.0,,0.0,,0.0436349537449,0.0,,2.0,2.0,,,,0.0,2.0,2.0,2.0,,,2.0,,0.0,0.0,0.0262990104618,2.0,2.0,2.0,,,2.0,,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,,,2.0,,,,,,0.0,2.0,0.00146954840979,,,,,2.0,,2.0,,,2.0,0.0,,hiking
,,,0.0788440145716,0.0,,0.0,,,,2.0,,,,0.0,2.0,0.0,,,0.0,,,,,,2.0,0.0,,,2.0,,0.0,2.0,0.0,0.0,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,,,0.0,,2.0,,0.0,,2.0,,,2.0,,2.0,,,,,,,,0.0,0.0,,0.0,,,2.0,,2.0,,2.0,0.0,,physical therapy
,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,2.0,,,,0.0,0.0,,,,,,,,2.0,2.0,2.0,,,,0.0,0.0,,0.0,2.0,,,,,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,A little stressed
,,2.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,0.0,2.0,,,,,2.0,,,,2.0,,,,0.00222038816647,0.0,,,,,,,0.0,2.0,2.0,2.0,,,,0.0262990104618,0.0,0.0,,2.0,,,,,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,2.0,,,,,2.0,0.0,,had sex
,,,2.0,2.0,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,0.0,,,,0.0,,,,2.0,2.0,,,,,,,,0.0,0.000204123087507,0.0,,,,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,,,,2.0,,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,,,,0.0,2.0,,Florinef
0.0,2.0,,0.0,,,,,,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,1.59340609348,2.0,,,,0.0,0.0,2.0,2.0,,,,,,2.0,,0.391557186347,2.0,0.0,,,,,0.0,2.0,0.0,0.0,,,,0.26436817258,2.0,,0.0,2.0,0.0,0.0,2.0,,,,,,,,2.0,0.0,2.0,0.0,,0.0,,,2.0,0.0,2.0,,,,,Exercise
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,,,,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Topiramate
,,,2.0,,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,2.0,,,,2.0,,,2.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,Dermatologist
,,,0.0,,,,,,,2.0,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,0.0,2.0,,,,,,2.0,2.0,,,,,,2.0,,2.0,,0.0,,,,0.0,,2.0,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,0.0,,0.0,,,2.0,,2.0,,,,,worked in garden
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Plaquenil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,banana
,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,2.0,,,,0.0,0.0,,,,,,,,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,shopping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11022302463e-16,,,,,,,,,,,,,gluten
0.0,2.0,,2.0,,,,,,,0.0,2.0,,0.0,,0.0,2.0,,0.0,,,,,0.0,,,2.0,0.0,,,,1.98175503571,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0148416174864,2.0,2.0,,,,0.26436817258,0.0,0.0,2.0,0.0,,,,,2.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,0.0,2.0,2.0,,2.0,,,0.0,0.0,0.0,,,,,Chiropractic
2.0,0.0,,,,,,,,,,0.0,,2.0,,,,,2.0,,,,,2.0,,,,2.0,,,,0.0,,,,,2.0,2.0,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,2.0,,,,2.0,,,2.0,,2.0,2.0,,,,,,,,,0.0,2.0,0.0,,,,,,,2.0,,,,,,crafting
,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,2.0,,,,0.0,0.0,,,,,,,,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2.0,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,2.0,0.0,,scary new shit
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,,,0.0,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Midodrine
,,,2.0,,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,2.0,,,,2.0,,0.0,2.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,neuro
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,,0.0,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Love
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,0.0,,,,,,,,,,2.0,0.0,2.0,,,,,,,0.0,,,,,,Ultrasound
,,,2.0,,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,2.0,,,,2.0,,0.0,2.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,counselor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,coconut
,,,2.0,2.0,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,0.0,,,,0.0,,,,2.0,2.0,,,,,,,,0.0,0.0,0.0,,,,2.0,2.0,2.0,2.0,0.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,2.0,,Methylprednisolone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
2.0,0.0,,,,,,,,,,0.0,,2.0,,,,,2.0,,,,,2.0,,,,2.0,,,,0.0,,,,,2.0,2.0,,,,,,,,,,2.0,0.0,,,,,2.0,2.0,,,2.0,,,,2.0,0.0,,2.0,,2.0,2.0,,,,,,,,,,2.0,0.0,,,,,,,2.0,,,,,,drank alcohol
0.0,2.0,,,,,,,,,,2.0,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,2.0,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,,,,,0.0,0.0,,,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,,,,,,,,,2.0,,2.0,,,,,,,0.0,,,,,,mountain biking
2.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,2.0,0.0,,,,2.0,0.0,,,,2.0,,2.0,,2.0,,2.0,,0.0,,0.0,0.0,,2.0,2.0,,,,,2.0,2.0,2.0,,,2.0,0.00146954840979,0.0,0.0,0.0,2.0,2.0,2.0,,,2.0,,0.0,1.11022302463e-16,2.0,0.0,0.0,2.0,,2.0,2.0,,,2.0,,,,,,0.0,2.0,,,,,,,,2.0,,,2.0,0.0,,dairy
,,,0.0,,,,,,,2.0,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,0.0,2.0,,,,,,2.0,2.0,,,,,,2.0,,2.0,,0.0,,,,0.0,,2.0,0.0,,,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,,,0.0,,,2.0,,2.0,,,,,yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,0.0,,,,,,,2.0,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,0.0,2.0,,,,,,2.0,2.0,,,,,,2.0,,2.0,,0.0,,,,0.0,,2.0,0.0,,,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,2.0,,,,,housework
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knitting
,,,2.0,,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,2.0,,,,,2.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,0.0,,2.0,,,,2.0,,0.0,2.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,2.0,,2.0,,,,,0.0,,,,,did 7 mins of exercise   woohoo
