Medications,Yoga,hiking,Cod liver oil,physical therapy,IVIG,long sleep,listen to music ,housework,had sex,Acetaminophen,Amitriptyline,Metformin,Dogs,Exercise,Vitamin d,afternoon coffee,Vitamin D3,yoga,lots of walking,good breakfast,busy,mag ox,travel,Zantac,went swimming,Synthroid,day at home,severe pain,allergy shot,gaming,Trileptal,ate breakfast,Psyllium husk,worked in garden,dairy,woke up late,banana,exercise,depo-provera shot,Multi vitamin,Dermatologist,Stayed in bed all day,Superlong nap,shopping,large breakfast,Off work,Chiropractic,ate gluten,Ligament Restore,coursera,cigarettes,Vitamin C,Medication,Slept most of the day,worked,Late lunch,Wellbutrin,psychiatrists,neck massage,Walking,Flexeril,neuro,Quell Unit,home alone,healthy dinner,did 7 mins of exercise   woohoo,new environment,Thyroid-Pro,grocery shopping,Marijuana,walked,windsurfing,Montelukast,cooked,Coenzyme q-10,slept in,Lyrica,made challah,Ibuprofen,cake,Breakfast,counselor,pasta and veggies,massage,row
,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,Metformin
,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Dogs
0.0,0.0,,,0.0,,,,2.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,0.0,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,Exercise
0.0,0.0,,,0.0,,,,2.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,,,0.0,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,0.0,0.0,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,Vitamin d
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,afternoon coffee
,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,Vitamin D3
2.0,2.0,,,2.0,,,,0.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,2.0,0.0,,,,,2.0,,,,,,2.0,0.0,,,,2.0,,2.0,,2.0,,,,0.0,,,0.0,,,,,,2.0,,,,,,,2.0,,,yoga
,,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,lots of walking
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,good breakfast
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,busy
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,0.0,,,,,,,,mag ox
,,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,travel
,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,Zantac
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,went swimming
,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,Synthroid
,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,0.0,2.0,,,,,2.0,,,,,,,,day at home
,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,severe pain
,,,,,,,,,,,2.0,,,,,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,allergy shot
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,gaming
,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,0.0,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,0.0,,,,,,,,Trileptal
2.0,2.0,0.0,,2.0,,2.0,0.0,0.0808695066054,0.0,2.0,,,2.0,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,0.0,0.0,,,0.0,0.00076171130898,0.0,0.0,0.239045997365,0.0,,2.0,0.0,0.0229801194107,0.0,,,2.0,,,0.0,,,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,,,0.0,0.0,,,0.0,,1.36436909985,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,2.0,,,ate breakfast
,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,Psyllium husk
2.0,2.0,,,2.0,,,,0.0,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,2.0,0.0,,,,,2.0,,,,,,2.0,0.0,,,,2.0,,2.0,,2.0,,,,0.0,,,0.0,,,,,,2.0,,,,,,,2.0,,,worked in garden
,,,,,,,0.0,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.00076171130898,,,,0.0,,0.0284638288322,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,0.0,,0.0,,0.0,,,0.0,,,,dairy
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,woke up late
,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,0.0,0.0,,,,,,2.0,0.0,,,,2.0,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,0.0,,,,,,,,banana
2.0,2.0,,,2.0,,0.0,0.0,0.0,,,,,2.0,2.0,2.0,,,0.0,,0.0,0.0,2.0,,,,,0.0,,,0.0,2.0,0.239045997365,,0.0,0.0284638288322,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,,2.0,,,0.0,,,2.0,0.0,,0.0,2.0,2.0,,2.0,,2.0,,,0.0,0.0,,,0.0,,0.384215405713,2.0,,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,,,exercise
,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,0.0,0.0,,,,,0.0,2.0,,,,,2.0,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,0.0,,,,,,,,depo-provera shot
,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Multi vitamin
0.0,0.0,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,0.0,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,Dermatologist
2.0,2.0,,,2.0,,,,0.0,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,2.0,,,,,,2.0,,,,,,2.0,0.0,,,,2.0,,2.0,,2.0,,,,0.0,,,0.0,,,,,,2.0,,,,,,,2.0,,,Stayed in bed all day
,,0.0,,,,0.0,,0.0,0.0,2.0,,,,,,,,,0.0,,,2.0,0.0,,,,0.0,,,,2.0,0.0229801194107,,,,,2.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,,,0.0,2.0,,,,,2.0,,2.0,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,shopping
,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,large breakfast
,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Off work
0.0,0.0,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,,,,,,,0.0,2.0,,,,0.0,,0.0,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,Chiropractic
,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,ate gluten
,,,0.0,,0.0,,,,,,0.0,,,,,2.0,0.0,,,,,,,0.0,,,,,2.0,,,,0.0,,,,,,,2.0,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,0.0,Ligament Restore
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,coursera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cigarettes
,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Vitamin C
0.0,0.0,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,,2.0,,,,0.0,,0.0,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,Medication
2.0,2.0,,,2.0,,,,0.0,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,2.0,0.0,,,,,2.0,,,,,,2.0,,,,,2.0,,2.0,,2.0,,,,0.0,,,0.0,,,,,,2.0,,,,,,,2.0,,,Slept most of the day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worked
,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,2.0,2.0,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,2.0,,,,,2.0,,,,,,,,Late lunch
,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,0.0,0.0,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,0.0,,,,,0.0,,,,,,,,Wellbutrin
0.0,0.0,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,,,0.0,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,psychiatrists
,,0.0,,,,,,0.0,0.0,2.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,neck massage
0.0,0.0,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,Walking
,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
0.0,0.0,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,0.0,,,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,neuro
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quell Unit
,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,home alone
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,healthy dinner
2.0,2.0,,,2.0,,,,0.0,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,2.0,0.0,,,,,2.0,,,,,,2.0,0.0,,,,2.0,,2.0,,2.0,,,,,,,0.0,,,,,,2.0,,,,,,,2.0,,,did 7 mins of exercise   woohoo
,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
2.0,2.0,,,2.0,,,,0.0,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,2.0,0.0,,,,,2.0,,,,,,2.0,0.0,,,,2.0,,2.0,,2.0,,,,0.0,,,,,,,,,2.0,,,,,,,2.0,,,grocery shopping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marijuana
,,,,,,0.0,2.0,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,2.0,1.36436909985,,,2.0,,2.0,0.384215405713,2.0,,,,0.0,,,,,,,,0.0,,,,,0.0,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,walked
,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,0.0,0.0,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,windsurfing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montelukast
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,0.0,,,,cooked
0.0,0.0,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,0.0,,0.0,,,,2.0,,,2.0,,,,,,,,,,,,,0.0,,,Coenzyme q-10
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,,,,slept in
,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,0.0,0.0,,,,,0.0,2.0,0.0,,,,2.0,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,Lyrica
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,made challah
,,2.0,,,,,,2.0,2.0,0.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,cake
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Breakfast
0.0,0.0,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,0.0,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,,,,counselor
,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,pasta and veggies
,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
