Viibryd,Vitamins,Caffeine,Midodrine,Ambien CR,Miralax low dose at night,anti-diarrhea med,ponstan,Mt. Si ACDC 2x Coco Caps,therapy session,skipped lunch,TigerBalm,psychologist,Dandelion tea,Slept a lot,Rest,laxatives,Standing desk,cocodamol,Ritalin,Language Learning,Bicarb on scalp,Human Growth Hormone,Solifenacin,Charcoal,Claritin,Read comics,Methylphenidate,Vitamin,creative writing,exercise,Tetralabs Gold Caps CBN,Buffered Salmon Oil - DHA - EPA,Quiet,linseed,5 or more portions of fruit and veg,eye drops,Meditation,slept in,CBD,CuraMed,Nortriptyline,Ginger,digestive enzyme,Ice pack,Prednesone,massage,Lamictal,Diazepam,Yoga,Didn't shower,Lying flat,Levothyroxine,tavel,Diphenhydramine,Ribose,Dermatologist,Deep Breathing,SAM-E,Trigger Points,Calcium citrate,eye compress,Celebrex,rebounding,Noritriptyline,MMJ,Melatonin,LUSH acne spot-treatment,ate dinner,TENS Unit,Wear shoulder brace,Migraine Diet,Went to the store,Magnesium glycinate,B12 timed release,use exercise bike,eye ointment,Daily walk,Excedrin,Fruit,elliptical,Famotidine,Topical ibuprofen,Enada,Wore arch supports all day,Astelin,Essential oils,heating pads,Norco,Metoprolol,Azathioprine,Iodine,Athlete Vitamin,Pristiq,Ex bike,Cycling,Fluvoxamine,Fluids,Osteopathy,Naproxen,Toprol,Amitriptyline,tumeric extract,pur-absorb iron,gluten free,Vitamin D3,Esopram,Risperidone,Lavender oil,Cambia,N-acetyl cysteine,holiday,coffee,Methylcobalamine,Colpermin,Weighted Blanket,Steps,Tetralabs Gold Caps,Turmeric,Flexeril,Veggies,ate meat,Corticosteroids,Prilosec,ice cream,ASMR,Relaxing,Zofran,Clinda-derm,Ropinirole,Tavegyl,Walking,Medication,Farm,Cerelle,Swept,Contraceptive pill,Tretinoin,Albuterol Inhaler,Extra Medications,Exercise,Bentyl,Biosil,Topiramate,Snooze,Valium,Garden of Life Raw Meal,Calcium,Love,Singulair,Ultrasound,Zinc,counselor,Dicyclomine,Alcohol,Imodium,5-htp,Forever Aloe Berry,Rowing machine,Ibuprofen 600mg,Monteluklast,Ubiquinol,Achy breaky rub,Zopiclone,dairy free,Piyo,Pepto-bismol children's,strapping of shoulder,Magnesium citrate,Cetraben cream,neuro,Deep rest,cough syrup,Oxycodone,Paracetamol,Zantac,wear mask,Had candy,Went to a party,Prednisone,mag ox,Buspirone,Plaquenil,hearing aid,Vitamin b complex,Aloe Detox Water,Oxcarbazepine,Moringa,THC,Swimming,Allegra,Goth clubbing,Guarana & Ginseng,electric wheelchair,AOR Zinc-Copper Balance,Lexapro,Medications,gluten free diet,Texted friend,Tyrosine,Strattera,Low oxalate,Synthroid,excedrin migraine,Quell,ate breakfast,Carbomer eye drops,Acetaminophen plus Codeine Number 3,Pet Therapy,Inderal,Vitamin C,Vitamin B,listen to music ,Probiotics,Gabapentin,breathing exercises,Klonopin,Cetirizine,Pain management,Surgical repair of injured shoulder ,Cranberry extract,Coenzyme q-10,Diclofenac,Vitamin e,Vitamin d,Counseling,physical therapy,Sisu B Calm,Physio,Weather- rain,Feverfew,Naltrexone,Paracatamol with codeine,Chiropractic,Headspace,Glucosamine,Multivitamin,Quell Unit,Sertraline,Allergy Shots,Ibuprofen,BeachBody OnDemand,aqua therapy,Selenium,Sunlight,Burbur-Pinella,mountain biking,colofac mr,Nasonex,Protecting back,Ranitidine,Spironolactone,Voltaren,Migraine herb feverfew tablets,Iron,catheter,psychiatrists,dexamphetamine,Freezie wrap,Snacks,Had peach soda,Resrticted diet,drawing,Multi-vitamin,Phyical Therapy - stretches,Cannabis,Aspirin,Trileptal,DEHA,Magnesium malate,Probiotic,Stretching,Megaspore,Dinner,Magnesium,Amitryptiline,Boswelia Complex,playing music,Gaba,Fish oil,Lyrica,Post-op ice device,Inositol,Home physio exercises,Dancing,Aleve,Fentanyl,Aromatherapy,Compression Stockings,Coffee,pilates,Citalopram,Hydroxyzine,meds,SPD alternative treatments,Low-FODMAP diet,Green Vibrance,Epsom Salts,Played Go fish,Recov Bipeptides,Equilibrant,Thyroid-Pro,Zomig,Hydrocortisone,Vitamin b12,Methotrexate,Tolterodine,More stretching,L-methylfolate,Florinef,Omeprazole,Acupuncture,Metformin,sugar free diet,Armodafinil,Therapy,Wellbutrin,CoQ10,Oxynorm,Morphine,alverine,Tranexamic acid,Citrucel,Thyroid-Pro (CanPrev),b12 spray,stool softener,Cabergoline,Ate junk food,Inolaxol,Cyclizine,Light dinner,Pantoprazole,prayer,birth control,Iberogast,Fexofenadine,Darifenacin,Fluoxetine,Medicinal Herbs,Tylenol 3,Exercise--walking,Benadryl,Cefaly Unit,pain relief,Progesterone,Temazepam,Keppra,pool,walked,Montelukast,Medical Marijuana,Took it easy,Sleep,Passionflower,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skipped lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychologist
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dandelion tea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept a lot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laxatives
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standing desk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,-1.0,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Language Learning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bicarb on scalp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Growth Hormone
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,-1.0,Solifenacin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charcoal
