lots of back pain,walking,can hardly move,sleepy,Active all day,Awful pain upon waking,Felt better when moving,ate breakfast,Happy,Legs hurt when still,Rested,good afternoon at work,Kept moving,Good morning,couldn't focus,Long week,too busy,nausea,Hard to focus,crawled,Couldn't walk,low productivity,still very tired,unproductive,Super Bowl,Overdid it,active early,left school early,content,determined,Crummy eating habits,Legs hurt in morning,exercise,better mood,Ibuprofen,Very bad morning,free,Poor sleep quality,very productive,focused,Went out after work,cocodamol,neck massage,side-effects,Stayed late at work a lot this week,fulfilled,stressed,PC ,Started Deeper Holosync Track,off-roading,legs hurt at work,church,grouchy,nauseated,washed dishes,DONE being addicted to food,happy,Can't fall asleep,relaxed,Bad sleep,better today,benadryl ,awake,worked,much better today!,Long hours,doctor appointment,gentle exercise,Resisted compulsions,aura migraine,Ate poorly,Church,aftereffects,Frazzled,sore shoulder,tired in afternoon,Content,Almost left work,Party,productive,Not well fed,cleansing,back still hurting,Had to lie down at work,Audit,pain,rain,Daytime nap,physio,Bus to work,cleaning,a bit better,WFH morning,Self-conscious,every muscle sore to extreme,No church,Long work day,good sleep,Stomach flu,Rough morning,weightlifting,row
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Rested
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,good afternoon at work
2.0,,2.0,,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,Kept moving
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Good morning
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,couldn't focus
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Long week
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,too busy
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,nausea
2.0,,2.0,,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,Hard to focus
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,crawled
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Couldn't walk
,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,low productivity
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,still very tired
,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,unproductive
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Super Bowl
2.0,,2.0,,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,Overdid it
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,active early
2.0,,2.0,,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,left school early
,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,content
,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,determined
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,,0.0,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Crummy eating habits
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,,,0.0,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Legs hurt in morning
,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,exercise
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,,0.0,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,better mood
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Ibuprofen
2.0,,2.0,,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,,,2.0,,,0.0,0.0,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,Very bad morning
,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,free
0.0,,0.0,,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,2.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,2.0,,,,,2.0,2.0,,2.0,2.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,,,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,,Poor sleep quality
,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,very productive
,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,focused
2.0,,2.0,,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,,0.0,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,Went out after work
2.0,,2.0,,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,,,0.0,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,cocodamol
,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,neck massage
2.0,,2.0,,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,0.0,,,0.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,side-effects
2.0,,2.0,,2.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,0.0,,,2.0,2.0,,2.0,2.0,0.0,,2.0,,,0.0,0.0,,0.0,,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,0.0,2.0,0.0,2.0,2.0,,2.0,0.0,,0.0,,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,Stayed late at work a lot this week
