Wear shoulder brace,Ambien CR,More stretching,physical therapy,Selenium,Burbur-Pinella,Lying flat,Alcohol,Forever Aloe Berry,Zolpidem ER,use exercise bike,Zofran,Hydroxyzine,Lavender oil,eye ointment,gluten free,meds,N-acetyl cysteine,dairy free,Magnesium malate,Green Vibrance,Oxynorm,Epsom Salts,Quell Unit,Garden of Life Raw Meal,heating pads,eye compress,Norco,catheter,eye drops,pool,Gaba,Freezie wrap,CBD,CuraMed,Thyroid-Pro,Zomig,stool softener,Rest,Ice pack,Counseling,cocodamol,Diphenhydramine,Inositol,row
0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,Oxynorm
,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,Epsom Salts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quell Unit
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garden of Life Raw Meal
0.0,2.22044604925e-16,0.0,0.0,,,0.0,0.0,,,,2.22044604925e-16,2.22044604925e-16,,0.0,0.0,0.0,,0.0,,,0.0,,,,,0.0,2.22044604925e-16,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,heating pads
,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,,,,eye compress
0.0,2.22044604925e-16,0.0,0.0,,,0.0,0.0,,,,2.22044604925e-16,2.22044604925e-16,,0.0,0.0,0.0,,0.0,,,0.0,,,,2.22044604925e-16,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,Norco
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,0.0,0.0,,,,,eye drops
,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,pool
,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,Gaba
0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,Freezie wrap
,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,CBD
,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,CuraMed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,stool softener
,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,,,,,Rest
,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,,,Ice pack
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counseling
0.0,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diphenhydramine
,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,Inositol
