played video games,Sewing,Yoga,danced,Syncope,gluten free diet,Caffeine,Went to the store,0.9% Sodium Chloride Solution 1L,had sex,Levothyroxine,Viibryd,Pokemon go,12 hours sleep,ate breakfast,Daily walk,Vitamin D3,cooked,Fluoxetine,Citalopram,travel,Armodafinil,espresso,Vitamin b12,gluten ,sugar,gluten free,hot,8 hours sleep,Groceries,Subling B12,exercise,gaming,shopping,gluten,Went to walmart,Magnesium citrate,Calcium,Zoloft,busy,studied,Amitryptiline,Metoprolol,catheter,housework,Azathioprine,Kuzu,Iodine,home alone,Cinema,did photography,Sleeping pills ,Pentasa,no sleep,Heating Pad,Inactive,Cabergoline,Ibuprofen,electric wheelchair,Meditation,row
2.0,,,,,,,,,,,,0.0,2.0,,,0.0,,,,,,,0.0,,,,0.0,2.0,,,,,2.0,,,,0.0,,,,,,,,,,0.0,2.0,2.0,2.0,,,,,,,,0.0,,Magnesium citrate
2.0,,,,,,,,,,,,0.0,2.0,,,0.0,,,,,,,0.0,,,,0.0,2.0,,,,,2.0,,,0.0,,,,,,,,,,,0.0,2.0,2.0,2.0,,,,,,,,0.0,,Calcium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoloft
,,,,,0.0,,,,2.0,0.0,2.0,,,,,,,,,,,2.0,,0.0,2.0,2.0,,,,,,,,2.0,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0,busy
,,,,,2.0,,,,0.0,2.0,0.0,,,,,,,,,,,0.0,,2.0,0.0,0.0,,,,,,,,0.0,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,0.0,studied
,,,,,0.0,,,,2.0,0.0,2.0,,,,,,,,,,,2.0,,0.0,2.0,2.0,,,,,,,,2.0,,,,,0.0,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,Amitryptiline
,,,,,0.0,,,,2.0,0.0,2.0,,,,,,,,,,,2.0,,0.0,2.0,2.0,,,,,,,,2.0,,,,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,2.0,Metoprolol
,0.0,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,catheter
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,housework
,,2.0,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,0.0,,,,,Azathioprine
,,0.0,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,2.0,,,,,Kuzu
2.0,,,,,,,,,,,,0.0,2.0,,,0.0,,,,,,,0.0,,,,0.0,2.0,,,,,2.0,,,0.0,0.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,0.0,,Iodine
0.0,,,,,,,,,,,,2.0,0.0,,,2.0,,,,,,,2.0,,,,2.0,0.0,,,,,0.0,,,2.0,2.0,,,,,,,,,,2.0,,0.0,0.0,,,,,,,,2.0,,home alone
0.0,,,,,,,,,,,,2.0,0.0,,,2.0,,,,,,,2.0,,,,2.0,0.0,,,,,0.0,,,2.0,2.0,,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,Cinema
0.0,,,,,,,,,,,,2.0,0.0,,,2.0,,,,,,,2.0,,,,2.0,0.0,,,,,0.0,,,2.0,2.0,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,2.0,,did photography
,2.0,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,Sleeping pills 
,,2.0,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,0.0,,,,,Pentasa
,0.0,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,no sleep
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating Pad
,,2.0,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,2.0,,,,,,0.0,,,,,,,,Inactive
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabergoline
,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
2.0,,,,,,,,,,,,0.0,2.0,,,0.0,,,,,,,0.0,,,,0.0,2.0,,,,,2.0,,,0.0,0.0,,,,,,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,electric wheelchair
,,,,,2.0,,,,0.0,2.0,0.0,,,,,,,,,,,0.0,,2.0,0.0,0.0,,,,,,,,0.0,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,Meditation
