Ex bike,cooking,Midodrine,Vitamins,Phyical Therapy - stretches,Osteopathy,Meticorten,Tranexamic acid,Naproxen,Amitriptyline,ate breakfast,Calcort,N-acetyl cysteine,Vitamin b complex,Ketotifeno,Mt. Si ACDC 2x Coco Caps,Probiotic,Stretching,TigerBalm,Steps,House cleaning,THC,Cambia,distraction,Allegra,Flexeril,Fish oil,Rest,Post-op ice device,Hobbies,cocodamol,Corticosteroids,Lexapro,Shoe Insoles,Tretinoin,Ritalin,Benadryl,Nasonex,Human Growth Hormone,Hydrocortisone,Solifenacin,Coffee,pilates,Strattera,Relaxing,Clinda-derm,Synthroid,excedrin migraine,Dexedrine,Aspirin,SAD Light Box,Astelin,Vitamin C,Vitamin B,Ropinirole,5 or more portions of fruit and veg,Equilibrant,Meditation,Gabapentin,Klonopin,Medication,Zomig,Cranberry extract,Vitamin b12,Vitamin d,massage,Diazepam,L-methylfolate,had sex,Florinef,Metformin,Exercise,sugar free diet,walked the dogs,Feverfew,Garden of Life Raw Meal,Bagomicina,Glucosamine,Multivitamin,Mirtazapine,Gardening,Sertraline,magnesium ionic,Zinc,Ibuprofen,Melatonin,Fexofenadine,Dicyclomine,BeachBody OnDemand,Cyclizine,Selenium,Sunlight,brushed dogs,Pantoprazole,birth control,Magnesium glycinate,5-htp,Ventolin,Forever Aloe Berry,yoga,digestive enzyme,Daily walk,Exercise--walking,Achy breaky rub,elliptical,Groceries,Famotidine,Friends,Piyo,Tensor Band,Topical ibuprofen,Enada,Wore arch supports all day,Social interactions,Topamax,Codeine,Claritin,Progesterone,heating pads,Adderall,Wristies,Keppra,Wellbutrin,Azathioprine,Singulair,cough syrup,Montelukast,Sleep,Paracetamol,Passionflower,Trip,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,2.0,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,2.0,,Calcort
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,N-acetyl cysteine
,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Vitamin b complex
,2.0,,,,,0.0,,,,,0.0,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,2.0,,Ketotifeno
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stretching
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,TigerBalm
0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,Steps
,0.0,,,,,2.0,,,,,2.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,0.0,,House cleaning
,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,THC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,distraction
,2.0,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,2.0,0.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,,,,2.0,,,0.0,,0.0,,,,,,0.0,2.0,,,0.0,0.0,,,2.0,,,,,,2.0,0.0,2.0,,,,,,,,,0.0,,,,,,0.0,,0.00386755680106,,0.0,,,,2.0,,Allegra
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Fish oil
0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,Rest
,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Post-op ice device
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,Hobbies
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,cocodamol
,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,Corticosteroids
,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lexapro
,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,Shoe Insoles
,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,2.0,,,,,,Tretinoin
,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,Ritalin
,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,Benadryl
,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Nasonex
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Growth Hormone
,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,Hydrocortisone
,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,Solifenacin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Coffee
0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,pilates
,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Strattera
,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,Relaxing
,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,Clinda-derm
,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthroid
,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspirin
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,SAD Light Box
,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Astelin
,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Vitamin C
,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,Ropinirole
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,5 or more portions of fruit and veg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equilibrant
0.0,,,,,,,,0.102435703328,,,,,,,,,,,0.0,,,,,,,,0.0,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,2.0,,0.0,,,,,Meditation
,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Klonopin
,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,Medication
,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,,,,,,Zomig
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cranberry extract
,,,,,,,,,,,,,0.0,,,0.0,,2.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,2.0,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,,,,0.0,,,,,,0.0,,2.0,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,Vitamin b12
,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
0.0,,,,,,,,0.00710834829435,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,2.0,,0.0,,,,,Diazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-methylfolate
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,Florinef
