Yoga,physical therapy,fresh food,hot water bottle,Vyvanse,day after weights,vacation,shopped,crocheted,had sex,Vicodin,picnic,played video games,Nabumetone,Dogs,ate breakfast,gluten,snuggly cat,busy,long shopping  trip,Prednisone,grocery shopping,Clonazepam,cooking,went swimming,Synthroid,lifted weights,Swam,nap,ate pizza,dairy,swim class,alcohol yesterday,ate dairy,party,Hydroxychloroquine,exercise,Slept well,took naps,Off work,ate eggs,Seasonique,gym,b12 shot,Walked a lot,long walk,listen to music ,no breakfast,bunny cuddles,worked,worked out,Heathen ritual,lots of walking,Maxalt,slept in,Gardening,Quell Unit,Sertraline,Thyroid-Pro,fun shopping,walked,Montelukast,smoothie,new environment,Cane to get down stairs,took nap,Ibuprofen,Methotrexate,juiced veggies,Adderall XR,smoked,massage,swimming,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicodin
,0.0,,,,,,,,,,,0.0,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,picnic
,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,2.0,0.0,2.0,,0.0,,0.0,2.0,,,,0.0,0.0,,,0.0,,2.0,,,0.0,0.0,,,,0.0,0.0,,0.0,,,2.0,,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,played video games
,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Nabumetone
,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Dogs
,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,0.0,,,2.0,,,,,,2.0,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,ate breakfast
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,gluten
,2.0,,,,,,,,,,2.0,2.0,,,,,,,0.0,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,snuggly cat
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,busy
,2.0,,,,,,,,,,2.0,2.0,,,,,0.0,,,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,long shopping  trip
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,Prednisone
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,grocery shopping
,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Clonazepam
,0.0,,,,,,,,,,0.0,0.0,,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,cooking
,2.0,,,,,,,,,,2.0,2.0,,,,,0.0,,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,went swimming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Synthroid
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,lifted weights
,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,Swam
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,nap
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,ate pizza
,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dairy
,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,swim class
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,alcohol yesterday
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,ate dairy
,2.0,,,,,,,,,,2.0,2.0,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,party
,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Hydroxychloroquine
,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,exercise
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,Slept well
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,took naps
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,Off work
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,ate eggs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonique
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,gym
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,b12 shot
,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,Walked a lot
,0.0,,,,,,,,,,0.0,0.0,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,long walk
,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,listen to music 
,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,no breakfast
,2.0,,,,,,,,,,2.0,2.0,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,bunny cuddles
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,worked
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,worked out
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Heathen ritual
,0.0,,,,,,,,,,0.0,0.0,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,lots of walking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxalt
,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,slept in
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,Gardening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quell Unit
,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sertraline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,,,,,0.0,,,fun shopping
,,,,,,,,,0.455996348384,,,,,0.0,2.0,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,walked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montelukast
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,0.0,,,smoothie
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,,,0.0,,,new environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cane to get down stairs
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,took nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,0.0,,,,,,,,,,0.0,0.0,,,,,2.0,,2.0,2.0,,,0.0,2.0,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,Methotrexate
,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,juiced veggies
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adderall XR
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,smoked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
,0.0,,,,,,,,,,0.0,0.0,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,swimming
