Dicyclomine,Tretinoin,Tranexamic acid,Vitamins,Phyical Therapy - stretches,Osteopathy,N-Acelcysteine,Butterbur,Pantoprazole,Acetyl Carnitine,Extra Medications,Metformin,Sleep,Exercise,Clonazepam,Creatine,Coffee,Lithium,Prednisone,Relaxing,Zolmitriptan,mag ox,Clinda-derm,Soluble Aspirin,Daily walk,Ubiquinol,Trileptal,Achy breaky rub,Weather- rain,Valerian,Mirtazapine,Sertraline,Benadryl,Enada,Aloe Detox Water,Social interactions,distraction,Hobbies,Fexofenadine,SAD Light Box,Progesterone,Vitamin B,Medication,Magnesium,Iron,Panamax,Wellbutrin,Turmeric,Flexeril,antihistamines,excedrin migraine,Nortriptyline,Zomig,Montelukast,Medical Marijuana,Lyrica,Vitamin d,Meditation,Corticosteroids,massage,row
,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,0.0,,,2.0,,0.0,Extra Medications
0.0,0.0,,,0.0,2.0,,0.0,,,,,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,Metformin
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,Sleep
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,Exercise
,,,,,,0.0,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,Clonazepam
,,,,,,0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,Creatine
,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0,Coffee
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,Lithium
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
2.0,2.0,,,2.0,0.0,,2.0,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,,2.0,2.0,2.0,,,,,,2.0,,,,,2.0,,,2.0,,2.0,,Zolmitriptan
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,mag ox
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,Clinda-derm
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,Soluble Aspirin
,,,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0,Daily walk
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,Ubiquinol
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,Trileptal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
,,,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0,Weather- rain
2.0,2.0,,,2.0,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,2.0,,,2.0,,,,,,,0.0,2.0,,,,,2.0,,2.0,2.0,2.0,,,,,,2.0,,,,,2.0,,,2.0,,2.0,,Valerian
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,Mirtazapine
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,Sertraline
2.0,2.0,,,2.0,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,2.0,,,2.0,,,,0.0,,,,2.0,,,,,2.0,,2.0,2.0,2.0,,,,,,2.0,,,,,2.0,,,2.0,,2.0,,Benadryl
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,Enada
,,,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0,Aloe Detox Water
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,Social interactions
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,distraction
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Hobbies
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,Fexofenadine
,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,SAD Light Box
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,Progesterone
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,Vitamin B
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Iron
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Panamax
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,Wellbutrin
,,,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,2.0,Turmeric
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,0.0,,Flexeril
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,antihistamines
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,Nortriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,Montelukast
,,,2.0,,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,0.0,Medical Marijuana
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Lyrica
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,,Vitamin d
,,,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,2.0,Meditation
0.0,0.0,,,0.0,2.0,,0.0,,,,0.0,,,,,,,,,2.0,,0.0,,,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,,,,Corticosteroids
,,,2.0,,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,0.0,,,2.0,,,massage
