Vitamin d,AM meds,Yoga,Quell,MitoQ ,Oestrogel,Amitriptyline,Human Growth Hormone,Florinef,Zolpidem,Cycling,Aspirin,Fexofenadine,Omega-3 Capsules,Rowing machine,Ativan,excedrin migraine,Physio,had sex,pain relief,Venlafaxine,laxatives,Prontolax Supp,exercise,Benadryl,Wore arch supports all day,Ranitidine,Colpermin,Buffered Salmon Oil - DHA - EPA,Coffee,Recov Bipeptides,Headspace,breathing exercises,Gabapentine,Moringa,linseed,Midodrine,Anakinra,Tramadol,Boswelia Complex,Calcium citrate,Turmeric,Vitamin C,Cetirizine,Pain management,Noritriptyline,Nortriptyline,Ginger,banana,Hydrocortisone,anti-nausea pills,Athlete Vitamin,Standing desk,Ibuprofen,heating pads,Paracetamol,Albuterol Inhaler,Pantoprazole,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anti-nausea pills
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athlete Vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standing desk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heating pads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol Inhaler
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
