gardening,Contraceptive pill,Pedicure,Bicarb on scalp,little breakfast,honey,smoothie,had sex,Omeprazole,excerise,ate breakfast,Iberogast,Charcoal,l-theanine,hiking,donut,Farm,Sewing,met a new cat,ice cream bar,nap,ate pizza,dairy,L-theanine,no exercise,Low-FODMAP diet,holiday,Inolaxol,exercise,rest day,gaming,slept long,11k steps,Off work,sitting,Inderal,Superlong nap,gym,sugar yesterday,Candy,exercised,yogurt,Probiotics,beans,Norco,catheter,Daytime nap,gluten,archery,slept 10 hours,rice,slept 9 hours,fresh food,Sleeping pills ,banana,no sleep,new environment,Sleep,catered food,Vitamin e,Vitamin d,nachos,Onions,drank a lot,Arby's,Multi-vitamin,row
0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,ice cream bar
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,2.0,,,,,,2.0,,,0.0,,,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,nap
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,2.0,,,0.0,,,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,ate pizza
,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,dairy
,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,L-theanine
,,0.0,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no exercise
,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,Low-FODMAP diet
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,2.0,,,,,,2.0,,,0.0,,,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,holiday
,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,Inolaxol
,,,,,,,0.0,,,0.0,,,,,,,0.0,,,2.0,2.0,,,,,2.0,,,,0.0,,,,0.0,,,2.0,,,2.0,,,,,2.0,2.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,,exercise
0.0,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,rest day
,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,0.0,,,,,,,,,,,gaming
,,0.0,,,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept long
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,11k steps
,,,,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Off work
,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,0.0,,,,,,,,,2.0,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,sitting
,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,Inderal
,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,gym
,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,sugar yesterday
0.0,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,Candy
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,2.0,,,,,,2.0,,,0.0,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,exercised
0.0,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,yogurt
,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,Probiotics
,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,beans
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,Norco
,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,catheter
,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,2.0,,,,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,Daytime nap
,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,archery
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,slept 10 hours
,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,0.0,,,rice
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,slept 9 hours
,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,0.0,,,,,,0.0,,,2.0,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,fresh food
,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,Sleeping pills 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,banana
,,,,,,,0.0,,,0.0,,,,,,2.0,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,0.0,2.0,,,,,2.0,2.0,,,,,,no sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,new environment
,,,,,2.0,,,,2.0,2.0,,,2.0,2.0,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,Sleep
,2.0,,2.0,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,catered food
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,,,Vitamin e
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,0.0,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,nachos
,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,,0.0,,,Onions
,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,0.0,,,,drank a lot
0.0,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Arby's
,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,Multi-vitamin
