hiking,Aleve,Provigil,drive,had sex,ate breakfast,afternoon coffee,ate cooked nightshades,lots of walking,travel,housework,ate peppers,ate dairy,Plaquenil,worked out,exercise,Off work,no caffeine,ate eggs,Superlong nap,>50 oz water,green tea,grapes,Adderall,worked,neck massage,slept in,lifted weights,ate potato,Marijuana,walked,drank wine,ate potato chips,Ibuprofen,light breakfast,12K Steps,row
,2.0,2.0,,,,0.0,2.0,,,,0.0,,2.0,,,,2.0,0.0,,2.0,,,2.0,,,,,0.0,,,2.0,0.0,,0.0,,green tea
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,grapes
,0.0,1.11022302463e-16,,,,2.0,0.0,,,,2.0,,1.11022302463e-16,,,,0.0,2.0,,0.0,2.0,,,,,,,2.0,,,0.0,2.0,,2.0,,Adderall
,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,worked
0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,2.0,,,,2.0,,,neck massage
,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,,,0.0,,,,,,slept in
,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,lifted weights
,2.0,2.0,,,,0.0,2.0,,,,0.0,,2.0,,,,2.0,0.0,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,0.0,,ate potato
2.0,,,,2.0,2.0,,,2.0,2.0,2.0,,,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,1.11022302463e-16,,,Marijuana
,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,walked
,0.0,0.0,,,,2.0,0.0,,,,2.0,,0.0,,,,0.0,2.0,,0.0,2.0,,0.0,,,,,2.0,,,,2.0,,2.0,,drank wine
,2.0,2.0,,,,0.0,2.0,,,,0.0,,2.0,,,,2.0,0.0,,2.0,0.0,,2.0,,,,,0.0,,,2.0,,,0.0,,ate potato chips
2.0,,,,2.0,2.0,,,2.0,2.0,2.0,,,,,2.0,,,,2.0,,,,,,2.0,,,,1.11022302463e-16,,,,,,,Ibuprofen
,2.0,2.0,,,,0.0,2.0,,,,0.0,,2.0,,,,2.0,0.0,,2.0,0.0,,2.0,,,,,0.0,,,2.0,0.0,,,,light breakfast
,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12K Steps
