Albuterol,Cycling,cheese,Caffeine,Osteopathy,Cannabis,Ambien CR,Miralax low dose at night,Amitriptyline,farm work,tumeric extract,slept 7 hours,busy,Prednisone,excedrin migraine,ponstan,hearing aid,bread,DEHA,Vitamin b complex,overeating,Methylcobalamine,therapy session,siracha,psychologist,Magnesium,pain relief,Boswelia Complex,THC,Dandelion tea,Turmeric,Allegra,Flexeril,Goth clubbing,Physical therapy,Fish oil,Rest,Lidocaine Patch,Cane to get down stairs,laxatives,Post-op ice device,Standing desk,Home physio exercises,Bicarb on scalp,Prilosec,breathing exercises,Aromatherapy,0.9% Sodium Chloride Solution 1L,Vicodin,Charcoal,Claritin,Strattera,Low oxalate,Citalopram,Zofran,Zyrtec,Hydroxyzine,Synthroid,meds,Quell,Low-FODMAP diet,Veggies,Inderal,Buffered Salmon Oil - DHA - EPA,Recov Bipeptides,Vitamin C,Vitamin B,Probiotics,linseed,Anakinra,Tavegyl,Daytime nap,eye drops,slept 11 hours,Maxalt,Klonopin,Cetirizine,CBD,mass transit,Thyroid-Pro,Zomig,Vitamin b12,bed late,Vitamin d,Methotrexate,strength exercises,Cardio,massage,swimming,Diazepam,Yoga,Contraceptive pill,physical therapy,8.5 hours sleep,Albuterol Inhaler,Omeprazole,Acupuncture,Metformin,9 hours sleep,Physio,Topiramate,Snooze,dairy,CoQ10,Paracatamol with codeine,Trigger Points,bacon,gym,Headspace,Calcium citrate,eye compress,Tranexamic acid,rebounding,Quell Unit,Noritriptyline,Snacks,stool softener,Allergy Shots,Zinc,Ibuprofen,Nortriptyline,Melatonin,Pain management,LUSH acne spot-treatment,Imodium,10.5 hours sleep,Alcohol,small breakfast,Inolaxol,cuddled kitten,Sunlight,Pantoprazole,aqua therapy,birth control,Magnesium glycinate,5-htp,Nasonex,Fexofenadine,Rowing machine,use exercise bike,Tylenol 3,eye ointment,gluten free,Colpermin,8 hours sleep,did some homework,Athlete Vitamin,Famotidine,Iberogast,Benadryl,Protecting back,Ranitidine,strapping of shoulder,Cefaly Unit,Seasonique,Astelin,Progesterone,Ice pack,Migraine herb feverfew tablets,heating pads,Norco,Tramadol,popcorn,pool,dexamphetamine,Singulair,Sleep,long walk,Paracetamol,Multi-vitamin,row
,,,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,2.0,,,,,,,,2.0,,0.0,,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,,2.0,,,,,,2.0,,2.0,,2.0,,,,,,2.0,,2.0,,,,,,,,,,2.0,,,2.0,,0.0,,,,,2.0,,,2.0,,,,,,,,,,,2.0,2.0,,,2.0,,,,2.0,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,,,,,2.0,,,2.0,,,,,tumeric extract
,,,,,,,,,,2.0,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,2.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,2.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,slept 7 hours
,,2.0,,,,,,,0.0,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,1.11022302463e-16,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.22044604925e-16,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,Prednisone
,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,excedrin migraine
,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,ponstan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hearing aid
,,2.0,,,,,,,0.0,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,bread
,,,2.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEHA
,,,,,,2.0,,,,2.0,0.0,,,,,,,,,,,0.0,0.0,,,,,0.0,,,1.43236090403,,2.0,,0.0295470366856,2.0,,,,0.0,,,,,,,,,,1.11022302463e-16,1.43236090403,,,2.0,,2.0,0.0,2.0,,,,,,,1.11022302463e-16,,,,,,0.0,2.0,0.0,,0.00311042148592,,2.0,0.0,,,0.0295470366856,2.0,1.11022302463e-16,,,,,,,,,2.0,0.0,,,0.0,,1.99898118964,,,,,0.0,,,0.0,,,,2.0,,,,,,2.0,0.0,1.11022302463e-16,,,1.11022302463e-16,,,,0.0,2.0,2.0,,2.0,2.0,,,0.0,1.11022302463e-16,1.11022302463e-16,1.11022302463e-16,,,,,2.0,,,0.971806084108,0.0,,1.11022302463e-16,,,,,0.0,,,1.11022302463e-16,,2.0,,2.0,2.0,,0.0,2.0,,1.11022302463e-16,,,,,Vitamin b complex
,,0.0,,,,,,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,overeating
,,,2.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylcobalamine
,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,2.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,2.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,therapy session
,,,,,,,,,,2.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,2.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,2.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,siracha
,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,psychologist
,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,Magnesium
,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,pain relief
,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Boswelia Complex
,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,2.0,,,2.0,,2.0,,2.0,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0,0.0,,,0.0,2.0,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,2.0,,0.0,,,0.0,,,,,2.0,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,2.0,,,2.0,0.0,,0.0,,,,,0.0,,,0.0,,2.0,,2.0,2.0,,,2.0,,0.0,,,,,THC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dandelion tea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,Turmeric
,,,,,,0.0,,,,2.0,0.0,,,,,,,,1.43236090403,,,0.0,0.0,,,,,2.0,,,,,2.0,,1.20201423264,0.0,,,,2.0,,,,,,,,,,1.43236090403,2.22044604925e-16,,,0.0,,0.0,0.0,0.0,,,,,,,1.43236090403,,,,,,0.0,0.0,0.0,,1.50207997742,,0.0,2.0,,,1.20201423264,0.0,1.43236090403,,,,,,,,,0.0,0.0,,,0.0,,0.608771999537,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,1.43236090403,,,1.43236090403,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.43236090403,1.43236090403,1.43236090403,,,,,0.0,,,0.11084775524,2.0,,1.43236090403,,,,,2.0,,,1.43236090403,,0.0,,0.0,0.0,,0.0,0.0,,1.43236090403,,,,,Allegra
,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,0.0,2.0,,,,,,,,2.0,,,2.0,2.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,,2.0,,,,,,2.0,,2.0,,2.0,,,,,,2.0,,2.0,,,,,,,,,,2.0,,,2.0,,0.0,,,,,2.0,,,2.0,,,,,,,,,,,2.0,2.0,,,2.0,,,,2.0,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,2.0,,,,,,,2.0,,,2.0,,,,,Goth clubbing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical therapy
,,,,,,2.0,,,,2.0,0.0,,,,,,,,0.0295470366856,,,0.0,0.0,,,,,0.0,,,1.20201423264,,2.0,,,2.0,,,,0.0,,,,,,,,,,0.0295470366856,1.20201423264,,,2.0,,2.0,0.0,2.0,,,,,,,0.0295470366856,,,,,,0.0,2.0,0.0,,0.0515818819541,,2.0,0.0,,,0.0,2.0,0.0295470366856,,,,,,,,,2.0,0.0,,,0.0,,1.98035333186,,,,,0.0,,,0.0,,,,2.0,,,,,,2.0,0.0,0.0295470366856,,,0.0295470366856,,,,0.0,2.0,2.0,,2.0,2.0,,,0.0,0.0295470366856,0.0295470366856,0.0295470366856,,,,,2.0,,,0.731444673406,0.0,,0.0295470366856,,,,,0.0,,,0.0295470366856,,2.0,,2.0,2.0,,0.0,2.0,,0.0295470366856,,,,,Fish oil
,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,0.0,,,,2.0,,,,,2.0,,,,,,,,,,2.0,0.0,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,,0.0,,,2.0,,0.0,2.0,,,2.0,0.0,2.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,2.0,,,,,0.0,0.0,,0.0,0.0,,,,2.0,2.0,2.0,,,,,0.0,,,0.0,2.0,,2.0,,,,,2.0,,,2.0,,0.0,,0.0,0.0,,,0.0,,2.0,,,,,Rest
,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,Lidocaine Patch
,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,Cane to get down stairs
,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,laxatives
,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,2.0,,,,0.0,2.0,,,,,,,,,,,,,,0.0,2.0,,,2.0,,2.0,,2.0,,,,,,,0.0,,,,,,,2.0,,,0.0,,2.0,0.0,,,0.0,2.0,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,2.0,,0.0,,,0.0,,,,,2.0,2.0,,2.0,2.0,,,,0.0,0.0,0.0,,,,,2.0,,,2.0,0.0,,0.0,,,,,0.0,,,0.0,,2.0,,2.0,2.0,,,2.0,,0.0,,,,,Post-op ice device
,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Standing desk
,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,Home physio exercises
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Bicarb on scalp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prilosec
,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,breathing exercises
,,,2.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aromatherapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9% Sodium Chloride Solution 1L
