Diazepam,Sewing,Ritalin,danced,hiking,Cod liver oil,IVIG,Pepto-bismol,Albuterol Inhaler,walked,worked,ate breakfast,Vitamin D3,Clonazepam,Risperidone,housework,gaming,Dexedrine,Psyllium husk,Zantac,hearing aid,Deep Breathing,banana,exercise,rest day,Benadryl,Ranitidine,Excedrin,Ligament Restore,Codeine,Oxcarbazepine,Calcium citrate,Vitamin C,Lamictal,pasta,Adderall,catheter,Heathen ritual,Turmeric,Cetirizine,Sleeping pills ,Tramadol,no sleep,Vitamin d,had sex,Meditation,masturbated,low protein,row
,,,0.0,,,,,2.0,,,2.0,,,,0.0,,,,,,2.0,,,,2.0,2.0,,,,,2.0,2.0,,0.0,,,,2.0,2.0,,,,2.0,,2.0,2.0,0.0,worked
,0.0,,2.0,0.0,,,,0.0,,2.0,,,,,2.0,0.0,,,,,,,2.0,,0.0,0.0,,,,,0.0,0.0,,2.0,,2.0,,0.0,0.0,2.0,,0.0,0.0,0.0016843633767,,0.0,2.0,ate breakfast
,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,Vitamin D3
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Clonazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risperidone
,,,0.0,,,,,2.0,,0.0,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,2.0,,0.0,,,,2.0,2.0,,,,2.0,,,2.0,0.0,housework
,0.0,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,2.0,,0.0,,0.0,,,,gaming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,Psyllium husk
,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,Zantac
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hearing aid
,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Deep Breathing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banana
,2.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,2.0,,2.0,,,,exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rest day
,,,2.0,,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,0.0,0.0,,2.0,,,,0.0,0.0,,,,0.0,,,0.0,2.0,Benadryl
,,,2.0,,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,0.0,,,,,,0.0,0.0,,2.0,,,,0.0,0.0,,,,0.0,,,0.0,2.0,Ranitidine
,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Excedrin
,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,Ligament Restore
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxcarbazepine
,,,2.0,,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,0.0,,2.0,,,,0.0,0.0,,,,0.0,,,0.0,2.0,Calcium citrate
,,,2.0,,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,,,0.0,0.0,,,,0.0,,,0.0,2.0,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamictal
,,,0.0,,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,2.0,2.0,,,,,2.0,2.0,,,,,,2.0,2.0,,,,2.0,,,2.0,0.0,pasta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adderall
,2.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,2.0,,2.0,,,,catheter
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Heathen ritual
,,,2.0,,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,2.0,,,,,0.0,,,,0.0,,,0.0,2.0,Turmeric
,,,2.0,,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,2.0,,,,0.0,,,,,0.0,,,0.0,2.0,Cetirizine
,2.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,2.0,,2.0,,,,Sleeping pills 
,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tramadol
,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,2.0,,,,0.0,,,,no sleep
,,,2.0,,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,2.0,,,,0.0,0.0,,,,,,,0.0,2.0,Vitamin d
,0.0,,,0.0,,,,,0.0,,0.0016843633767,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,2.0,0.0,,,2.0,,0.0,,,,,,had sex
,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Meditation
,,,2.0,,,,,0.0,,2.0,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,2.0,,,,0.0,0.0,,,,0.0,,,,2.0,masturbated
,,,0.0,,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,2.0,2.0,,,,,2.0,2.0,,0.0,,,,2.0,2.0,,,,2.0,,,2.0,,low protein
