Vitamins,Phyical Therapy - stretches,Osteopathy,Toprol,Zolmitriptan,digestive enzyme,Feverfew,foot brace,Gravol,Vitamin b complex,Dexedrine,Probiotic,Coenzyme q-10,TigerBalm,Flexeril,CrossFit,Guarana & Ginseng,Eicosapentaenoic acid,Corticosteroids,Tretinoin,Ritalin,exercise - dancing,Butterbur,Acetaminophen,Solifenacin,Docosahexaenoic acid,Clinda-derm,low acid,excedrin migraine,Biotin,Carbomer eye drops,b12 injection,Gabapentin,Medication,Cetirizine,Vitamin B,Zomig,Ginger,Hydrocortisone,Vitamin b12,Vitamin d,Curcumin,Triamcinolone,Echinacea,Florinef,Metformin,Daytime sleep,Sitting,Ribose,occular migraine meds,alverine,SAM-E,Calcium citrate,Nycopro Probiotic,Tranexamic acid,Folic acid,Dicyclomine,BeachBody OnDemand,Cyclizine,Selenium,Pantoprazole,5-htp,Peristeen,Fexofenadine,Darifenacin,Cetirizine hydrochloride,No red meat,Monteluklast,Ubiquinol,Valerian,Achy breaky rub,elliptical,Piyo,flu vaccine injection,Benadryl,Enada,Seasonique,Cerelle,Codeine,Progesterone,Support worker assistance,Iron,Adderall,catheter,Cetraben cream,Iodine,Relaxing,Glycine,Montelukast,Sleep,Passionflower,row
,0.0,0.0,,0.88645340884,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0135008948847,,,,,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,1.69056218481,,,,,,,1.65852449511,,,,,0.0,0.252228894514,,,,,0.235267220985,0.0,,,,0.0,,,,,,,,,1.69056218481,,,Tretinoin
,,,,,2.0,0.0208957116626,,,,,0.0212696628449,,0.0,,,0.0,,,,,,,,0.00489531765388,,,,,,0.0,,,,,,,0.0,2.0,0.0212696628449,,,,,2.0,,,,0.0,,0.0,0.0,,,,,,0.0,0.0130082306195,,,,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0212696628449,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise - dancing
,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Butterbur
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
,,,,,2.0,0.00559150800425,,,,,0.00578651096101,,0.0,,,0.0,,,,0.00489531765388,,,,,,,,,,0.0,,,,,,,0.0,2.0,0.00578651096101,,,,,2.0,,,,0.0,,0.0,0.0,,,,,,0.0,0.00195145911815,,,,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.00578651096101,Solifenacin
0.0,,,,,,,2.0,2.0,0.0,,,2.0,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,2.0,,,0.0,,,,0.0,2.0,,,,0.0,,2.0,,,,Docosahexaenoic acid
,0.0,0.0,,0.725278872103,,,,,,,,,,0.0,,,,0.0,0.0135008948847,,,0.0,,,,,,,,,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,1.56279097708,,,,,,,1.5263897109,,,,,0.0,0.153590524694,,,,,0.140069156777,0.0,,,,0.0,,,,,,,,,1.56279097708,,,Clinda-derm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,low acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotin
,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,Carbomer eye drops
2.0,,,,,,,0.0,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,b12 injection
,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,0.0,,,Gabapentin
,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,Ginger
,,,,,0.0,2.0,,,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,Hydrocortisone
,,,,,2.0,1.67592496414e-06,,,,,1.11022302463e-16,,0.0,,,0.0,,,,0.0212696628449,,,,0.00578651096101,,,,,,0.0,,,,,,,0.0,2.0,,,,,,2.0,,,,0.0,,0.0,0.0,,,,,,0.0,0.00101892650228,,,,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,1.11022302463e-16,Vitamin b12
,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Vitamin d
2.0,,,,,,,0.0,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,Curcumin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Triamcinolone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echinacea
,,,,,0.0,2.0,,,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,Florinef
,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Metformin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Sitting
,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,Ribose
2.0,,,,,,,0.0,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,occular migraine meds
,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,alverine
,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,SAM-E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nycopro Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid
,0.0,0.0,,0.359815600335,,,,,,,,,,0.0,,,,0.0,1.69056218481,,,0.0,,,,1.56279097708,,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.000942049520452,,,,,0.0,1.03616054582,,,,,1.06205633048,0.0,,,,0.0,,,,,,,,,0.0,,,Dicyclomine
,,,,,2.0,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,BeachBody OnDemand
,,,,,2.0,0.00093797450222,,,,,0.00101892650228,,0.0,,,0.0,,,,0.0130082306195,,,,0.00195145911815,,,,,,0.0,,,,,,,0.0,2.0,0.00101892650228,,,,,2.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.00101892650228,Cyclizine
2.0,,,,,,,0.0,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,Selenium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
2.0,,,,,,,0.0,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,5-htp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peristeen
,0.0,0.0,,0.327080966001,,,,,,,,,,0.0,,,,0.0,1.65852449511,,,0.0,,,,1.5263897109,,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.000942049520452,,,,,,,,,,,,0.0,0.992758876247,,,,,1.01868552386,0.0,,,,0.0,,,,,,,,,0.000942049520452,,,Fexofenadine
,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,Darifenacin
0.0,,,,,,,2.0,2.0,0.0,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,,2.0,,,,,,,2.0,,,0.0,,,,0.0,2.0,,,,0.0,,2.0,,,,Cetirizine hydrochloride
2.0,,,,,,,0.0,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.0,,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,No red meat
,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,Monteluklast
,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Ubiquinol
,0.0,0.0,,0.255430559353,,,,,,,,,,0.0,,,,0.0,0.252228894514,,,0.0,,,,0.153590524694,,,,,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,1.03616054582,,,,,,,0.992758876247,,,,,0.0,,,,,,0.000336106535361,0.0,,,,0.0,,,,,,,,,1.03616054582,,,Valerian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
,,,,,2.0,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Piyo
2.0,,,,,,,0.0,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,flu vaccine injection
,0.0,0.0,,0.27298684745,,,,,,,,,,0.0,,,,0.0,0.235267220985,,,0.0,,,,0.140069156777,,,,,,2.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,1.06205633048,,,,,,,1.01868552386,,,,,0.0,0.000336106535361,,,,,,0.0,,,,0.0,,,,,,,,,1.06205633048,,,Benadryl
,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,Enada
0.0,,,,,,,2.0,2.0,0.0,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,2.0,,,,,,,0.0,2.0,,,,0.0,,2.0,,,,Seasonique
,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,Cerelle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine
,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,Progesterone
0.0,,,,,,,2.0,2.0,0.0,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,2.0,,,0.0,,,,,2.0,,,,0.0,,2.0,,,,Support worker assistance
2.0,,,,,,,0.0,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,,,,,2.0,,0.0,,,,Iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adderall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,Cetraben cream
0.0,,,,,,,2.0,2.0,0.0,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,2.0,,,0.0,,,,0.0,2.0,,,,,,2.0,,,,Iodine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
2.0,,,,,,,0.0,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,,,,,Glycine
,0.0,0.0,,0.359815600335,,,,,,,,,,0.0,,,,0.0,1.69056218481,,,0.0,,,,1.56279097708,,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.000942049520452,,,,,0.0,1.03616054582,,,,,1.06205633048,0.0,,,,0.0,,,,,,,,,,,,Montelukast
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep
