humid,Probably have some kind of bug,lots of napping,Ate more than yesterday,PMDD,fine,ate breakfast,runny nose,smoothie,Storms,storms,travelling,Bed after midnight,roof of mouth,bit grumpy,period,uneventful,disappointed,Wind,nausea,Bummed out,lost,frustrated,cloudy,mentally alert,in pain,Worried about uni,saw doctor,tired,cold feet at night,Not much food,Headache,Heavy flow,Made dinner,could not complete activity,withdrawn,stomach cramping,Little activity,hair improved,faitgue,lazy,Slept well,mouth ulcer,slow day,Upset,moody,overall good day,Cold,some activity,PMS,gums,hopeless,stressed,bad pain day,physical therapy,functional,no nap,not a lot of physical activity,Extreme naseua,ironing,No nap yesterday,Up very early,very sore,Trouble sleeping ,Pain,painful feet,Cold night,Pre-storm,reflective,happy,Cold and sore feet,sullen mood,sore,sore gums,stomach bug,Stressed,went on run,depressed,reflux,Sore feet and legs,woke up early,failed stats,very tired,joint pain,Nap,walked,anger,Brittle hair,skipped hydrotherapy,eyes hurt,Lots of activity,not enough sleep ,allergies,isolated,got up late,housework,no lunch,up early,fever,pain,Humidity,fatigue,Got up early,hot weather,alcohol,good sleep,No nap,Weather,Lowly,row
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,Wind
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,nausea
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,Bummed out
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,lost
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,frustrated
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,cloudy
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,mentally alert
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in pain
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,Worried about uni
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,saw doctor
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tired
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,cold feet at night
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,Not much food
0.0,0.0,0.0,0.0,0.0,,,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,,2.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.00324556051477,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Headache
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,Heavy flow
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Made dinner
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,could not complete activity
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,withdrawn
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,stomach cramping
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Little activity
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,hair improved
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,faitgue
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,lazy
,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,Slept well
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,mouth ulcer
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,slow day
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Upset
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,moody
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,overall good day
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Cold
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,some activity
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,PMS
