Women's probiotic,cheese,tramadol,floravit iron,spicy food,Soluble Aspirin,pur-absorb iron,busy,Prednisone,MDMA,sugar,Buspirone,dairy,DLPA,humira shot day,Kirkland Fish Oil,coffee,ate gluten,Stretching,good nights sleep,vegan,goat cheese,Physiotherapy,Magnesium,Panamax,THC,Turmeric,Slept most of the day,rice drink breakfast,ate popcorn,Standing desk,gluten free prezels,powerlifting,Valdoxan,fast food,Yin Chiao,Pataday,grocery shopping,Zofran,physiotherapy,Turmeric tea,ate breakfast,Nutrasea Fish Oil,eat two Luna bars,Superlong nap,Vitamin C,Vitamin B,Vitamin B complex - 50,linseed,Cleaning ,slept in,Pain management,raspberries,Nortriptyline,Vitamin a,Tian Ma Tou Tong - headache,ate unhealthy,danced,hiking,Bu Zhong Yi Qi capsules,Vyvanse,played computer,had sex,Eyebright Complex,8 hours of sleep,Magnesium gel,cobb salad,Creatine,Clonazepam,vacation,worked in garden,slept late,banana,Valium,shopping,gluten,Zoladex,Breakfast out,Multivitamin,Mirtazapine,Gardening,computer game,salad,Ibuprofen,cutting weight,Spinal epidural,Migraine Diet,small breakfast,Imodium,QUBECO SSI,Lithium,Ventolin,yoga,Wei Zhang Shun Qi Wan,10 hours interrupted sleep,Ecural,Daily walk,Ginkgo,party,nsaid,Hiked,Nasonex,eggs,Vitamin d,Codeine,Mixed nuts snack,Gan Mao Qing anti-viral,Progesterone,Spironolactone,Voltaren,Iron,Ondansetron,one coffee,Ferrous sulfate,walked,Wei Te Ling - heartburn,no gluten,mango,Sleep,Gui Pi Pills,egg,row
,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,2.0,,,,2.0,,,2.0,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,,,2.0,2.0,,2.0,,,,,2.0,,,,,,,2.0,,2.0,,2.0,2.0,,,,sugar
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,Buspirone
,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,dairy
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,DLPA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,humira shot day
0.0,,2.0,0.0,,0.0,2.0,,,2.0,,2.0,,2.0,,,,,,2.0,2.0,,0.0,0.0,2.0,,,,,,0.0,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,2.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,0.0,,2.0,,0.0,2.0,,2.0,,,,0.0,2.0,2.0,,,0.0,,,,,,2.0,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,,2.0,,,,2.0,,Kirkland Fish Oil
,0.0,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,2.0,,,,2.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,coffee
,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,ate gluten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stretching
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,good nights sleep
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,vegan
,2.0,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,0.0,,,,0.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,2.0,,2.0,,,,,,,goat cheese
0.0,,2.0,0.0,,0.0,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,,0.0,2.0,,,,,,0.0,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,2.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,0.0,,2.0,,0.0,2.0,,2.0,,,,0.0,2.0,2.0,,,0.0,,,,,,2.0,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,,2.0,,,,2.0,,Physiotherapy
0.0,,2.0,1.37412016026,,0.0,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,0.0,,2.0,,2.0,,,,0.0,,2.0,2.0,,2.0,0.0383864964848,,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,,2.0,1.96695475127,,2.0,0.669023672208,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,1.38488155405,0.0,,0.0,0.797839043806,,2.0,,0.00374058539347,2.0,,2.0,,,,0.0,2.0,2.0,0.0,,0.0,2.0,,,,,2.0,,0.000695696369354,2.0,,2.0,0.397768746541,2.0,2.0,2.0,1.52685118714,,0.0,,2.0,,,,2.0,,Magnesium
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,Panamax
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THC
,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,2.0,,,,,,,,,,2.0,,,0.0,,,,,,,2.0,,,0.0,2.0,,,,2.0,,,,,,,,,,Turmeric
,2.0,,,,,,,,,0.0,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,2.0,,2.0,,,,,,,Slept most of the day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,rice drink breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate popcorn
0.0,,2.0,0.0,,0.0,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,0.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,2.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,0.0,,2.0,,0.0,2.0,,2.0,,,,0.0,2.0,2.0,,,0.0,,,,,,2.0,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,,2.0,,,,2.0,,Standing desk
,2.0,,,,,,,,,0.0,,,,,,2.0,,,,,0.0,,,,,,0.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,2.0,,2.0,,,,,,,gluten free prezels
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,powerlifting
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,Valdoxan
,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,fast food
,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,2.0,,,,,,,,,,2.0,,,0.0,,,,,,,2.0,,,0.0,2.0,,,,2.0,,,,,,,,,,Yin Chiao
0.0,,2.0,1.61423908021,,0.0,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,0.0,0.0383864964848,2.0,,2.0,,,,0.0,,2.0,2.0,,2.0,,,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,,2.0,1.99979640069,,2.0,0.940670317806,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,1.11683852452,0.0,,0.0,1.07434090268,,2.0,,0.0656958241534,2.0,,2.0,,,,0.0,2.0,2.0,0.0,,0.0,2.0,,,,,2.0,,0.049289484339,2.0,,2.0,0.201820844882,2.0,2.0,2.0,1.27339250074,,0.0,,2.0,,,,2.0,,Pataday
,0.0,,,,,,,,,2.0,,,,0.0,,0.0,,,,,2.0,,,,,,2.0,,,,2.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,grocery shopping
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,Zofran
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,physiotherapy
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,Turmeric tea
,0.0,,,,,,0.0,,,2.0,,0.0,,,,0.0,0.0,,,,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,0.0,,2.0,0.473645385384,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,1.11022302463e-16,,,,,,0.0,ate breakfast
0.0,,2.0,0.0,,0.0,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,0.0,0.0,2.0,,,,,,0.0,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,,,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,2.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,0.0,,2.0,,0.0,2.0,,2.0,,,,0.0,2.0,2.0,,,0.0,,,,,,2.0,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,,2.0,,,,2.0,,Nutrasea Fish Oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eat two Luna bars
2.0,,0.0,2.0,0.0,2.0,0.0,,,0.0,2.0,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0244334273489,0.0,,2.0,0.0,2.0,2.0,,,0.0,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,0.0,,,2.0,0.0,0.0,,0.0,2.0,,,,,,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,,0.0,,Superlong nap
0.0,,2.0,0.0,,0.0,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,0.0,0.0,2.0,,,,,,0.0,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,0.0,,2.0,,2.0,2.0,0.0,,,2.0,2.0,,2.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,0.0,,2.0,,0.0,2.0,,2.0,,,,0.0,2.0,2.0,,,0.0,,,,,,2.0,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,,2.0,,,,2.0,,Vitamin C
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,Vitamin B
2.0,,0.0,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,Vitamin B complex - 50
0.0,,2.0,0.0,,0.0,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,0.0,0.0,2.0,,,,,,0.0,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,,,,2.0,2.0,,2.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,0.0,,2.0,,0.0,2.0,,2.0,,,,0.0,2.0,2.0,,,0.0,,,,,,2.0,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,,2.0,,,,2.0,,linseed
