Albuterol,gluten free diet,Fluvoxamine,bread,Selenium,Vyvanse,adapten-all,Burbur-Pinella,gluten,Low Dose Naltrexone,farm work,Nabumetone,ate breakfast,Tyrosine,Coffee,busy,Cetirizine,Clonazepam,Methylphenidate,Lavender oil,N-acetyl cysteine,Topiramate,dairy,Plaquenil,Hydroxychloroquine,Turmeric,Magnesium malate,Green Vibrance,Benadryl,overeating,Ranitidine,Epsom Salts,Zyrtec,Enbrel,gym,Ibuprofen,Caffeine,Vitamin C,Voltaren,Calcium citrate,strength exercises,Magnesium,Midodrine,Iodine,fiber art - sewing,Gaba,dexamphetamine,had sex,CuraMed,Sertraline,Zomig,walked,Vitamin d,long walk,Albuterol Inhaler,swimming,Cardio,Inositol,cheese,Ropinirole,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,2.0,,0.0,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,Cetirizine
,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Clonazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylphenidate
,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,Lavender oil
,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,N-acetyl cysteine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topiramate
,,,0.0,,,,,2.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,0.0,,,,,,,2.0,,,,1.16263966685,,0.000831946899416,,0.0,2.0,,0.0,,dairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaquenil
,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Hydroxychloroquine
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,Turmeric
,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,Magnesium malate
,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,Green Vibrance
,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,Benadryl
,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,2.0,,0.0,,overeating
,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,Ranitidine
,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,Epsom Salts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zyrtec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enbrel
,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,gym
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,Caffeine
,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,strength exercises
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,Iodine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,fiber art - sewing
,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,Gaba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dexamphetamine
,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,had sex
,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,CuraMed
,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sertraline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,,,,,,,0.0,,,,0.0,,,,,,,,,,1.16263966685,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,walked
,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,Vitamin d
,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,0.000831946899416,,,,,,,0.0,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,2.0,,0.0,,long walk
,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,Albuterol Inhaler
,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,0.0,,swimming
,,,2.0,,,,,,,2.0,,,,,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,2.0,,Cardio
,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,Inositol
,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,2.0,,,,cheese
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ropinirole
