Yoga,physical therapy,fresh food,Fentanyl,hot water bottle,b12 shot,tramadol,vacation,shopped,crocheted,had sex,Vicodin,drank alcohol,Amitriptyline,Cycling,played video games,ate breakfast,physiotherapy,busy,yoga,Prednisone,grocery shopping,smoothie,walked,travel,sitting,nap,excedrin migraine,Physio,ate pizza,dairy,alcohol yesterday,laxatives,exercise,Work,rest day,Superlong nap,Slept well,took naps,Cefaly Unit,Colpermin,Seasonique,gym,Buffered Salmon Oil - DHA - EPA,Headspace,Recov Bipeptides,Daytime nap,breathing exercises,heating pads,linseed,pain relief,Boswelia Complex,Mebeverine,Rowing machine,Maxalt,took nap,Gardening,Pain management,Noritriptyline,Nortriptyline,Cymbalta,vegan,fun shopping,Tramadol,new environment,Cane to get down stairs,Athlete Vitamin,Oxycodone,Standing desk,Ibuprofen,Paracetamol,smoked,massage,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicodin
2.0,,,,,,0.0,,,,,,,2.0,2.0,,,2.0,,0.0,,,,,,0.0,,2.0,2.0,,,,2.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,,0.0,,2.0,,,2.0,,2.0,,,,,drank alcohol
0.0,,,,,,2.0,,,,,,2.0,,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,Amitriptyline
0.0,,,,,,2.0,,,,,,2.0,0.0,,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,Cycling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,played video games
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,ate breakfast
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,physiotherapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,busy
2.0,,,,,,0.0,,,,,,0.0,2.0,2.0,,,2.0,,,,,,,,0.0,,2.0,2.0,,,,2.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,,0.0,,2.0,,,2.0,,2.0,,,,,yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grocery shopping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smoothie
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,walked
,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,travel
2.0,,,,,,0.0,,,,,,0.0,2.0,2.0,,,2.0,,0.0,,,,,,,,2.0,2.0,,,,2.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,,0.0,,2.0,,,2.0,,2.0,,,,,sitting
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nap
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,excedrin migraine
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,Physio
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate pizza
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol yesterday
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,laxatives
,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise
2.0,,,,,,0.0,,,,,,0.0,2.0,2.0,,,2.0,,0.0,,,,,,0.0,,2.0,2.0,,,,2.0,,,0.0,,,,,0.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,,0.0,,2.0,,,2.0,,2.0,,,,,Work
2.0,,,,,,0.0,,,,,,0.0,2.0,2.0,,,2.0,,0.0,,,,,,0.0,,2.0,2.0,,,,2.0,,0.0,,,,,,0.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,,0.0,,2.0,,,2.0,,2.0,,,,,rest day
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept well
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,took naps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cefaly Unit
2.0,,,,,,0.0,,,,,,0.0,2.0,2.0,,,2.0,,0.0,,,,,,0.0,,2.0,2.0,,,,2.0,,0.0,0.0,,,,,,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,,0.0,,2.0,,,2.0,,2.0,,,,,Colpermin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonique
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gym
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,Buffered Salmon Oil - DHA - EPA
2.0,,,,,,0.0,,,,,,0.0,2.0,2.0,,,2.0,,0.0,,,,,,0.0,,2.0,2.0,,,,2.0,,0.0,0.0,,,,,0.0,,,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,,0.0,,2.0,,,2.0,,2.0,,,,,Headspace
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,Recov Bipeptides
,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,Daytime nap
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,breathing exercises
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,heating pads
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,linseed
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,pain relief
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,Boswelia Complex
,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Mebeverine
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,Rowing machine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maxalt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,took nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gardening
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,Pain management
2.0,,,,,,0.0,,,,,,0.0,2.0,2.0,,,2.0,,0.0,,,,,,0.0,,2.0,2.0,,,,2.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,,0.0,,0.0,,2.0,,,2.0,,2.0,,,,,Noritriptyline
2.0,,,,,,0.0,,,,,,0.0,2.0,2.0,,,2.0,,0.0,,,,,,0.0,,2.0,2.0,,,,2.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,,,0.0,,2.0,,,2.0,,2.0,,,,,Nortriptyline
,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,Cymbalta
2.0,,,,,,0.0,,,,,,0.0,2.0,2.0,,,2.0,,0.0,,,,,,0.0,,2.0,2.0,,,,2.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,,,,2.0,,,2.0,,2.0,,,,,vegan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fun shopping
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,,,,0.0,,0.0,,,,,Tramadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cane to get down stairs
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,,,0.0,,,,,Athlete Vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxycodone
0.0,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,,,,,,Standing desk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smoked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
