Albuterol,Cycling,Tranexamic acid,Fluvoxamine,Fluids,Osteopathy,Miralax low dose at night,Amitriptyline,Nabumetone,Prednisone,Lavender oil,ponstan,Hydroxychloroquine,Turmeric,Magnesium malate,Probiotic,Colpermin,psychologist,Magnesium,pain relief,Boswelia Complex,Gaba,Fish oil,laxatives,Standing desk,Inositol,gluten free diet,Language Learning,Prilosec,0.9% Sodium Chloride Solution 1L,Tyrosine,ASMR,Yin Chiao,Pataday,Citalopram,Methylphenidate,Synthroid,excedrin migraine,Quell,SPD alternative treatments,Green Vibrance,Epsom Salts,Pet Therapy,Buffered Salmon Oil - DHA - EPA,Recov Bipeptides,breathing exercises,Vitamin B,co-tenidone,Ropinirole,Cleaning ,Vitamin C,Medication,Cetirizine,Pain management,Voltaren,CuraMed,Thyroid-Pro,Zomig,Farm,Vitamin e,Tian Ma Tou Tong - headache,Methotrexate,Plaquenil,Yoga,Vyvanse,Albuterol Inhaler,Therapy,Clonazepam,Physio,Topiramate,N-acetyl cysteine,Paracatamol with codeine,linseed,Enbrel,Headspace,Calcium citrate,eye compress,Midodrine,Mirtazapine,Quell Unit,Noritriptyline,Sertraline,Ibuprofen,Nortriptyline,TENS Unit,Selenium,Burbur-Pinella,Imodium,aqua therapy,Low Dose Naltrexone,Rowing machine,Wei Zhang Shun Qi Wan,Ginkgo,Exercise--walking,Benadryl,Protecting back,Ranitidine,Zyrtec,Vitamin d,Gan Mao Qing anti-viral,Progesterone,Essential oils,Migraine herb feverfew tablets,heating pads,Norco,Ondansetron,Biking,pool,Azathioprine,dexamphetamine,Pentasa,Athlete Vitamin,row
,,,2.0,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Lavender oil
,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,ponstan
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydroxychloroquine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,Turmeric
,,,2.0,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Magnesium malate
,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,Probiotic
,2.0,,,,,,2.0,,,,,,,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,,,,0.0,2.0,,,,,0.0,2.0,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,2.0,,,0.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,Colpermin
,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,psychologist
,,,2.0,,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,0.0,,,,,2.0,0.0,,,,0.0,0.0,,,,,,,2.0,0.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,Magnesium
,2.0,,,,,,2.0,,,,,,,,,0.0,,,,0.0,,,0.0,2.0,,,,,,,,,,,,,0.0,2.0,,,,,0.0,2.0,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,2.0,,,0.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,pain relief
,2.0,,,,,,2.0,,,,,,,,,0.0,,,0.0,,,,0.0,2.0,,,,,,,,,,,,,0.0,2.0,,,,,0.0,2.0,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,2.0,,,0.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,Boswelia Complex
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Gaba
,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,Fish oil
,2.0,,,,,,2.0,,,,,,,,,0.0,,,0.0,0.0,,,,2.0,,,,,,,,,,,,,0.0,2.0,,,,,0.0,2.0,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,2.0,,,0.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,laxatives
,0.0,,,,,,0.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,Standing desk
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,2.0,,,,0.0,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Inositol
,,,0.0,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,,,,2.0,,,,,2.0,,,,,0.0,,,,,2.0,2.0,,,,,,,0.0,,,,,,2.0,2.0,,,,,,,0.0,,,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,gluten free diet
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,Language Learning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prilosec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9% Sodium Chloride Solution 1L
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,2.0,,,,,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Tyrosine
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,ASMR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yin Chiao
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pataday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,Citalopram
,,,0.0,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,,,,2.0,0.0,,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,0.0,,,,,,2.0,2.0,,,,,,,0.0,,,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Methylphenidate
,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,Synthroid
,2.0,,,,,,2.0,,,,,,,,,0.0,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,,,,,2.0,,,,,0.0,2.0,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,2.0,,,0.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,excedrin migraine
,0.0,,,,,,0.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,,,,2.0,,,,,,2.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,Quell
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,SPD alternative treatments
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Green Vibrance
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,0.0,,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Epsom Salts
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,Pet Therapy
,2.0,,,,,,2.0,,,,,,,,,0.0,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,,,,0.0,2.0,,,,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,2.0,,,0.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,Buffered Salmon Oil - DHA - EPA
,0.0,,,,,,0.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,Recov Bipeptides
,0.0,,,0.0,,,0.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,0.0,,,0.0,,,,0.0,,,,,,2.0,0.0,0.0,,,0.0,2.0,0.0,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,,,,0.0,,,2.0,0.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,breathing exercises
,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,Vitamin B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,co-tenidone
,,,0.0,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,,,,2.0,0.0,,,,2.0,,,,,0.0,,,,,2.0,2.0,,,,,,,,,,,,,2.0,2.0,,,,,,,0.0,,,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Ropinirole
,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,Cleaning 
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,Vitamin C
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,Medication
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,Cetirizine
,0.0,,,,,,0.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,Pain management
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,0.0,,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,CuraMed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,Farm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,Vitamin e
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tian Ma Tou Tong - headache
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
,,,0.0,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,,,,2.0,0.0,,,,2.0,,,,,0.0,,,,,2.0,2.0,,,,,,,0.0,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Plaquenil
,0.0,,,,,,0.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,Yoga
,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vyvanse
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,Albuterol Inhaler
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,Therapy
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clonazepam
,0.0,0.0,,,0.0,,0.0,,,,0.0,,,,,2.0,0.0,,2.0,2.0,,,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,2.0,,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,Physio
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Topiramate
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,N-acetyl cysteine
,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,Paracatamol with codeine
,0.0,,,,,,0.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,linseed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enbrel
,0.0,,,,,,0.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,0.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,Headspace
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,eye compress
,,,2.0,,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,2.0,,,,0.0,,,,,2.0,,,,,0.0,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,Mirtazapine
