Codeine-Panadol,Vitamin d,Valdoxan,Boswelia Complex,Boswelia,Migraine Diet,Vyvanse,Synthroid,Ventolin,floravit iron,Eyebright Complex,Acetyl Carnitine,Lithium,Magnesium gel,pur-absorb iron,Ranitidine,Nasonex,Pataday,Creatine,Clonazepam,Zofran,Ecural,Vitamin,Soluble Aspirin,Buspirone,DLPA,N-Acelcysteine,Tetralabs Gold Caps,Aspirin,antihistamines,Valium,linseed,Mt. Si ACDC 2x Coco Caps,Probiotic,Cefaly Unit,Antihistamine,Tian Ma Tou Tong - headache,Codeine,Progesterone,Spironolactone,Vitamin B,Physiotherapy,Temazepam,Probiotics,Magnesium,Iron,Multivitamin,Flutiform,Ondansetron,Panamax,Esopram,Mirtazapine,Zoladex,Flexeril,Pain management,Voltaren,Fish oil,Vitamin B complex - 50,Wei Te Ling - heartburn,Vitamin a,Athlete Vitamin,Standing desk,Ibuprofen,Mezavant,Nortriptyline,Prednisone,row
,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,2.0,,,,,2.0,2.0,,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,,Ecural
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,Vitamin
0.0,0.0,0.0174297543029,0.0,0.0,0.0,0.0174297543029,2.0,0.0174297543029,0.0,0.0,0.0,1.7649584189,2.0,0.0,2.0,0.0174297543029,0.0,0.322380826987,1.73327763922,0.0174297543029,2.0,,,0.0174297543029,0.0,2.0,,0.0,0.0,0.0174297543029,0.0,,2.0,,0.0,0.0,0.0174297543029,0.0,0.0174297543029,0.0174297543029,0.0,0.0,0.0,0.104143040573,0.0174297543029,0.0,0.0,0.0,0.000690606502932,,0.0,0.0174297543029,,0.0,0.0174297543029,2.0,0.0,0.0,0.0174297543029,0.0,2.0,0.0206087530887,2.0,1.48706831453,,Soluble Aspirin
0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,2.22044604925e-16,2.0,2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,2.22044604925e-16,0.0,0.470898708941,1.84688998885,2.22044604925e-16,2.0,,0.0174297543029,,0.0,2.0,,0.0,0.0,2.22044604925e-16,0.0,,2.0,,0.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,2.22044604925e-16,0.0,0.0,0.0,0.0371580280763,2.22044604925e-16,0.0,0.0,0.0,0.0112009133135,,0.0,0.0,,0.0,2.22044604925e-16,2.0,0.0,0.0,2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,,Buspirone
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,DLPA
2.0,,2.0,2.0,2.0,,2.0,,2.0,,,2.0,0.0,,,,2.0,,2.0,0.0,2.0,,,2.0,2.0,,,,2.0,2.0,2.0,,,,,2.0,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,,,2.0,,,,2.0,2.0,,2.0,,0.0,2.0,N-Acelcysteine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Tetralabs Gold Caps
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0,Aspirin
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0,antihistamines
0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,2.22044604925e-16,2.0,2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,2.22044604925e-16,0.0,0.470898708941,1.84688998885,2.22044604925e-16,2.0,,0.0174297543029,2.22044604925e-16,0.0,2.0,,0.0,0.0,,0.0,,2.0,,0.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,2.22044604925e-16,0.0,0.0,0.0,0.0371580280763,2.22044604925e-16,0.0,0.0,0.0,0.0112009133135,,0.0,2.22044604925e-16,,0.0,2.22044604925e-16,2.0,0.0,0.0,2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,,Valium
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,linseed
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Cefaly Unit
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0,Antihistamine
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,Tian Ma Tou Tong - headache
0.0,0.0,1.11022302463e-16,0.0,0.0,0.0,1.11022302463e-16,2.0,1.11022302463e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,1.11022302463e-16,0.0,0.470898708941,1.84688998885,2.22044604925e-16,2.0,,0.0174297543029,2.22044604925e-16,0.0,2.0,,0.0,0.0,2.22044604925e-16,0.0,,2.0,,0.0,0.0,,0.0,1.11022302463e-16,1.11022302463e-16,0.0,0.0,0.0,0.0371580280763,1.11022302463e-16,0.0,0.0,0.0,0.0112009133135,,0.0,2.22044604925e-16,,0.0,1.11022302463e-16,2.0,0.0,0.0,1.11022302463e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,,Codeine
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,Progesterone
0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,2.22044604925e-16,2.0,2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,2.22044604925e-16,0.0,0.470898708941,1.84688998885,2.22044604925e-16,2.0,,0.0174297543029,2.22044604925e-16,0.0,2.0,,0.0,0.0,2.22044604925e-16,0.0,,2.0,,0.0,0.0,1.11022302463e-16,0.0,,2.22044604925e-16,0.0,0.0,0.0,0.0371580280763,2.22044604925e-16,0.0,0.0,0.0,0.0112009133135,,0.0,2.22044604925e-16,,0.0,2.22044604925e-16,2.0,0.0,0.0,2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,,Spironolactone
0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,2.22044604925e-16,2.0,2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,2.22044604925e-16,0.0,0.470898708941,1.84688998885,2.22044604925e-16,2.0,,0.0174297543029,2.22044604925e-16,0.0,2.0,,0.0,0.0,2.22044604925e-16,0.0,,2.0,,0.0,0.0,1.11022302463e-16,0.0,2.22044604925e-16,,0.0,0.0,0.0,0.0371580280763,2.22044604925e-16,0.0,0.0,0.0,0.0112009133135,,0.0,2.22044604925e-16,,0.0,2.22044604925e-16,2.0,0.0,0.0,2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,,Vitamin B
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,Physiotherapy
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0,Temazepam
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0,Probiotics
0.0,0.0,0.0371580280763,0.0,0.0,0.0,0.0371580280763,2.0,0.0371580280763,0.0,0.0,0.0,1.97148532956,2.0,0.0,2.0,0.0371580280763,0.0,0.719725433811,1.95903341685,0.0371580280763,2.0,,0.104143040573,0.0371580280763,0.0,2.0,,0.0,0.0,0.0371580280763,0.0,,2.0,,0.0,0.0,0.0371580280763,0.0,0.0371580280763,0.0371580280763,0.0,0.0,0.0,,0.0371580280763,0.0,0.0,0.0,0.088250730243,,0.0,0.0371580280763,,0.0,0.0371580280763,2.0,0.0,0.0,0.0371580280763,0.0,2.0,0.0328606741063,2.0,1.0482708019,,Magnesium
0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,2.22044604925e-16,2.0,2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,2.22044604925e-16,0.0,0.470898708941,1.84688998885,2.22044604925e-16,2.0,,0.0174297543029,2.22044604925e-16,0.0,2.0,,0.0,0.0,2.22044604925e-16,0.0,,2.0,,0.0,0.0,1.11022302463e-16,0.0,2.22044604925e-16,2.22044604925e-16,0.0,0.0,0.0,0.0371580280763,,0.0,0.0,0.0,0.0112009133135,,0.0,2.22044604925e-16,,0.0,2.22044604925e-16,2.0,0.0,0.0,2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,,Iron
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,Multivitamin
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0,Flutiform
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,Ondansetron
0.0,0.0,0.0112009133135,0.0,0.0,0.0,0.0112009133135,2.0,0.0112009133135,0.0,0.0,0.0,1.78836301147,2.0,0.0,2.0,0.0112009133135,0.0,0.35017545989,1.75803622203,0.0112009133135,2.0,,0.000690606502932,0.0112009133135,0.0,2.0,,0.0,0.0,0.0112009133135,0.0,,2.0,,0.0,0.0,0.0112009133135,0.0,0.0112009133135,0.0112009133135,0.0,0.0,0.0,0.088250730243,0.0112009133135,0.0,0.0,0.0,,,0.0,0.0112009133135,,0.0,0.0112009133135,2.0,0.0,0.0,0.0112009133135,0.0,2.0,0.0137801906613,2.0,1.45427926262,,Panamax
,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Esopram
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,Mirtazapine
0.0,0.0,2.22044604925e-16,0.0,0.0,0.0,2.22044604925e-16,2.0,2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,2.22044604925e-16,0.0,0.470898708941,1.84688998885,1.11022302463e-16,2.0,,0.0174297543029,0.0,0.0,2.0,,0.0,0.0,2.22044604925e-16,0.0,,2.0,,0.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,2.22044604925e-16,0.0,0.0,0.0,0.0371580280763,2.22044604925e-16,0.0,0.0,0.0,0.0112009133135,,0.0,,,0.0,2.22044604925e-16,2.0,0.0,0.0,2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,,Zoladex
,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,Flexeril
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,,Pain management
