Dicyclomine,Home physio exercises,Tranexamic acid,Phyical Therapy - stretches,Ranitidine,Prilosec,Osteopathy,Tretinoin,Pantoprazole,aqua therapy,Imodium,Metformin,Tetralabs Gold Caps CBN,Fexofenadine,Prednisone,Relaxing,Citalopram,Clinda-derm,excedrin migraine,Physio,Topiramate,Achy breaky rub,ponstan,Tetralabs Gold Caps,Paracatamol with codeine,Enada,Corticosteroids,Mt. Si ACDC 2x Coco Caps,Progesterone,Vitamin B,Migraine herb feverfew tablets,Medication,Magnesium,Iron,Wellbutrin,Flexeril,Sertraline,Zomig,psychologist,Montelukast,Methotrexate,Multi-vitamin,Florinef,row
2.0,,2.0,2.0,,,2.0,2.0,0.0,,,0.0,,2.0,,2.0,,2.0,0.0,,,0.0,,,,2.0,2.0,,2.0,2.0,,,,,,,,2.0,,2.0,,,,Medication
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,Wellbutrin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,Sertraline
0.0,0.0,0.228097374753,0.0,0.0,0.0,0.0314036808423,0.0,1.46839631593,0.0,0.0,1.32031594395,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0690670866907,0.0969608120969,2.0,2.0,0.0,,,,,,0.0,0.0,,0.0,,Zomig
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,,,,0.0,,psychologist
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,2.0,,0.0,,0.0,,0.0,2.0,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,,,,,,0.0,,,,,,Montelukast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,,,Multi-vitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florinef
