Home physio exercises,Iron,Women's probiotic,Migraine Diet,Bu Zhong Yi Qi capsules,Prilosec,Vyvanse,Osteopathy,Zoladex,floravit iron,Valdoxan,Physiotherapy,Pantoprazole,Eyebright Complex,aqua therapy,Lithium,Metformin,Magnesium gel,pur-absorb iron,Vitamin d,Nasonex,Prednisone,Creatine,Citalopram,Zofran,Ecural,Soluble Aspirin,Buspirone,Turmeric tea,Physio,Topiramate,DLPA,Pataday,ponstan,Vitamin B complex - 50,Valium,Ferrous sulfate,Paracatamol with codeine,Kirkland Fish Oil,linseed,Ranitidine,Voltaren,Ventolin,Tian Ma Tou Tong - headache,Codeine,Progesterone,Spironolactone,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Multivitamin,Ondansetron,Panamax,Standing desk,Mirtazapine,Vitamin C,Pain management,Dr J study,Nortriptyline,Zomig,psychologist,Wei Te Ling - heartburn,Clonazepam,Vitamin a,Nutrasea Fish Oil,Ibuprofen,Methotrexate,Gui Pi Pills,Multi-vitamin,Imodium,row
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Buspirone
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Turmeric tea
0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,Physio
0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,Topiramate
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,DLPA
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Pataday
0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,ponstan
,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,2.0,2.0,,,2.0,2.0,,,2.0,2.0,,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,0.0,2.0,2.0,2.0,2.0,,2.0,,,Vitamin B complex - 50
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Valium
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Ferrous sulfate
0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,Paracatamol with codeine
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Kirkland Fish Oil
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,linseed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,,2.0,2.0,,,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,0.0,2.0,2.0,2.0,2.0,,2.0,,,Voltaren
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Ventolin
,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,0.0,2.0,2.0,2.0,2.0,,2.0,,,Tian Ma Tou Tong - headache
,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,,2.0,2.0,,0.0,2.0,0.0,,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,0.0,2.0,2.0,2.0,2.0,,2.0,,,Codeine
0.0,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,0.0,0.0,,2.0,1.48061873867,2.0,1.60729492719,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,Progesterone
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Spironolactone
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,1.48061873867,0.0,,2.0,0.011422692093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,Vitamin B
2.0,,,,,,,2.0,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,2.0,2.0,,,2.0,,,,2.0,,,,,,,,2.0,,2.0,,2.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,2.0,,Migraine herb feverfew tablets
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,1.60729492719,0.0,0.011422692093,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,Magnesium
0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,Tranexamic acid
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Multivitamin
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Ondansetron
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Panamax
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Standing desk
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Mirtazapine
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Vitamin C
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,,Pain management
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr J study
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nortriptyline
0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,Zomig
0.0,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,psychologist
,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,0.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,2.0,,2.0,,,Wei Te Ling - heartburn
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,,0.0,0.0,0.0,,0.0,,,Clonazepam
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,,0.0,0.0,,0.0,,,Vitamin a
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,,0.0,,0.0,,,Nutrasea Fish Oil
,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,,,0.0,,,Ibuprofen
