Went to work,adulting,medicated,workflow ,StressedToTheMax!,exhausted,good sleep,underslept,sad,depressed,Emotionally Drained,Bride2Be,SoTired,sober,Body Achess,slept all day,droopyeyed,chores,MedicalProblems,SoldierLife,Pain,LoveNaps,Physically Spent,unfocused,stayed home,calm,SAD light,hard to wake up,moody,frustrated,painful,felt blamed,hard to think,motivated,triggered,very hard to do anything today,gynecologist,JobLife,overslept,StupidAccident,sore,too many things this week,not forgetful,worried,nausea,ImABridesmaid,lost,Physical therapy,saw Chris,did the treatment thing too,Sleepy,priorities,IHurtBad,work,migraine,MOH,LosingMyJob,stressed,NightNightBlues,bad pain day,very sleepy,row
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,droopyeyed
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,chores
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,MedicalProblems
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,SoldierLife
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,Pain
,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,2.0,,,,,,,2.0,2.0,,,2.0,,2.0,,2.0,,0.0,2.0,2.0,,,,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,,2.0,,2.0,LoveNaps
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,Physically Spent
,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,unfocused
,,,,,,,0.0,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,stayed home
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,calm
,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,SAD light
0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,hard to wake up
,,,,,,,2.0,0.0,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,moody
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,frustrated
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,painful
,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,felt blamed
0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,hard to think
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,motivated
,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,triggered
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,very hard to do anything today
,,,,,,,2.0,0.0,,,,,,,,,,,,,,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,gynecologist
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,JobLife
,,,,,,,2.0,0.0,,,,,,,,,,,,,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,overslept
,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,0.0,2.0,,,,,,,2.0,2.0,,,2.0,,2.0,,2.0,,,2.0,2.0,,,,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,,2.0,,2.0,StupidAccident
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,sore
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,too many things this week
0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,not forgetful
,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,worried
0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,nausea
,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,0.0,2.0,,,,,,,2.0,2.0,,,2.0,,2.0,,2.0,,0.0,2.0,2.0,,,,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,,2.0,,2.0,ImABridesmaid
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,lost
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,Physical therapy
,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,saw Chris
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,0.0,did the treatment thing too
,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,0.0,2.0,,,,,,,2.0,2.0,,,2.0,,2.0,,2.0,,0.0,2.0,2.0,,,,0.0,2.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,2.0,,2.0,,2.0,Sleepy
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,,2.0,0.0,,2.0,0.0,,0.0,,0.0,priorities
,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,0.0,2.0,,,,,,,2.0,2.0,,,2.0,,2.0,,2.0,,0.0,2.0,2.0,,,,0.0,2.0,2.0,,2.0,0.0,2.0,,2.0,,0.0,2.0,,2.0,,2.0,IHurtBad
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,,2.0,0.0,,0.0,,0.0,work
0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,migraine
,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,,2.0,2.0,2.0,0.0,2.0,,,,,,,2.0,2.0,,,2.0,,2.0,,2.0,,0.0,2.0,2.0,,,,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,,,2.0,,2.0,,2.0,MOH
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,,,0.0,,0.0,LosingMyJob
0.0,,,,,0.0,,2.0,0.0,,,,,,,0.0,,,,,,,,0.0,2.0,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,stressed
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,,,0.0,NightNightBlues
,,,,,,,2.0,0.0,,,,,,,,,,,,,,,0.0,2.0,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,bad pain day
,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,,0.0,,,very sleepy
