Went to work,tannins,cane,family,rheumatology,beef pot pie,forgot meds til evening,Levothyroxine,early night,Excited,Headache,Regular Day,Pain,Saw Adam,symptoms occured late in day,DONE being addicted to food,dr appointment,too much to do,rehearsals,dairy,low,hot flushes,kidney infection,exercise,happy,twitching alot,Slept well,Withdrawal effects,skipped strattera,uti,walked Byron,Recovery ,mourning,Vitamin C,Ate once,slept well,stressful,friends,broccoli,no work,fibromyalgia,sick with cold,work,good sleep,walked,12K Steps,painkillers,Groceries,cinnamon,everything tastes off,saw James R,annoyed,didn't go to class,row
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,twitching alot
,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,,,Slept well
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,Withdrawal effects
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,skipped strattera
,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,,uti
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,walked Byron
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,0.0,Recovery 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mourning
,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,,Vitamin C
,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,Ate once
,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,slept well
,,,2.0,,,,,,2.0,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,stressful
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,friends
,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,0.0,,,,,,,0.0,,,,,broccoli
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,no work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibromyalgia
,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,,,,sick with cold
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,work
,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,,,,0.0,,,,,2.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,2.0,,,0.0,,,,,,good sleep
,,,0.0,,,,,,0.0,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,walked
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,12K Steps
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,painkillers
,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,Groceries
,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,0.0,,,0.0,,,,,,,,,,,,cinnamon
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,0.0,everything tastes off
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,0.0,saw James R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,annoyed
0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,,didn't go to class
