AM meds,danced,Zantac,thanksgiving dinner,IVIG,pasta and veggies,MitoQ ,Oestrogel,Amitriptyline,almonds,had sex,Florinef,Acetaminophen,Zolpidem,BLT,flaxseed and fybogel,ate breakfast,haircut,Omega-3 Capsules,Cod liver oil,went swimming,vacation,spinach risotto,dairy,Psyllium husk,Venlafaxine,Prontolax Supp,exercise,Cat ,Superlong nap,gluten,Excedrin,ate gluten,Ligament Restore,SAD Light Box,Cat,Vitamin C,Gabapentine,Vitamin D3,vacuuming,no breakfast,egg white dlite,slept in chair,sushi,doritos,home alone,Physical therapy,Nortriptyline,Marijuana,walked,banana,Hydrocortisone,rice noodles,Ibuprofen,cake,Vacation,Singing,drank a lot,massage,Pantoprazole,row
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,Cat 
,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,gluten
,,0.0,,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,Excedrin
,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,ate gluten
,,0.0,,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,Ligament Restore
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,SAD Light Box
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,Cat
,,,2.0,,,,,0.0,2.0,,,,,2.0,2.0,,2.0,,,,,2.0,,,,,,2.0,,,,,,2.0,2.0,,,0.0,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,,,,2.0,,0.0,,Vitamin C
,,,,,,0.0,0.0,,,2.0,,,0.0,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,0.0,Gabapentine
,,0.0,2.0,0.0,2.0,,,0.0,2.0,,,,,2.0,2.0,,2.0,,0.0,,,2.0,,0.0,,,,2.0,,,0.0,,0.0,2.0,2.0,0.0,,,2.0,,2.0,2.0,0.0,2.0,2.0,,,,,,,2.0,,2.0,,2.0,,0.0,,Vitamin D3
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,vacuuming
,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,no breakfast
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,,0.0,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,egg white dlite
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,,2.0,0.0,,,,,,,,0.0,,,,0.0,,2.0,,slept in chair
,,,2.0,,,,,0.0,2.0,,,,,2.0,2.0,,2.0,,,,,2.0,,,,,,2.0,,,,,,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,,2.0,,,,,,,,2.0,,,,2.0,,0.0,,sushi
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,,,,,,,,,0.0,,,,0.0,,2.0,,doritos
,,2.0,,2.0,0.0,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,home alone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical therapy
,,,,,,0.0,0.0,,,2.0,,,0.0,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,0.0,Nortriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marijuana
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,walked
,,,,,,2.0,2.0,,,0.0,,,2.0,,,,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,2.0,banana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrocortisone
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,,,,,0.0,,2.0,,rice noodles
,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,2.0,,2.0,0.0,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,,2.0,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,cake
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vacation
,,,0.0,,,,,2.0,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,,,2.0,,Singing
,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,drank a lot
,,,2.0,,,,,0.0,2.0,,,,,2.0,2.0,,2.0,,,,,2.0,,,,,,2.0,,,,,,2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,,,,2.0,,,,massage
,,,,,,0.0,0.0,,,2.0,,,0.0,,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,,Pantoprazole
