didn't really eat lunch,Vitamins,hiking,Dancing,physical therapy,Language Learning,church,Fluids,Biosil,trying to clean the house,Naproxen,prayer,Extra Medications,fuck yeah avocado,ate breakfast,ASMR,Coffee,busy,Medical Marijuana,Ocella,Trigger Points,espresso,Sauna,Daily walk,hot,Exercise--walking,playing music,SPD alternative treatments,Weather- rain,Therapy,Swimming,creative writing,exercise,Humira,Superlong nap,Aloe Detox Water,gluten,Pet Therapy,Medical marijuana,Buffered Salmon Oil - DHA - EPA,breathing exercises,Essential oils,slept 12 hours,coffee,Iron,Tavegyl,Thyroid-Pro (CanPrev),Turmeric,Vitamin C,Medication,no sleep,Deep rest,B12 timed release,cuddled kitten,Hemorrhoid Cream,AOR Zinc-Copper Balance,Meditation,massage,TENS Unit,row
,,,0.0,0.0,,,,0.0,0.0,,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,Naproxen
,,,0.0,0.0,,,,0.0,0.0,0.0,,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,prayer
,0.0,,,,0.0,2.0,0.0,,,,,,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Extra Medications
,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,,,,0.0,,,2.0,,,,,2.0,2.0,,,2.0,2.0,2.0,,,,,,,,2.0,,,,,,2.0,2.0,,,,,2.0,2.0,0.0,,2.0,,,,fuck yeah avocado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,ASMR
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Coffee
,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,,2.0,,2.0,0.0,,2.0,,1.99717928264,2.0,2.0,2.0,1.99795654037,2.0,2.0,,,,2.0,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,,2.0,2.0,2.0,,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,busy
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Medical Marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,Ocella
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,Trigger Points
,2.0,,,,2.0,0.0,2.0,,,,,2.0,,,2.0,2.0,0.0,2.0,,,,,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,,2.0,0.0,,2.0,2.0,0.0,0.0,,,,2.0,,2.0,0.0,,,,,,2.0,2.0,2.0,espresso
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,Sauna
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Daily walk
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot
,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.99717928264,0.0,,0.0,2.0,,0.0,,,0.0,0.0,0.0,6.25765465484e-05,0.0,0.0,,,,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,Exercise--walking
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,playing music
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,SPD alternative treatments
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Weather- rain
,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.99795654037,0.0,,0.0,2.0,,0.0,,6.25765465484e-05,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,Therapy
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,Swimming
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,creative writing
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,exercise
,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.22044604925e-16,,,,0.0148546531837,,,,,,1.11022302463e-16,,,,,Humira
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Aloe Detox Water
,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,gluten
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Pet Therapy
,2.0,,,,2.0,0.0,2.0,,,,,2.0,,,2.0,2.0,0.0,2.0,,,0.0,,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,,2.0,,,2.0,2.0,0.0,0.0,,,,2.0,,2.0,0.0,,,,,,2.0,2.0,2.0,Medical marijuana
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,0.0,,,,Buffered Salmon Oil - DHA - EPA
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,breathing exercises
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,0.0,Essential oils
,2.0,,,,2.0,0.0,2.0,,,,,2.0,,,2.0,2.0,0.0,2.0,,,0.0,,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,,2.0,0.0,,2.0,2.0,,0.0,,,,2.0,,2.0,0.0,,,,,,2.0,2.0,2.0,slept 12 hours
,2.0,,,,2.0,0.0,2.0,,,,,2.0,,,2.0,2.0,0.0,2.0,,,0.0,,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,,2.0,0.0,,2.0,2.0,0.0,,,,,2.0,,2.0,0.0,,,,,,2.0,2.0,2.0,coffee
,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,2.22044604925e-16,,,,,,,,,,,,,,,0.0148546531837,,,,,,2.22044604925e-16,,,,,Iron
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,2.0,,0.0,,,,Tavegyl
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,2.0,,0.0,,,,Thyroid-Pro (CanPrev)
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,,,0.0,2.0,,,,,,0.0,0.0,0.0,Turmeric
,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0148546531837,,,,,,,,,,,0.0148546531837,,,,,,,,,,0.0148546531837,,,,,Vitamin C
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,,2.0,,,,,,0.0,0.0,0.0,Medication
,2.0,,,,2.0,0.0,2.0,,,,,2.0,,,2.0,2.0,0.0,2.0,,,0.0,,2.0,,2.0,,2.0,2.0,2.0,,,,,,2.0,,2.0,0.0,,2.0,2.0,0.0,0.0,,,,2.0,,2.0,,,,,,,2.0,2.0,2.0,no sleep
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,2.0,,0.0,,,,Deep rest
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,2.0,,0.0,,,,B12 timed release
,,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,0.0,,,,0.0,,,2.0,,,,,2.0,2.0,,,2.0,2.0,2.0,,,,,,,,2.0,,,,,,2.0,2.0,,,,,2.0,2.0,,,2.0,,,,cuddled kitten
,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,1.11022302463e-16,,,,,,,,,,,2.22044604925e-16,,,,0.0148546531837,,,,,,,,,,,Hemorrhoid Cream
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,,,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,AOR Zinc-Copper Balance
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,,0.0,0.0,Meditation
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,,0.0,massage
,0.0,,,,0.0,2.0,0.0,,,,,0.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,,,0.0,,0.0,2.0,,,,,,0.0,0.0,,TENS Unit
