Tranexamic acid,Phyical Therapy - stretches,Fluvoxamine,Osteopathy,Naproxen,Toprol,Prednisone,N-acetyl cysteine,Clarithromycin,Mt. Si ACDC 2x Coco Caps,Probiotic,TigerBalm,Magnesium,playing music,Swimming,Allegra,Flexeril,Marijuana,Lidocaine Patch,AOR Zinc-Copper Balance,Corticosteroids,Tretinoin,Buteyko  breathing exercises ,Low dose pain meds,gluten free diet,Vicodin,Acetaminophen,Tyrosine,Coffee,Strattera,Relaxing,Probiotic Gummy,Methylphenidate,Clinda-derm,excedrin migraine,Dexedrine,creative writing,Vitamin Gummies,Tetralabs Gold Caps CBN,Buffered Salmon Oil - DHA - EPA,Vitamin B,Ropinirole,Tavegyl,Sisu B Calm,Maxalt,Medication,Voltaren,Zomig,Hydrocortisone,digestive enzyme,Tolterodine,massage,Yoga,physical therapy,Florinef,Therapy,Metformin,Exercise,Biosil,Dancing,Topiramate,Plaquenil,Trigger Points,ZMA,Deep rest,Midodrine,Thyroid-Pro (CanPrev),Love,Ultrasound,Ibuprofen,Dicyclomine,Pantoprazole,Cefaly Unit,prayer,mountain biking,Ventolin,Fexofenadine,B12 timed release,Hit 10k Steps,Exercise--walking,Achy breaky rub,Zopiclone,Tetralabs Gold Caps,Piyo,Benadryl,Enada,Topamax,thyroid support complex,Progesterone,Essential oils,Calcium,Montelukast,Colesevelam,Paracetamol,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,Coffee
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,Strattera
0.0,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,0.0,,,,,2.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,2.0,,,,,2.0,,,0.0,,,2.0,,,Relaxing
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,Probiotic Gummy
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Methylphenidate
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Clinda-derm
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,excedrin migraine
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,Dexedrine
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,creative writing
,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,Vitamin Gummies
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,Buffered Salmon Oil - DHA - EPA
0.0,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,0.0,,,2.0,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,2.0,,,,,2.0,,,0.0,,,2.0,,,Vitamin B
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Ropinirole
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,Tavegyl
,,,,2.0,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,2.0,,2.0,,,2.0,0.0,,,0.0,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,,Sisu B Calm
,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,Maxalt
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Medication
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Voltaren
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Zomig
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Hydrocortisone
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,digestive enzyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolterodine
,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,massage
,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,Yoga
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Florinef
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,Therapy
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Metformin
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Exercise
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,Biosil
,,,,2.0,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,0.0,,,,,,,,,,2.0,,2.0,,,2.0,,,,0.0,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,,Dancing
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Topiramate
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Plaquenil
,,,,2.0,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,0.0,,,,,,,,,,2.0,,2.0,,,2.0,0.0,,,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,,Trigger Points
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,ZMA
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,Deep rest
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Midodrine
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,Thyroid-Pro (CanPrev)
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Love
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Ultrasound
,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Ibuprofen
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Dicyclomine
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Pantoprazole
,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Cefaly Unit
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,prayer
,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,mountain biking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Ventolin
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,2.0,,,0.0,,,Fexofenadine
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,B12 timed release
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Hit 10k Steps
,,,,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,0.0,,,0.0,2.0,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,Exercise--walking
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,2.0,,,0.0,,,Achy breaky rub
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zopiclone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Benadryl
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,,,2.0,,,0.0,,,Enada
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Topamax
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,thyroid support complex
0.0,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,,2.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,2.0,,,,,2.0,,,,,,2.0,,,Progesterone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essential oils
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium
2.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,2.0,,,,,,Montelukast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Colesevelam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
