8k steps,Hemorrhoid Cream,Fluids,Amitriptyline,played video games,Prednisone,Flonase,Diary,Iceburg Lettuce,Mirtazapine,Probiotic,ate gluten,Magnesium,day at home,Slept a lot,Flexeril,11K steps,Hiking,Fish oil,Rest,Triamcinolone Cream,spent day with others,took naps,Language Learning,slept 7 hours,ASMR,Coffee,Yin Chiao,Gluten,grocery shopping,Synthroid,SPD alternative treatments,Umeboshi,exercise,Humira,Pet Therapy,Superlong nap,breathing exercises,Daytime nap,Cleaning ,Vitamin C,Massage ,studied,hydrocortisone suppository ,fun shopping,Vitamin d,Late lunch,Canadian Bacon,massage,Yoga,hiking,fructose,shopped,had sex,Metformin,Bactrim,walked the dogs,Infection,15K steps,Therapy,Fructose,slept late,Taco Bell,Medication,2K steps,Slept during day,fructose ,Ibuprofen,Tylenol,Melatonin,TENS Unit,Valacyclovir,Nap,yoga,Wei Zhang Shun Qi Wan,Ocella,Exercise--walking,Ranitidine,Neti Pot,Kayaking,Gan Mao Qing anti-viral,Progesterone,Essential oils,Iron,Tian Ma Tou Tong - headache,Ondansetron,Biking,Pataday,Car travel,Fishing,Paracetamol,travel,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yin Chiao
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Gluten
,,,0.0,0.0,,,,,,,2.0,,,,0.0,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,2.0,,0.0,0.0,,,,,,,0.0,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grocery shopping
0.0,,,0.075585408977,0.0,,,,,0.0,0.0,1.73888779107,0.0,,,1.11022302463e-16,2.0,,0.0,,,,2.0,,,,,,,0.0,,,,,,,,,,0.0,,,2.0,,0.0,0.0,,,,,,,0.0,,1.11022302463e-16,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,Synthroid
,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,SPD alternative treatments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umeboshi
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,1.9954653669,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,exercise
,0.0,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,,,,,2.0,,0.0,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,0.0,,,,,2.0,2.0,,,Humira
,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,Pet Therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,breathing exercises
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Daytime nap
,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,Cleaning 
,0.0,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,0.0,,,,,2.0,2.0,,,Vitamin C
,,,,,,,,,,,,,,,,,,,0.520611732341,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293948203117,,,,,,1.9992667216,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massage 
,,,2.0,2.0,,,,,,,0.0,,,,2.0,,,,,,,0.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,studied
,0.0,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,0.0,,,,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,0.0,,,,,2.0,2.0,,,hydrocortisone suppository 
,,,0.0,0.0,,,,,,,2.0,,,,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,,,,,,2.0,,,0.0,,,,,,,0.0,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fun shopping
0.0,,,0.075585408977,0.0,,,,,0.0,0.0,1.73888779107,0.0,,,1.11022302463e-16,2.0,,0.0,,,,2.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,2.0,,0.0,,,,,,,,0.0,,1.11022302463e-16,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,Vitamin d
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Late lunch
,,,,,,,,,,,,,,,,,,,0.0400435968182,,,,,,,,,,,,,,,,,,,,,,0.293948203117,,,,,,,,,,,,1.67841958146,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Bacon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoga
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,0.0,,0.0,,2.0,,,2.0,,,0.0,,,,,0.0,,1.99970548948,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,hiking
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,fructose
,,,0.0,0.0,,,,,,,2.0,,,,0.0,,,,,,,2.0,,,,,,,0.0,0.0,,,,,,,,,,,,2.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopped
,0.0,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,1.44543452996,0.0,,,,,,,,2.0,,,,,1.9954653669,0.0,,2.0,,2.0,,0.0,1.9992667216,,0.0,,,2.0,1.67841958146,,,1.99970548948,2.0,,,,,2.0,2.0,,,0.0,2.0,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,0.0,,,,,2.0,2.0,,,had sex
0.0,,,0.075585408977,0.0,,,,,,,1.73888779107,,,,1.11022302463e-16,2.0,,,,,,2.0,,,,,,,0.0,1.11022302463e-16,,,,,,,,,,,,2.0,,0.0,1.11022302463e-16,,,,,,,0.0,,,,,,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,Metformin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bactrim
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,walked the dogs
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infection
2.0,,,2.0,,,,,,,,0.0,,,,2.0,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,15K steps
,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,Therapy
,0.0,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,0.0,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,0.0,,,,,2.0,2.0,,,Fructose
,,,2.0,2.0,,,,,,,0.0,,,,2.0,,,,0.0,,,0.0,,,,,,,2.0,2.0,,,,,,,,,,,0.0,0.0,,2.0,2.0,,0.0,,,,,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept late
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Taco Bell
,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,Medication
2.0,,,2.0,,,,,,,,0.0,,,,2.0,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,2K steps
,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept during day
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,fructose 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Ibuprofen
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Tylenol
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Melatonin
,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,TENS Unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valacyclovir
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,,0.0,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,Nap
,2.0,,,,2.0,2.0,0.0,0.0,,,,,,,,,0.0,2.0,,2.0,,,,,,,,0.0,,,,,0.0,2.0,,,,0.0,,2.0,,,2.0,,,0.0,,,,0.0,0.0,,2.0,,,0.0,,,,2.0,,0.0,,,,0.0,,0.0,0.0,,,0.0,,,2.0,,,2.0,,,,,2.0,,,,,0.0,0.0,,,yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wei Zhang Shun Qi Wan
,0.0,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,0.0,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,,,,0.0,,,,,0.0,,,,,2.0,2.0,,,Ocella
,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,Exercise--walking
,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,Ranitidine
,0.0,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,0.0,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,,,,,,0.0,,,,,2.0,2.0,,,Neti Pot
0.0,,,0.0,,,,,,,,2.0,,,,0.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Kayaking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gan Mao Qing anti-viral
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Progesterone
,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,Essential oils
,0.0,,,,0.0,0.0,2.0,2.0,,,,,,,,,2.0,0.0,,0.0,,,,,,,,2.0,,,,,2.0,0.0,,,,2.0,,0.0,,,0.0,,,2.0,,,,2.0,2.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,0.0,,,0.0,,,,,,,,,,2.0,2.0,,,Iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tian Ma Tou Tong - headache
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ondansetron
,,,,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Biking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pataday
