Dicyclomine,Diazepam,Tretinoin,gluten free diet,L-methylfolate,Albuterol Inhaler,birth control,Lithium,Magnesium gel,Aspirin,Fexofenadine,Prednisone,sugar free diet,Zolmitriptan,Clonazepam,Clinda-derm,Ecural,Synthroid,Cambia,Paracetamol,Exercise--walking,elliptical,Valerian,Turmeric,creative writing,Multi vitamin,Benadryl,linseed,Ranitidine,Probiotic,Stretching,Calcium citrate,Vitamin C,Deep rest,Physiotherapy,Magnesium,Glucosamine,Multivitamin,Sisu B Calm,Keppra,Gabapentin,Ginkgo,Escitalopram,Cetirizine,Mezavant,Sertraline,Fish oil,Creatine,Montelukast,Lexapro,Standing desk,Ibuprofen,Meditation,Vitamin d,Cardio,Nortriptyline,massage,Pristiq,row
,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,2.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,Calcium citrate
,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,0.0,,,2.0,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,Vitamin C
,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,Deep rest
,,,,,,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,2.0,,,Physiotherapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Magnesium
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,Glucosamine
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,Multivitamin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sisu B Calm
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,Keppra
0.0,0.0,2.0,,0.0,,0.0,,,0.0,0.0,,,2.0,,2.0,,,2.0,,2.0,0.0,2.0,,,,2.0,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Gabapentin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginkgo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Escitalopram
,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,0.0,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,Cetirizine
,,,,,,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,2.0,,,Mezavant
,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Sertraline
,,,,,,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,2.0,,,Fish oil
,,,,,,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,0.0,,,0.0,,2.0,,,Creatine
0.0,,2.0,,,,,,,,0.0,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Montelukast
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,Lexapro
,,,,,,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,2.0,,,Standing desk
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,Ibuprofen
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,Meditation
,,,,,0.0,,0.0,0.0,,,2.0,,,0.0,,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0461583941113,0.0,,0.0,2.0,,0.0,,,,,,,,,2.0,0.0,,0.0,0.0,,,0.0,,,,,2.0,,,Vitamin d
,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,Cardio
,,,,,,,2.0,2.0,,,0.0,,,2.0,,2.0,2.0,,,,,,,,,,2.0,2.0,2.0,,,,,2.0,,,,,,,,,,2.0,,2.0,2.0,,,2.0,,,2.0,,,,,Nortriptyline
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,0.0,massage
,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,2.0,,2.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,Pristiq
