Diazepam,Sewing,Ritalin,danced,hiking,Cod liver oil,IVIG,Pepto-bismol,Albuterol Inhaler,walked,worked,ate breakfast,Vitamin D3,Clonazepam,Risperidone,housework,gaming,Dexedrine,Psyllium husk,Zantac,hearing aid,Deep Breathing,banana,exercise,rest day,Benadryl,Ranitidine,Excedrin,Ligament Restore,Codeine,Oxcarbazepine,Calcium citrate,Vitamin C,Lamictal,pasta,Adderall,catheter,Heathen ritual,Turmeric,Cetirizine,Sleeping pills ,Tramadol,no sleep,Vitamin d,had sex,Meditation,masturbated,low protein,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heathen ritual
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turmeric
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleeping pills 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tramadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meditation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,masturbated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low protein
