Caffeine,Aromatherapy,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,Strattera,Low oxalate,Tylenol 3,rebounding,gluten free,Snooze,Famotidine,DEHA,Vitamin b complex,Methylcobalamine,Trigger Points,therapy session,Astelin,Vitamin C,Tavegyl,Allegra,Klonopin,Singulair,Fish oil,Snacks,CoQ10,Vitamin b12,Cannabis,Veggies,Zinc,Vitamin d,Melatonin,LUSH acne spot-treatment,massage,row
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,Astelin
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tavegyl
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,Allegra
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,Klonopin
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,Singulair
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snacks
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,CoQ10
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veggies
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,Zinc
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,Vitamin d
,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUSH acne spot-treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
