Dicyclomine,Tretinoin,Ritalin,BeachBody OnDemand,Vitamin a,Cyclizine,Voltaren,Vyvanse,Synthroid,Zoladex,Valacyclovir,floravit iron,Valdoxan,Florinef,Eyebright Complex,Lithium,Magnesium gel,pur-absorb iron,Vitamin d,Solifenacin,Montelukast,Fexofenadine,Pataday,Creatine,Clonazepam,Zofran,Clinda-derm,Ecural,Vitamin b12,Soluble Aspirin,vitamin D tablets,Zolmitriptan,Nasonex,Feverfew,DLPA,Valerian,Mirtazapine,Piyo,Valium,Benadryl,linseed,Ranitidine,Probiotic,Buspirone,Tian Ma Tou Tong - headache,Codeine,thyroid support complex,TigerBalm,Progesterone,Spironolactone,Bovine colostrum,Physiotherapy,Magnesium,Iron,Multivitamin,Ondansetron,Panamax,Gabapentin,Ventolin,Migraine Diet,Pain management,Vitamin B,Fish oil,Vitamin B complex - 50,Wei Te Ling - heartburn,Hydrocortisone,digestive enzyme,Standing desk,Ibuprofen,Passionflower,Mezavant,Nortriptyline,Prednisone,row
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Vitamin d
,,0.0,0.0,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,Solifenacin
2.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Montelukast
2.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Fexofenadine
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Pataday
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,,0.0,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,0.0,2.0,,0.0,0.0,,Creatine
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,0.0,,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,0.0,2.0,,0.0,0.0,,Clonazepam
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Zofran
2.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,Clinda-derm
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,0.0,2.0,,0.0,0.0,,Ecural
,,0.0,0.0,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soluble Aspirin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitamin D tablets
0.0,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,Zolmitriptan
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Nasonex
,,0.0,0.0,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,Feverfew
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,DLPA
0.0,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,Valerian
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Mirtazapine
,,0.0,0.0,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,Piyo
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Valium
0.0,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,Benadryl
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,linseed
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,0.0,2.0,,0.0,0.0,,Ranitidine
,,0.0,0.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,,2.0,0.0,0.0,2.0,,0.0,0.0,,,,2.0,0.0,2.0,,2.0,0.0,2.0,,2.0,0.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,Probiotic
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Buspirone
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Tian Ma Tou Tong - headache
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Codeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,thyroid support complex
,,0.0,0.0,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.0,,,,TigerBalm
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Progesterone
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Spironolactone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bovine colostrum
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,0.0,2.0,,0.0,0.0,,Physiotherapy
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Magnesium
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Iron
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Multivitamin
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Ondansetron
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Panamax
2.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Ventolin
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Migraine Diet
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Pain management
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,,Vitamin B
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,,0.0,2.0,,0.0,0.0,,Fish oil
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,,,2.0,0.0,,2.0,2.0,,Vitamin B complex - 50
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,,,,2.0,0.0,,2.0,2.0,,Wei Te Ling - heartburn
,,2.0,2.0,,2.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,2.0,,,,,2.0,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,Hydrocortisone
,,2.0,2.0,,2.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,2.0,,,,,2.0,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,digestive enzyme
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,,2.0,,0.0,0.0,,Standing desk
,,,,0.0,,,0.0,2.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,,,2.0,2.0,,Ibuprofen
,,0.0,0.0,,0.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,Passionflower
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,0.0,2.0,,,0.0,,Mezavant
,,,,2.0,,,2.0,0.0,2.0,,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,,0.0,2.0,,0.0,,,Nortriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
