didn't really eat lunch,cooked lunch,computer game,hiking,Cod liver oil,played computer,IVIG,Board games,Vacation,Gabapentin,Sugar,Rehearsals,drank lots of water,had sex,walked,fast food,early night,breakfast,watched tv,took a bath ,Exercise,Vitamin D3,yoga,lots of walking,good breakfast,slept in,cooked breakfast,Zantac,caffeine,sugar,nap,dairy,ate breakfast,Psyllium husk,party,Mirtazapine,slept late,banana,exercise,gaming,coconut milk,Superlong nap,gluten,Social interactions,Excedrin,woke up late,Weighted Blanket,Ligament Restore,gym,stress,SAD Light Box,long walk,busy,Lamictal,no breakfast,Social,sex,distraction,Klonopin,holiday,home alone,listen to music ,didn't eat breakfast,Sertraline,studied,Tramadol,cooked,puppy training,mango,Sleep,made challah,Hobbies,cake,pasta and veggies,Cinema,row
,0.0,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,Sugar
,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,Rehearsals
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,drank lots of water
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,had sex
,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,walked
0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,fast food
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,early night
0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,breakfast
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,watched tv
0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,took a bath 
,2.0,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,,,2.0,2.0,,2.0,,,,2.0,2.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,0.0,,0.0,,,2.0,Exercise
,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,Vitamin D3
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,yoga
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,lots of walking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good breakfast
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,slept in
0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,cooked breakfast
,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,Zantac
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,caffeine
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,sugar
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,nap
0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,dairy
0.0,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,ate breakfast
,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,Psyllium husk
,2.0,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,,,,0.0,2.0,,2.0,,,2.0,,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,0.0,,0.0,,,2.0,party
,2.0,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,,,0.0,,2.0,,2.0,,,2.0,,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,0.0,,0.0,,,2.0,Mirtazapine
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,slept late
0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,banana
,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,2.0,2.0,0.0,,,,0.0,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,0.0,,,,2.0,,0.0,0.0,0.0,0.0,2.0,,2.0,,,0.0,exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gaming
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,coconut milk
0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,,,,0.0,2.0,,,0.0,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,,2.0,,,0.0,Superlong nap
0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,gluten
,2.0,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,,,,,,2.0,2.0,0.0,2.0,,,2.0,,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,0.0,,0.0,,,2.0,Social interactions
,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,Excedrin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woke up late
0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,Weighted Blanket
,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,Ligament Restore
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,gym
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,stress
,2.0,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,0.0,,,,,2.0,2.0,,2.0,,,2.0,,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,0.0,,0.0,,,2.0,SAD Light Box
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,long walk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Lamictal
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,no breakfast
,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,0.0,sex
,2.0,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,2.0,,,,,,,0.0,,2.0,2.0,2.0,,0.0,,0.0,,,2.0,distraction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Klonopin
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,holiday
,,,,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,home alone
0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,listen to music 
0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,didn't eat breakfast
,2.0,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,2.0,0.0,,,,,,,,2.0,2.0,2.0,,0.0,,0.0,,,2.0,Sertraline
0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,studied
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,,0.0,0.0,,2.0,,2.0,,,0.0,Tramadol
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,,0.0,,2.0,,2.0,,,0.0,cooked
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,2.0,,,0.0,puppy training
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,mango
,2.0,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,,,0.0,,,2.0,Sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,made challah
,2.0,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,,0.0,,2.0,2.0,,2.0,,,,2.0,2.0,,,,0.0,0.0,2.0,,2.0,,,2.0,,0.0,,,,,2.0,2.0,0.0,2.0,,,2.0,,2.0,0.0,,,,,,0.0,,2.0,2.0,2.0,,0.0,,,,,2.0,Hobbies
,,,,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,cake
,,,,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,pasta and veggies
,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,2.0,2.0,0.0,,0.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,,2.0,,0.0,0.0,0.0,,2.0,,2.0,,,,Cinema
