Ritalin,Vitamins,BeachBody OnDemand,Ecural,Cyclizine,Selenium,Acetyl Carnitine,Albuterol Inhaler,Florinef,Levothyroxine,Soluble Aspirin,Vitamin d,Solifenacin,Darifenacin,SAM-E,Creatine,digestive enzyme,Ribose,Monteluklast,Feverfew,Carbomer eye drops,alverine,Piyo,Benadryl,Ranitidine,Probiotic,Stretching,TigerBalm,Calcium citrate,Vitamin C,antihistamines,Physiotherapy,linseed,Panamax,Cetraben cream,Turmeric,Cetirizine,Guarana & Ginseng,Ginger,Hydrocortisone,Vitamin b12,Standing desk,Cerelle,Passionflower,row
0.0715222059442,,0.0,,0.0138741553889,,,,2.0,,,,,0.0,0.0,,2.0,0.0,0.0,0.0514173886943,0.0,0.0,0.0,,,0.0318874564415,,0.0,,,,,,,0.0,,,0.0,0.0,2.0,0.0318874564415,,0.0,0.0318874564415,Solifenacin
0.0,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,Darifenacin
0.0,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,SAM-E
,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,Creatine
2.0,,2.0,,2.0,,,,0.0,,,,2.0,,,,,,,2.0,,,2.0,,,2.0,,2.0,,,,,,,,,,,,0.0,2.0,,,2.0,digestive enzyme
0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,Ribose
0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,Monteluklast
0.00170681576128,,0.0,,0.0120344196253,,,,2.0,,,,0.0514173886943,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,0.00236963269293,,0.0,,,,,,,0.0,,,0.0,0.0,2.0,0.00236963269293,,0.0,0.00236963269293,Feverfew
0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,Carbomer eye drops
0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,alverine
0.0,,0.0,,0.0,,,,2.0,,,,0.0,,,,2.0,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,2.0,0.0,,,0.0,Piyo
,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,Benadryl
,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,Ranitidine
0.00809050639862,,0.0,,0.0037337352785,,,,2.0,,,,0.0318874564415,0.0,0.0,,2.0,0.0,0.0,0.00236963269293,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,,,0.0,0.0,2.0,0.0,,0.0,0.0,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stretching
0.0,,0.0,,0.0,,,,2.0,,,,0.0,,,,2.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,2.0,0.0,,,0.0,TigerBalm
,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,,,,Calcium citrate
,,,,,1.39391929858,,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,,,,,,,Vitamin C
,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,antihistamines
,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,Physiotherapy
,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,linseed
,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Panamax
0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,Cetraben cream
,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,0.0,,,,,,,,Turmeric
,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,,,Cetirizine
0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,Guarana & Ginseng
0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,Ginger
2.0,,2.0,,2.0,,,,0.0,,,,2.0,,,,0.0,,,2.0,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,2.0,,,2.0,Hydrocortisone
0.00809050639862,,0.0,,0.0037337352785,,,,2.0,,,,0.0318874564415,0.0,0.0,,2.0,0.0,0.0,0.00236963269293,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,2.0,,,0.0,0.0,Vitamin b12
,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,Standing desk
0.0,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,Cerelle
0.00809050639862,,0.0,,0.0037337352785,,,,2.0,,,,0.0318874564415,0.0,0.0,,2.0,0.0,0.0,0.00236963269293,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,2.0,0.0,,0.0,,Passionflower
