Triamcinolone,lifting things,Albuterol,bed day,church,tumblr,pasta,had sex,fast food,spicy food,Dogs,ate breakfast,danced,shower,pilates,Paperwork,chinese takeout,travel,sitting,caffeine,Physio,dairy,no lunch,ate dairy,broken sleep,canned vegetable beef soup,exercise,pizza,Benadryl,shopping,Ranitidine,Zyrtec,Medical marijuana,grilled cheese,eggs,Superlong nap,ate unhealthy,Calcium citrate,Vitamin C,listen to music ,Magnesium,Iron,kid free time,bunny cuddles,worked,Daytime nap,ramen,Heathen ritual,Turmeric,lots of sugar,talked with family,Cetirizine,Quell Unit,housework,Physical therapy,Thyroid-Pro,walked,hot,12K Steps,Ate poorly,Diclofenac,long sleep,Vitamin d,Did something scary,Albuterol Inhaler,masturbated,low protein,Ate junk food,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,Vitamin C
,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,listen to music 
,,,,,,,,,,,,,,2.0,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,2.0,Magnesium
,,,,,,,,,,,,,,2.0,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,2.0,Iron
,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,2.0,,0.0,,,kid free time
,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,bunny cuddles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worked
,,,,,,,0.0,,,,,,0.0,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,Daytime nap
,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,ramen
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,Heathen ritual
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,Turmeric
,,,,,,,0.0,,,,,,0.0,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,lots of sugar
,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,2.0,,0.0,,,talked with family
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quell Unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,housework
,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
,0.0,,,,,,1.89896096373,0.0,,0.0,0.0280330304312,,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,2.0,2.0,,,,2.0,,2.0,,2.0,,,,,,,,,0.0,,,,,,,,,0.0,walked
,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,hot
,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,12K Steps
,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,2.0,,0.0,,,Ate poorly
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diclofenac
,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,long sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,Vitamin d
,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,,Did something scary
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,Albuterol Inhaler
,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,,masturbated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low protein
,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,Ate junk food
