Vitamins,Dancing,physical therapy,Language Learning,Fluids,Biosil,Naproxen,prayer,Extra Medications,fuck yeah avocado,ASMR,Coffee,busy,Medical Marijuana,Trigger Points,espresso,Daily walk,Exercise--walking,playing music,SPD alternative treatments,Weather- rain,Therapy,Swimming,creative writing,coffee,Aloe Detox Water,Pet Therapy,Medical marijuana,Buffered Salmon Oil - DHA - EPA,Quiet,breathing exercises,Essential oils,slept 12 hours,Tavegyl,sex,Sisu B Calm,Thyroid-Pro (CanPrev),Turmeric,Medication,no sleep,Deep rest,B12 timed release,cuddled kitten,AOR Zinc-Copper Balance,Meditation,massage,TENS Unit,row
0.0,,,0.0,0.0,,,,0.0,,,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,ASMR
0.0,,,0.0,0.0,,,,0.0,,0.0,,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Coffee
2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,0.0,2.0,1.88449212201,0.0,2.0,2.0,1.98808363342,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,busy
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Medical Marijuana
,0.0,2.0,,,0.0,2.0,2.0,,2.0,,,2.0,,,,,2.0,2.0,,,0.0,2.0,2.0,,,,,0.0,2.0,,,,0.0,2.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,Trigger Points
2.0,,,2.0,2.0,,,,2.0,,2.0,2.0,0.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,,,2.0,2.0,0.0,,,,,2.0,2.0,0.0,,,,,2.0,2.0,2.0,espresso
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Daily walk
0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88449212201,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.197859016036,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,Exercise--walking
,2.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,,0.0,,,,2.0,0.0,0.0,,,,,2.0,0.0,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,playing music
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,SPD alternative treatments
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Weather- rain
0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.98808363342,0.0,0.0,2.0,0.0,0.197859016036,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,Therapy
,2.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,2.0,,0.0,,,,,2.0,0.0,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,Swimming
,2.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,2.0,0.0,,,,,,2.0,0.0,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,creative writing
2.0,,,2.0,2.0,,,,2.0,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,,2.0,2.0,2.0,,,,2.0,2.0,0.0,,,2.0,2.0,0.0,,,,,2.0,2.0,0.0,,,,,2.0,2.0,2.0,coffee
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Aloe Detox Water
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Pet Therapy
2.0,,,2.0,2.0,,,,2.0,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,,2.0,2.0,2.0,,,0.0,2.0,2.0,,,,2.0,2.0,0.0,,,,,2.0,2.0,0.0,,,,,2.0,2.0,2.0,Medical marijuana
,0.0,2.0,,,0.0,2.0,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,0.0,2.0,2.0,,,,,,2.0,,,,0.0,2.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,Buffered Salmon Oil - DHA - EPA
,2.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,2.0,0.0,0.0,,,,,2.0,,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,Quiet
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,breathing exercises
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,Essential oils
2.0,,,2.0,2.0,,,,2.0,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,,,2.0,2.0,,,,,,2.0,2.0,0.0,,,,,2.0,2.0,2.0,slept 12 hours
,0.0,2.0,,,0.0,2.0,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,0.0,2.0,2.0,,,,,0.0,2.0,,,,,2.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,Tavegyl
,2.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,2.0,0.0,0.0,,,,,2.0,0.0,,,,2.0,,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,sex
,0.0,2.0,,,0.0,2.0,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,0.0,2.0,2.0,,,,,0.0,2.0,,,,0.0,2.0,,0.0,,,,2.0,0.0,2.0,0.0,,,,Sisu B Calm
,0.0,2.0,,,0.0,2.0,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,0.0,2.0,2.0,,,,,0.0,2.0,,,,0.0,2.0,0.0,,,,,2.0,0.0,2.0,0.0,,,,Thyroid-Pro (CanPrev)
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,,0.0,2.0,,,,,0.0,0.0,0.0,Turmeric
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,,2.0,,,,,0.0,0.0,0.0,Medication
2.0,,,2.0,2.0,,,,2.0,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,,,2.0,2.0,0.0,,,,,2.0,2.0,,,,,,2.0,2.0,2.0,no sleep
,2.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,2.0,0.0,0.0,,,,,2.0,0.0,,,,2.0,0.0,2.0,2.0,,,,,2.0,0.0,2.0,,,,Deep rest
,0.0,2.0,,,0.0,2.0,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,0.0,2.0,2.0,,,,,0.0,2.0,,,,0.0,2.0,0.0,0.0,,,,2.0,,2.0,0.0,,,,B12 timed release
,2.0,0.0,,,2.0,0.0,0.0,,0.0,,,0.0,,2.0,,,0.0,0.0,,,2.0,0.0,0.0,,,,,2.0,0.0,,,,2.0,0.0,2.0,2.0,,,,0.0,2.0,,2.0,,,,cuddled kitten
,0.0,2.0,,,0.0,2.0,2.0,,2.0,,,2.0,,0.0,,,2.0,2.0,,,0.0,2.0,2.0,,,,,0.0,2.0,,,,0.0,2.0,0.0,0.0,,,,2.0,0.0,2.0,,,,,AOR Zinc-Copper Balance
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,,0.0,0.0,Meditation
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,,0.0,massage
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,,,,,0.0,0.0,,TENS Unit
