Medications,Yoga,gluten free diet,physical therapy,Fluvoxamine,Selenium,Vyvanse,Lavender oil,0.9% Sodium Chloride Solution 1L,Burbur-Pinella,psychiatrists,Tavegyl,Amitriptyline,Love,mountain biking,Metformin,Exercise,Tyrosine,Benadryl,Cetirizine,Clonazepam,Nabumetone,Methylphenidate,Synthroid,Turmeric,N-acetyl cysteine,Dermatologist,Plaquenil,Hydroxychloroquine,Gabapentin,Magnesium malate,Green Vibrance,Topical ibuprofen,Ranitidine,Epsom Salts,Chiropractic,Vitamin d,Topiramate,Vitamin C,Voltaren,Medication,Magnesium,Midodrine,neuro,Calcium citrate,Gaba,Walking,Flexeril,dexamphetamine,Quell Unit,CuraMed,Sertraline,Thyroid-Pro,Cranberry extract,Ultrasound,Coenzyme q-10,Ibuprofen,Albuterol Inhaler,cocodamol,counselor,Inositol,Ropinirole,row
,2.0,0.0,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,2.0,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,,2.0,,2.0,,,,,,,0.0,Tyrosine
,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,Benadryl
,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,Cetirizine
,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Clonazepam
,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Nabumetone
,2.0,0.0,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,2.0,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,,2.0,,2.0,,,,,,,0.0,Methylphenidate
,,,,,,,,,,,,0.0958277279233,,,-2.22044604925e-16,,,,,,,,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,,,Synthroid
,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,Turmeric
,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,N-acetyl cysteine
0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,0.0,,,Dermatologist
,2.0,0.0,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,2.0,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,,2.0,,2.0,,,,,,,0.0,Plaquenil
,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Hydroxychloroquine
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,Gabapentin
,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,Magnesium malate
,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,Green Vibrance
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,Topical ibuprofen
,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,Ranitidine
,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,Epsom Salts
0.0,0.0566342273529,2.0,0.0,2.0,,,,,,0.0,0.0,,0.0,0.0,,0.419535474096,2.0,,,,,2.0,,,,0.0,2.0,,,,,,,,,0.0,2.0,,2.0,0.0,2.0,2.0,0.0,,,0.0,,,2.0,,,0.0,,0.0,0.0,,,,0.0,,2.0,Chiropractic
0.0,0.0,,0.0,,,,,,,0.0,,0.0958277279233,,,-2.22044604925e-16,0.0,,0.0,0.0,,,,-2.22044604925e-16,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,-2.22044604925e-16,,,,,,,,0.0,,0.0,,0.0,,,Vitamin d
,2.0,0.0,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,2.0,,,,0.0,,0.0,0.0,,,,,,,0.0,,,2.0,,2.0,,,,,,,0.0,Topiramate
,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,Vitamin C
,2.0,0.0,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,2.0,,0.0,,,,0.0,0.0,,,,,,,0.0,,,2.0,,2.0,,,,,,,0.0,Voltaren
0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,0.0,,,Medication
,2.0,0.0,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,2.0,,0.0,,0.0,,,0.0,,,,,,,0.0,,,2.0,,2.0,,,,,,,0.0,Magnesium
,2.0,0.0,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,2.0,,0.0,,0.0,,0.0,,,,,,,,0.0,,,2.0,,2.0,,,,,,,0.0,Midodrine
0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,neuro
,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,Calcium citrate
,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,Gaba
0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,Walking
,,,,,,,,,,,,0.0958277279233,,,-2.22044604925e-16,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dexamphetamine
,2.0,0.0,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,2.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,2.0,,2.0,,,,,,,0.0,Quell Unit
,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,CuraMed
,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sertraline
,0.0,2.0,,2.0,,,,,,,0.0,,0.0,0.0,,2.0,2.0,,,,,2.0,,,,,2.0,,,,,,,,0.0,,2.0,,2.0,,2.0,2.0,,,,,,,2.0,,,,,0.0,,,,,,,2.0,Thyroid-Pro
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,Cranberry extract
,0.0,2.0,,2.0,,,,,,,0.0,,0.0,0.0,,2.0,2.0,,,,,2.0,,,,,2.0,,,,,,,,0.0,,2.0,,2.0,,2.0,2.0,,,,,,,2.0,,,0.0,,,,,,,,,2.0,Ultrasound
0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,Coenzyme q-10
,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,2.0,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,Albuterol Inhaler
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,cocodamol
0.0,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,counselor
,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,Inositol
,2.0,0.0,,0.0,,,,,,,2.0,,2.0,2.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,2.0,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,,,2.0,,2.0,,,,,,,,Ropinirole
