Dicyclomine,Tretinoin,Yoga,Buteyko  breathing exercises ,gluten free diet,Phyical Therapy - stretches,Fluvoxamine,Osteopathy,Midodrine,Pantoprazole,Amitriptyline,mountain biking,Metformin,Exercise,Tyrosine,Fexofenadine,Prednisone,Relaxing,Methylphenidate,Clinda-derm,excedrin migraine,Plaquenil,Achy breaky rub,Topiramate,Enada,Chiropractic,Seasonique,Progesterone,Vitamin B,Ropinirole,Magnesium,Tranexamic acid,Tavegyl,Maxalt,Medication,Love,Voltaren,Zomig,Montelukast,Ultrasound,Cane to get down stairs,Ibuprofen,Corticosteroids,massage,Vicodin,row
,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,Exercise
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,Tyrosine
0.0,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,,,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,0.0,0.0,,,,0.0,,,Fexofenadine
,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,2.0,0.0,,2.0,0.0,Prednisone
2.0,2.0,,,,0.0,,2.0,,0.0,,,2.0,,,2.0,,,,2.0,2.0,,0.0,,2.0,,,0.0,0.0,,,0.0,,,2.0,,,2.0,2.0,,,,2.0,,,Relaxing
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,Methylphenidate
0.0,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,0.0,,2.0,,,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,0.0,0.0,,,,0.0,,,Clinda-derm
0.0,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,0.0,,2.0,,0.0,,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,0.0,0.0,,,,0.0,,,excedrin migraine
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,Plaquenil
2.0,2.0,,,,0.0,,2.0,,0.0,,,2.0,,,2.0,,0.0,,2.0,2.0,,,,2.0,,,0.0,0.0,,,0.0,,,2.0,,,2.0,2.0,,,,2.0,,,Achy breaky rub
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,Topiramate
0.0,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,0.0,,2.0,,0.0,0.0,,2.0,,,,,2.0,2.0,,,2.0,,,0.0,,,0.0,0.0,,,,0.0,,,Enada
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,Chiropractic
,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,0.0,,2.0,0.0,Seasonique
2.0,2.0,,,,0.0,,2.0,,0.0,,,2.0,,,2.0,,0.0,,2.0,2.0,,0.0,,2.0,,,,0.0,,,0.0,,,2.0,,,2.0,2.0,,,,2.0,,,Progesterone
2.0,2.0,,,,0.0,,2.0,,0.0,,,2.0,,,2.0,,0.0,,2.0,2.0,,0.0,,2.0,,,0.0,,,,0.0,,,2.0,,,2.0,2.0,,,,2.0,,,Vitamin B
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,Ropinirole
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,Magnesium
2.0,2.0,,,,0.0,,2.0,,0.0,,,2.0,,,2.0,,0.0,,2.0,2.0,,0.0,,2.0,,,0.0,0.0,,,,,,2.0,,,2.0,2.0,,,,2.0,,,Tranexamic acid
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,Tavegyl
,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,0.0,,2.0,0.0,Maxalt
0.0,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,,,,0.0,0.0,,,,0.0,,,Medication
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,,,,,,Love
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,,,,0.0,,,,,,Voltaren
0.0,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,,0.0,,,,0.0,,,Zomig
0.0,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,0.0,,,,,0.0,,,Montelukast
,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,Ultrasound
,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0.0,2.0,Cane to get down stairs
,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,2.0,0.0,Ibuprofen
0.0,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,2.0,2.0,,,2.0,,,0.0,,,0.0,0.0,,,,,,,Corticosteroids
,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,0.0,2.0,,,2.0,massage
,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,2.0,0.0,,2.0,,Vicodin
