Yoga,hiking,gluten free diet,Fluvoxamine,Toprol,Tavegyl,drank alcohol,mountain biking,Exercise,Tyrosine,glutened,Methylphenidate,Plaquenil,dairy,Topiramate,exercise,Chiropractic,10K steps,Voltaren,listen to music ,Magnesium,Midodrine,bunny cuddles,crafting,Love,Ultrasound,Ropinirole,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,glutened
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Methylphenidate
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Plaquenil
2.0,0.0,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,dairy
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Topiramate
2.0,0.0,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,exercise
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Chiropractic
2.0,0.0,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,10K steps
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Voltaren
2.0,0.0,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,listen to music 
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,0.0,2.0,2.0,0.0,0.0,0.0,Magnesium
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,Midodrine
2.0,0.0,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,,0.0,2.0,2.0,2.0,bunny cuddles
2.0,0.0,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,crafting
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,0.0,0.0,Love
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,,0.0,Ultrasound
0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,Ropinirole
