didn't really eat lunch,Iron,Superlong nap,Self care,Echinacea,WomenSense AdrenaSense Adrenal Formula,Aromatherapy,Pepto-bismol,had sex,Acetaminophen,Methylcobalamine,ate breakfast,Vitamins,Fexofenadine,Cetirizine hydrochloride,lots of walking,Low oxalate,Farm,Sisu B Calm,Tylenol 3,gluten free,nap,Lymphatic massage,Biotin,DEHA,Woodlock,Gardening,exercise bike,Trigger Points,Buffered Salmon Oil - DHA - EPA,Ate healthy,Calcium citrate,Support worker assistance,Magnesium,Norco,Anakinra,Tavegyl,Folic acid,Curcumin,Wellbutrin,ate well,rebounding,Cetirizine,Quell Unit,Cannabis,shopping,Sertraline,Thyroid-Pro,Valcyte,Migraine herb feverfew tablets,hot,B12 timed release,Vitamin b12,Progressive muscle relaxation,Vitamin e,Vitamin d,AOR Zinc-Copper Balance,Paracetamol,Valtrex,LUSH acne spot-treatment,massage,row
,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,ate breakfast
,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Fexofenadine
,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Cetirizine hydrochloride
,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,lots of walking
,,,,,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,Low oxalate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,Farm
,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,Sisu B Calm
,,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,Tylenol 3
,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,gluten free
,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,nap
,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,Lymphatic massage
,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,Biotin
,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,DEHA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woodlock
,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,Gardening
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise bike
,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,Trigger Points
,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,Buffered Salmon Oil - DHA - EPA
,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,Ate healthy
,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,Calcium citrate
,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Support worker assistance
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,Norco
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Anakinra
,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,Tavegyl
,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,Folic acid
,,,,0.0,0.0,,,,0.15788663606,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,0.0,0.0,,,,,Curcumin
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Wellbutrin
,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,0.0,,,ate well
,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,rebounding
,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quell Unit
,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,Cannabis
,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,,,shopping
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Sertraline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyroid-Pro
,,2.0,,,,,,2.0,,,2.0,,,,2.0,,,,,,2.0,2.0,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,2.0,,,Valcyte
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Migraine herb feverfew tablets
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot
,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,B12 timed release
,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,0.0,Vitamin b12
,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive muscle relaxation
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,Vitamin e
,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,Vitamin d
,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,AOR Zinc-Copper Balance
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Paracetamol
,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,,,,Valtrex
,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,0.0,LUSH acne spot-treatment
,,,,,,0.0,,,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,0.0,,massage
