Yoga,hiking,gluten free diet,Fluvoxamine,Echinacea,acupuncture treatment,Acetaminophen,drank alcohol,mountain biking,Exercise,5-htp,B12 timed release,Folic acid,Methylphenidate,lots of desk work,housework,Plaquenil,Biotin,dairy,Topiramate,Tyrosine,10K steps,bunny cuddles,rest day,laundry,Chiropractic,Tavegyl,Buffered Salmon Oil - DHA - EPA,Calcium citrate,Voltaren,listen to music ,Magnesium,Midodrine,Love,Sisu B Calm,WomenSense AdrenaSense Adrenal Formula,crafting,Cetirizine,Ultrasound,exercise,Vitamin d,AOR Zinc-Copper Balance,Curcumin,Probiotic Pearls,Ropinirole,row
,,,,2.0,2.0,0.0,,,,,2.0,2.0,,0.0,2.0,,2.0,,,,,,0.0,2.0,,,2.0,2.0,,,,,,2.0,2.0,,2.0,,,2.0,2.0,0.0,0.0,,5-htp
,,,,0.0,0.0,2.0,,,,2.0,,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,,B12 timed release
,,,,0.0,0.0,2.0,,,,2.0,0.0,,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,,Folic acid
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Methylphenidate
,,,,2.0,2.0,0.0,,,,0.0,2.0,2.0,,,2.0,,2.0,,,,,,0.0,2.0,,,2.0,2.0,,,,,,2.0,2.0,,2.0,,,2.0,2.0,0.0,0.0,,lots of desk work
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,,housework
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Plaquenil
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,,Biotin
2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,,,2.0,,,2.0,2.0,2.0,2.0,,,2.0,0.0,,,2.0,0.0,2.0,2.0,2.0,,,2.0,,0.0,0.0,,,,,2.0,dairy
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Topiramate
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Tyrosine
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,10K steps
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,bunny cuddles
,,,,2.0,2.0,0.0,,,,0.0,2.0,2.0,,0.0,2.0,,2.0,,,,,,,2.0,,,2.0,2.0,,,,,,2.0,2.0,,2.0,,,2.0,2.0,0.0,0.0,,rest day
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,,laundry
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Chiropractic
2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,,,2.0,,0.0,2.0,2.0,2.0,2.0,,,2.0,,,,2.0,0.0,2.0,2.0,2.0,,,2.0,,0.0,0.0,,,,,2.0,Tavegyl
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,,Buffered Salmon Oil - DHA - EPA
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,2.0,2.0,,Calcium citrate
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Voltaren
2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,,,2.0,,0.0,2.0,2.0,2.0,2.0,,,2.0,0.0,,,2.0,,2.0,2.0,2.0,,,2.0,,0.0,0.0,,,,,2.0,listen to music 
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,,0.0,0.0,,,0.0,,2.0,2.0,,,,,0.0,Magnesium
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,,0.0,,,0.0,,2.0,2.0,,,,,0.0,Midodrine
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,,,,0.0,,2.0,2.0,,,,,0.0,Love
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,2.0,2.0,,Sisu B Calm
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,,,0.0,,,0.0,0.0,2.0,2.0,,WomenSense AdrenaSense Adrenal Formula
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,,,2.0,2.0,,,,,0.0,crafting
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,0.0,2.0,2.0,,Cetirizine
2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,,,2.0,,0.0,2.0,2.0,2.0,2.0,,,2.0,0.0,,,2.0,0.0,2.0,2.0,2.0,,,2.0,,,0.0,,,,,2.0,Ultrasound
2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,2.0,,,2.0,,0.0,2.0,2.0,2.0,2.0,,,2.0,0.0,,,2.0,0.0,2.0,2.0,2.0,,,2.0,,0.0,,,,,,2.0,exercise
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,Vitamin d
,,,,0.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,0.0,,0.0,,,,,,2.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,AOR Zinc-Copper Balance
,,,,2.0,2.0,0.0,,,,0.0,2.0,2.0,,0.0,2.0,,2.0,,,,,,0.0,2.0,,,2.0,2.0,,,,,,2.0,2.0,,2.0,,,2.0,2.0,,0.0,,Curcumin
,,,,2.0,2.0,0.0,,,,0.0,2.0,2.0,,0.0,2.0,,2.0,,,,,,0.0,2.0,,,2.0,2.0,,,,,,2.0,2.0,,2.0,,,2.0,2.0,0.0,,,Probiotic Pearls
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,,2.0,2.0,,,,,,Ropinirole
