Tranexamic acid,Osteopathy,Meticorten,Went to a party,fuck yeah avocado,ate breakfast,Calcort,Prednisone,ponstan,Ketotifeno,Excedrin,skipped lunch,psychologist,Magnesium,House cleaning,Allegra,read book,Slept a lot,crawled,Lidocaine Patch,Cane to get down stairs,cocodamol,Home physio exercises,Prilosec,Vicodin,Citalopram,Read comics,cooking,Had candy,Played Go fish,Ibuprofen,Quiet,vacuuming,Vitamin B,Daytime nap,Maxalt,slept in,Zomig,cuddles!,Methotrexate,massage,Yoga,physical therapy,Didn't shower,had sex,church,Imodium,Metformin,hand and face physio only,Diphenhydramine,10 hours sleep,walked the dogs,Physio,Topiramate,Paracatamol with codeine,paperwork,Bagomicina,cereal,Gardening,Ate poorly,Church,Light dinner,ate dinner,Ate junk food,Went to the store,brushed dogs,Pantoprazole,aqua therapy,yoga,Ibuprofen 600mg,Ginkgo,Zopiclone,Friends,had sex last night,laundry,Ranitidine,Cefaly Unit,Seasonique,Progesterone,had sex ,Migraine herb feverfew tablets,Singulair,hot dog,blowjob,Montelukast,cooked,Groceries,Had peach soda,Trip,Multi-vitamin,row
,,,0.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,0.0,,2.0,0.0,,,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Quiet
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,,,vacuuming
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Vitamin B
,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime nap
,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,,1.11022302463e-16,,,,,,2.22044604925e-16,,,,,,,,,,2.22044604925e-16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,Maxalt
,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,2.0,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,slept in
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Zomig
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,,,cuddles!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,,0.0,,,,,,1.11022302463e-16,,,,,2.22044604925e-16,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,massage
,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,2.0,,,,,,2.0,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,2.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Didn't shower
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,,,had sex
,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imodium
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Metformin
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,,,hand and face physio only
,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,2.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Diphenhydramine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,10 hours sleep
,,2.0,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,2.0,,,2.0,,0.0,,0.0,,walked the dogs
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Physio
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Topiramate
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Paracatamol with codeine
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,,,paperwork
,,0.0,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,2.0,,2.0,,Bagomicina
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,cereal
,,2.0,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,2.0,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,2.0,0.0,,2.0,,0.0,,0.0,,Gardening
,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ate poorly
,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Church
,,,0.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,0.0,,2.0,0.0,,0.0,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Light dinner
,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,2.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,ate dinner
,,,0.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,0.0,,2.0,0.0,,0.0,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Ate junk food
,,,0.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,0.0,,2.0,0.0,,0.0,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Went to the store
,,2.0,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,2.0,,,2.0,,0.0,,0.0,,brushed dogs
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,Pantoprazole
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,2.0,,,,,,,,,0.0,aqua therapy
,,2.0,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,2.0,,0.0,,0.0,,yoga
,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen 600mg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ginkgo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zopiclone
,,2.0,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,2.0,,,2.0,,0.0,,0.0,,Friends
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,had sex last night
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,laundry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cefaly Unit
,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,2.0,,,,,,2.0,,,,,2.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonique
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,0.0,Progesterone
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,had sex 
2.0,2.0,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,2.0,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,2.0,Migraine herb feverfew tablets
,,0.0,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,2.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,,,,0.0,,2.0,,2.0,,Singulair
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot dog
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,,,,,blowjob
,,0.0,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,2.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,0.0,,,,,2.0,,2.0,,Montelukast
,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,,cooked
,,2.0,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,2.0,,,2.0,,,,0.0,,Groceries
,,,2.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,0.0,2.0,,2.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Had peach soda
,,2.0,,,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,2.0,,,2.0,,0.0,,,,Trip
0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,2.0,,,,,,,,,,Multi-vitamin
