Triamcinolone Lotion,Vitamins,Hemorrhoid Cream,vitamin c,drank lots of water,farm work,My Goodness Organics meals,ate breakfast,slept 7 hours,blueberries,Prednisone,smoothie,Flonase,dairy,Iceburg Lettuce,foot brace,Gravol,ate tomatoes,bread,Vitamin b complex,Thyreoidum,overeating,Cold Mask,ate gluten,elliptical,Venlafaxine,butternut squash risotto,Ibuprofen 800mg,day at home,CrossFit,read book,Triamcinolone Cream,Hiking,lifted weights,Fish oil,Eicosapentaenoic acid,rice drink breakfast,Biest,exercise - dancing,Beer,Human Growth Hormone,Vicodin,Acetaminophen,Zolpidem,ice cream,Gluten,Docosahexaenoic acid,Citalopram,low acid,Sauna,Indian food,spinach,Biotin,ate rice last night,worked out,exercise,Humira,Off work,Superlong nap,Vitamin C,b12 injection,Allopurinol,ate salsa,exercised,Cleaning ,slept in,Cetirizine,Nortriptyline,stretching,hydrocortisone suppository ,Coenzyme q-10,Vitamin d,Curcumin,Thyrax,swimming,cheese,hiking,Echinacea,had sex,family,singing,Daytime sleep,lots of walking,Sitting,occular migraine meds,walked the dogs,Fructose,Diary,Psychotherapy,Car travel,No red meat,Taco Bell,Calcium citrate,Nycopro Probiotic,strawberries,Midodrine,peanuts,worked,Folic acid,Fresh air,television,puppy training,fructose ,Tylenol,Melatonin,Cannabis CBD capsule 10mg,coconut,studied,Selenium,Vacation,Nap,Pantoprazole,Inflamma-blox,5-htp,Peristeen,Cetirizine hydrochloride,Ocella,new environment,nap,ate rice,ate dairy,flu vaccine injection,knitting,ate eggs,Neti Pot,Seasonique,eggs,Daytime nap,Support worker assistance,Iron,fructose,yoga,catheter,Late lunch,tomato,archery,stress,Iodine,Glycine,walked,Sleep,Fishing,ate cheese-again,travel,row
2.0,,1.38089570059,,0.0,,,,,,,,0.833234041991,,2.0,,,,,,,,,,,,2.0,,2.0,,,0.113411846745,2.0,,0.0,,,,,,,,,,,2.0,,,,2.0,,2.0,,,,2.0,1.69741817543,,,1.75722185627,,,,,,,,,,0.0,,,,,,,1.88776893429,,2.0,,,,,,,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,2.0,,,,0.0,2.0,2.0,,,,,,0.0,,,2.0,,1.76391516087,2.0,2.0,,2.0,,2.0,,,,,,0.0,,,Prednisone
,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,smoothie
0.0,,0.151850306177,,2.0,,,,,,0.833234041991,,,,2.0,,,,,,,,,,,,0.0,,0.0,,,1.30822949505,2.0,,0.0,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,2.0,0.409676995688,,,0.482267556562,,,,,,,,,,0.0,,,,,,,0.694205908736,,2.0,,,,,,,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,2.0,,0.491115042871,2.0,2.0,,2.0,,0.0,,,,,,0.0,,,Flonase
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dairy
,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Iceburg Lettuce
,2.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,foot brace
,2.0,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Gravol
,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674513244763,,,,,,,,,1.20950156487,,,,,,,,,,,,0.0,0.0,,,,,0.133506364862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.133010607863,,ate tomatoes
,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,bread
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Vitamin b complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyreoidum
,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,overeating
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Mask
,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,ate gluten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venlafaxine
0.0,,0.0,,2.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,butternut squash risotto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibuprofen 800mg
0.0,,0.0,,2.0,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,0.000591862666649,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,0.0,day at home
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrossFit
,0.0,,,,,,,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,2.0,,,,2.0,,0.0,,,2.0,,,,,,,,,2.0,2.0,,,,0.0,,0.0,,,,,,2.0,,,,2.0,,,0.0,2.0,,,,,,,0.0,2.0,2.0,,,2.0,,,read book
2.0,,1.76538861576,,0.0,,,,,,0.113411846745,,1.30822949505,,2.0,,,,,,,,,,,,2.0,,2.0,,,,2.0,,0.0,,,,,,,,,,,2.0,,,,2.0,,2.0,,,,2.0,1.94982274767,,,1.97346836414,,,,,,,,,,0.0,,,,,,,1.99999672579,,2.0,,,,,,,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,2.0,,,,0.0,2.0,2.0,,,,,,0.0,,,2.0,,1.97577560442,2.0,2.0,,2.0,,2.0,,,,,,0.0,,,Triamcinolone Cream
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,lifted weights
,,0.0,,,,,,,,0.0,,0.0,,2.0,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,2.0,,,2.0,,,,,,,,,,0.0,,,,,,,2.0,,2.0,,,,,,,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,2.0,,2.0,2.0,2.0,,2.0,,,,,,,,0.0,,,Fish oil
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Eicosapentaenoic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,rice drink breakfast
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Biest
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise - dancing
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Beer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Growth Hormone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicodin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zolpidem
,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,ice cream
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Gluten
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Docosahexaenoic acid
,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citalopram
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,low acid
0.0,,0.0,,2.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,Sauna
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,Indian food
0.0,,0.0,,2.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,spinach
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotin
,,,,,0.0,,,,,,,,,,,,0.674513244763,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99275330878,,,,,,,,,,,,0.0,0.0,,,,,1.18997342879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674513244763,,,,,,,,,,,,,,,,,,,,,,,0.246615419789,,ate rice last night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,worked out
,0.0,2.0,,,,,,,2.0,2.0,,2.0,,0.0,2.0,2.0,,,2.0,,,,,,,,,,,0.0,2.0,0.0,,2.0,2.0,,,,2.0,,,,,,0.0,2.0,,,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,2.0,2.0,,0.0,,,,0.0,,0.0,,,,2.0,,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,2.0,,0.0,,,2.0,,,0.0,0.0,0.0,,,,2.0,2.0,0.0,,,0.0,,0.0,2.0,,,,,2.0,,,2.0,2.0,,0.0,0.0,1.38555921512,0.0,0.0,,0.0,,,0.0,2.0,2.0,,,1.62722385317,,,exercise
0.0,,0.0717155867657,,2.0,,,,,,1.69741817543,,0.409676995688,,0.0,,,,,,,,,,,,0.0,,0.0,,,1.94982274767,0.0,,2.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,,,0.00380478790555,,,,,,,,,,2.0,,,,,,,0.0509807841927,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,2.0,0.0,0.0,,,,,,2.0,,,0.0,,0.00475617389822,0.0,0.0,,0.0,,0.0,,,,,,2.0,,,Humira
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,Off work
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.22044604925e-16,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,Superlong nap
0.0,,0.10765602132,,2.0,,,,,,1.75722185627,,0.482267556562,,0.0,,,,,,,,,,,,0.0,,0.0,,,1.97346836414,0.0,,2.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,0.00380478790555,,,,,,,,,,,,,2.0,,,,,,,0.0271203746799,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,2.0,0.0,0.0,,,,,,2.0,,,0.0,,5.31413789477e-05,0.0,0.0,,0.0,,0.0,,,,,,2.0,,,Vitamin C
