Dicyclomine,Tretinoin,Superlong nap,Dancing,thanksgiving dinner,haircut,Writing,almonds,Amitriptyline,singing,Fexofenadine,busy,spinach,fuck yeah avocado,Clinda-derm,spinach risotto,Zolmitriptan,Therapy,normal sleep,Valerian,Cat ,Benadryl,cuddled kitten,sushi,Trigger Points,BLT,Buffered Salmon Oil - DHA - EPA,Quiet,SAD Light Box,Cat,Vitamin C,listen to music ,egg white dlite,bed day,slept in chair,heavy physcial exertion,Sisu B Calm,Gabapentin,doritos,sex,flaxseed and fybogel,Montelukast,rice noodles,chicken wild rice soup,Daytime nap,caesar salad,row
0.0,2.0,2.0,2.0,,,,,,,2.0,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,,2.0,0.0,,2.0,,2.0,0.0,,,,0.0,,0.0,,,2.0,0.0,,0.0,,2.0,,,2.0,,busy
2.0,0.0,0.0,,,,,,,,0.0,2.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,0.0,,spinach
,,,2.0,,,,,,,,0.0,,,,,,2.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,,,,2.0,,,0.0,,,,,,,fuck yeah avocado
2.0,0.0,0.0,,,,,,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,0.0,,Clinda-derm
,,,,2.0,0.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0,,,2.0,,2.0,,,0.0,2.0,,,2.0,,0.0,,,,0.0,,2.0,,2.0,2.0,,2.0,spinach risotto
2.0,0.0,0.0,,,,,,,,0.0,2.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,0.0,,Zolmitriptan
,,,0.0,,,,,,,,2.0,,2.0,,,,,,,,,2.0,,0.0,,0.0,2.0,,,,,,,,,0.0,,,2.0,,,,,,,Therapy
2.0,0.0,0.0,,,,,,,,0.0,2.0,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,0.0,,normal sleep
2.0,0.0,0.0,,,,,,,,0.0,2.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,0.0,,Valerian
,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,Cat 
2.0,0.0,0.0,,,,,,,,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,0.0,,Benadryl
,,,2.0,,,,,,,,0.0,,0.0,,,,2.0,,,,,,,2.0,,2.0,0.0,,,,,,,,,2.0,,,0.0,,,,,,,cuddled kitten
,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,sushi
,,,0.0,,,,,,,,2.0,,2.0,,,,0.0,,,,,2.0,,,,0.0,2.0,,,,,,,,,0.0,,,2.0,,,,,,,Trigger Points
,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,BLT
,,,0.0,,,,,,,,2.0,,2.0,,,,0.0,,,,,2.0,,0.0,,,2.0,,,,,,,,,0.0,,,2.0,,,,,,,Buffered Salmon Oil - DHA - EPA
,,,2.0,,,,,,,,0.0,,0.0,,,,2.0,,,,,0.0,,2.0,,2.0,,,,,,,,,,2.0,,,0.0,,,,,,,Quiet
,,,,2.0,0.0,2.0,2.0,2.0,2.0,,,,,,0.0,,,,,2.0,,,2.0,,2.0,,,,2.0,,,2.0,,0.0,,,,0.0,,2.0,,2.0,2.0,,2.0,SAD Light Box
,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,Cat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin C
0.0,2.0,2.0,,,,,,,,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,,,,,,,,,,0.0,,,,0.0,,,,2.0,,,2.0,,listen to music 
,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,,,2.0,,,,2.0,,0.0,,0.0,0.0,,0.0,egg white dlite
0.0,2.0,2.0,,,,,,,,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,,,,,,,,0.0,,,,,,0.0,,,,2.0,,,2.0,,bed day
,,,,2.0,0.0,2.0,2.0,2.0,2.0,,,,,,0.0,,,,,2.0,,,2.0,,2.0,,,0.0,2.0,,,2.0,,,,,,0.0,,2.0,,2.0,2.0,,2.0,slept in chair
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy physcial exertion
,,,0.0,,,,,,,,2.0,,2.0,,,,0.0,,,,,2.0,,0.0,,0.0,2.0,,,,,,,,,,,,2.0,,,,,,,Sisu B Calm
0.0,2.0,2.0,,,,,,,,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,,,,,,,,0.0,,0.0,,,,,,,,2.0,,,2.0,,Gabapentin
,,,,2.0,0.0,2.0,2.0,2.0,2.0,,,,,,0.0,,,,,2.0,,,2.0,,2.0,,,0.0,2.0,,,2.0,,0.0,,,,,,2.0,,2.0,2.0,,2.0,doritos
,,,2.0,,,,,,,,0.0,,0.0,,,,2.0,,,,,0.0,,2.0,,2.0,0.0,,,,,,,,,2.0,,,,,,,,,,sex
,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,,,0.0,0.0,,0.0,flaxseed and fybogel
2.0,0.0,0.0,,,,,,,,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,,,,0.0,,Montelukast
,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,,0.0,,0.0,rice noodles
,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,,,0.0,chicken wild rice soup
2.0,0.0,0.0,,,,,,,,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,,,0.0,,,,,Daytime nap
,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,0.0,,,2.0,0.0,,,0.0,,2.0,,,,2.0,,0.0,,0.0,0.0,,,caesar salad
