rest day,didn't really eat lunch,Cycling,nap,coffee,tramadol,decent sleep,Pepto-bismol,had sex,walked,gluten,fast food,Amitriptyline,Yoga,ate breakfast,Mt. Si ACDC 2x Coco Caps,Ventolin,Solpadeine Max,Rowing machine,spinach,smoothie,sitting,caffeine,excedrin migraine,Physio,dairy,no lunch,Solpadol,laxatives,Tetralabs Gold Caps,Self care,banana,exercise,drank alcohol,coconut milk,Work,gardened,Tetralabs Gold Caps CBN,Cefaly Unit,Buffered Salmon Oil - DHA - EPA,good nights sleep,Recov Bipeptides,exercised,breathing exercises,slept in,heating pads,linseed,no breakfast,Social,pain relief,Boswelia Complex,Mebeverine,Gabapentin,Flexeril,Pain management,didn't eat breakfast,slept late,Solpadeine,Cymbalta,vegan,Tramadol,daytime nap,cooked breakfast,mango,Athlete Vitamin,massage,Standing desk,short sleep,Vacation,masturbated,Progressive muscle relaxation,row
,0.0,,,0.0,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,gluten
,0.0,,,0.0,,,,,,0.0,,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,fast food
2.0,,0.0,,,2.0,,,,,,,,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,Amitriptyline
2.0,,0.0,,,2.0,,,,,,,0.0,,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,Yoga
,0.0,,2.0,0.0,,2.0,2.0,,,0.0,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,2.0,,2.0,,0.0,0.0,,2.0,,,,0.0,,,0.0,,0.0,,0.0,0.0,ate breakfast
,2.0,,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,2.0,2.0,,,0.0,,,,,,,2.0,2.0,0.0,,,,2.0,,2.0,,,2.0,,,,,,0.0,,2.0,2.0,,,,,,2.0,,,2.0,,,,2.0,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,Ventolin
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,Solpadeine Max
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,Rowing machine
,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,spinach
,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,smoothie
0.0,,2.0,,,0.0,,,,,,,2.0,2.0,,,,,2.0,,,,,2.0,2.0,,,,2.0,,,,,0.0,,0.0,,,,2.0,,2.0,,2.0,,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,0.0,2.0,,,,2.0,,2.0,,,,,sitting
,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,caffeine
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,excedrin migraine
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,Physio
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,dairy
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,no lunch
,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,Solpadol
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,laxatives
,2.0,,,2.0,,,,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,2.0,2.0,,,,,,,,,,2.0,2.0,0.0,,,,2.0,,2.0,,,2.0,,,,,,0.0,,2.0,2.0,,,,,,2.0,,,2.0,,,,2.0,,Tetralabs Gold Caps
,,,0.0,,,0.0,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Self care
,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,banana
,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,exercise
0.0,,2.0,,,0.0,,,,,,,2.0,2.0,,,,,2.0,,,0.0,,2.0,2.0,,,,2.0,,,,,,,0.0,,,,2.0,,2.0,,2.0,,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,0.0,2.0,,,,2.0,,2.0,,,,,drank alcohol
,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,coconut milk
0.0,,2.0,,,0.0,,,,,,,2.0,2.0,,,,,2.0,,,0.0,,2.0,2.0,,,,2.0,,,,,0.0,,,,,,2.0,,2.0,,2.0,,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,0.0,2.0,,,,2.0,,2.0,,,,,Work
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,gardened
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,Tetralabs Gold Caps CBN
,2.0,,,2.0,,,,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,2.0,2.0,,,0.0,,,,,,,2.0,2.0,,,,,2.0,,2.0,,,2.0,,,,,,0.0,,2.0,2.0,,,,,,2.0,,,2.0,,,,2.0,,Cefaly Unit
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,Buffered Salmon Oil - DHA - EPA
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good nights sleep
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,Recov Bipeptides
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,exercised
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,breathing exercises
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,slept in
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,heating pads
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,linseed
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,0.0,,no breakfast
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Social
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,pain relief
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,,,,,0.0,,,,,2.0,0.0,,,,0.0,,0.0,,,,,Boswelia Complex
,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,Mebeverine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
,2.0,,,2.0,,,,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,2.0,2.0,,,0.0,,,,,,,2.0,2.0,0.0,,,,2.0,,2.0,,,2.0,,,,,,,,2.0,2.0,,,,,,2.0,,,2.0,,,,2.0,,Flexeril
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,2.0,0.0,,,,0.0,,0.0,,,,,Pain management
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,,0.0,,,,,,0.0,,,0.0,,,,0.0,,didn't eat breakfast
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,slept late
,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,Solpadeine
,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,Cymbalta
0.0,,2.0,,,0.0,,,,,,,2.0,2.0,,,,,2.0,,,0.0,,2.0,2.0,,,,2.0,,,,,0.0,,0.0,,,,2.0,,2.0,,2.0,,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,,2.0,,,,2.0,,2.0,,,,,vegan
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,,,,,0.0,,0.0,,,,,Tramadol
,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,daytime nap
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,,,,0.0,,,,0.0,,cooked breakfast
,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,,,0.0,,,,,Athlete Vitamin
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,massage
2.0,,0.0,,,2.0,,,,,,,0.0,0.0,,,,,0.0,,,2.0,,0.0,0.0,,,,0.0,,,,,2.0,,2.0,,,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,,2.0,0.0,,,,0.0,,,,,,,Standing desk
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,short sleep
,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Vacation
,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,0.0,,,2.0,,,,,,,0.0,0.0,2.0,,,,0.0,,0.0,,,0.0,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,0.0,,,,,,masturbated
,,,2.0,,,2.0,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Progressive muscle relaxation
