Fluvoxamine,Meticorten,floravit iron,Naproxen,Ambien CR,Miralax low dose at night,Soluble Aspirin,pur-absorb iron,Calcort,Eyebright Complex,Prednisone,Buspirone,Plaquenil,DLPA,Wei Te Ling - heartburn,Vitamin b complex,Ketotifeno,Mt. Si ACDC 2x Coco Caps,Probiotic,Stretching,Physiotherapy,Phenergan,Magnesium,Panamax,Allegra,Benadryl,Flexeril,Fish oil,Miralax low dose PM,Standing desk,cocodamol,Tretinoin,Omeprazole,gluten free diet,Bicarb on scalp,Marijuana,Acetaminophen,Tyrosine,Charcoal,Coffee,Thyroxine,Pataday,anti-nausea pills,Zofran,Clinda-derm,Hydroxyzine,Synthroid,Low-FODMAP diet,Complex b,Tetralabs Gold Caps CBN,Inderal,Vitamin B,Vitamin B complex - 50,Probiotics,Ropinirole,Andrographis compound,Tavegyl,Gabapentin,Pain management,Nortriptyline,Cymbalta,Ginger,Cranberry extract,Vitamin a,Vitamin d,Mezavant,linseed,Diazepam,Yoga,Iron,Contraceptive pill,More stretching,Vyvanse,5 or more portions of fruit and veg,Valdoxan,Lying flat,Magnesium gel,Exercise,Creatine,Clonazepam,Topiramate,Drinking eight glasses or more of water,Valium,Oxynorm,Chiropractic,gym,Zoladex,Bagomicina,Midodrine,Multivitamin,Mirtazapine,Love,Wear shoulder brace,Ultrasound,Ibuprofen,Meditation,Dicyclomine,Migraine Diet,Inolaxol,mountain biking,Lithium,Iberogast,Nasonex,Fexofenadine,Ecural,gluten free,Zolmitriptan,Valerian,dairy free,Tetralabs Gold Caps,Magnesium amino acid chelate,Topical ibuprofen,Protecting back,Wore arch supports all day,Ranitidine,Ventolin,Tian Ma Tou Tong - headache,Codeine,Progesterone,Spironolactone,Voltaren,Temazepam,heating pads,Norco,Ondansetron,Mebeverine,Wellbutrin,Freezie wrap,Singulair,drawing,Montelukast,Methylphenidate,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,2.0,,,,2.0,2.0,,2.0,,,,2.0,2.0,,,,2.0,,2.0,,2.0,2.0,,,,2.0,,0.0,,,,,,,,,,,,2.0,,2.0,,,2.0,,,,,2.0,2.0,,,,,,2.0,0.0,,,,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,,0.0,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,2.0,,,2.0,,,0.0,,2.0,,0.0,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,,Buspirone
0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,2.0,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,Plaquenil
,,0.0,,,,0.0,0.0,,0.0,,2.0,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,DLPA
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Wei Te Ling - heartburn
,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Vitamin b complex
,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,Ketotifeno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,0.0,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Probiotic
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,Stretching
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Physiotherapy
,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Phenergan
0.0,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,,,0.0,,2.0,,,,0.0,,,,0.0,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,2.0,0.0,2.0,2.0,0.0,,0.0,,0.0,,2.0,,0.0,0.0,0.0,2.0,,2.0,0.0,,,0.0,,0.0,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0094260519289,,,,0.0,,,,,,,0.0,,Magnesium
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Panamax
,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,Allegra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Benadryl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexeril
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Fish oil
,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Miralax low dose PM
,,2.0,,,,2.0,2.0,,2.0,,0.0,,2.0,2.0,,,,2.0,,2.0,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,2.0,,,,,2.0,2.0,,,,,,2.0,0.0,,,,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,,0.0,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,2.0,,,2.0,,,0.0,,2.0,,0.0,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,,Standing desk
,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,2.0,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,,2.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,,2.0,,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Tretinoin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Omeprazole
0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,2.0,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,gluten free diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Bicarb on scalp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,2.0,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,Tyrosine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Charcoal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Thyroxine
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Pataday
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anti-nausea pills
,,0.0,,0.0,0.0,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,2.0,,2.0,2.0,,,0.0,0.0,,,2.0,,,0.0,0.0,,0.0,,0.0,,,0.0,,,2.0,,0.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,2.0,,,,Zofran
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Clinda-derm
,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,2.0,,,,Hydroxyzine
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Synthroid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Low-FODMAP diet
,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Complex b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Inderal
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Vitamin B
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,0.0,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Vitamin B complex - 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Probiotics
0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,2.0,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,Ropinirole
,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Andrographis compound
0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,2.0,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,Tavegyl
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Gabapentin
,,0.0,,,,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,2.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,2.0,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,0.0,,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,Pain management
