Home physio exercises,Vitamins,Language Learning,Prilosec,Fluids,Osteopathy,Pantoprazole,aqua therapy,Extra Medications,Metformin,Vitamin B2,Coffee,Prednisone,Citalopram,Pet Therapy,vitamin D tablets,Physio,Daily walk,Topiramate,SPD alternative treatments,Weather- rain,ponstan,Therapy,CoQ10,Paracatamol with codeine,Aloe Detox Water,Ranitidine,ASMR,Progesterone,breathing exercises,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Exercise--walking,Turmeric,Medication,TENS Unit,Essential oils,psychologist,Medical Marijuana,Methotrexate,Meditation,Multi-vitamin,massage,Imodium,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitamin D tablets
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Physio
,2.0,2.0,,0.0,,,,0.0,,,0.0,,,2.0,,,,,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,,,,,0.0,0.0,2.0,2.0,0.0,,0.0,,2.0,,2.0,,Daily walk
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Topiramate
,0.0,0.0,,2.0,,,,2.0,,,2.0,,,0.0,,,2.0,,,2.0,,2.0,,,2.0,,0.0,,2.0,,,,,2.0,2.0,0.0,0.0,2.0,,2.0,,0.0,,0.0,,SPD alternative treatments
,2.0,2.0,,0.0,,,,0.0,,,0.0,,,2.0,,,0.0,,2.0,,,0.0,,,0.0,,2.0,,0.0,,,,,0.0,0.0,2.0,2.0,0.0,,0.0,,2.0,,2.0,,Weather- rain
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,ponstan
,2.0,2.0,,0.0,,,,0.0,,,0.0,,,2.0,,,0.0,,2.0,0.0,,,,,0.0,,2.0,,0.0,,,,,0.0,0.0,2.0,2.0,0.0,,0.0,,2.0,,2.0,,Therapy
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoQ10
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Paracatamol with codeine
,2.0,2.0,,0.0,,,,0.0,,,0.0,,,2.0,,,0.0,,2.0,0.0,,0.0,,,,,2.0,,0.0,,,,,0.0,0.0,2.0,2.0,0.0,,0.0,,2.0,,2.0,,Aloe Detox Water
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranitidine
,0.0,0.0,,2.0,,,,2.0,,,2.0,,,0.0,,,2.0,,0.0,2.0,,2.0,,,2.0,,,,2.0,,,,,2.0,2.0,0.0,0.0,2.0,,2.0,,0.0,,0.0,,ASMR
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Progesterone
,2.0,2.0,,0.0,,,,0.0,,,0.0,,,2.0,,,0.0,,2.0,0.0,,0.0,,,0.0,,2.0,,,,,,,0.0,0.0,2.0,2.0,0.0,,0.0,,2.0,,2.0,,breathing exercises
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Vitamin B
2.0,,,,,2.0,2.0,2.0,,2.0,,,,,,,2.0,,2.0,,,2.0,,,2.0,,,,2.0,,2.0,,2.0,2.0,,,,,,2.0,,,,2.0,,,Migraine herb feverfew tablets
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,,0.0,,,,,,0.0,,,,0.0,,,Magnesium
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,,,,,,,0.0,,,,0.0,,,Tranexamic acid
,2.0,2.0,,0.0,,,,0.0,,,0.0,,,2.0,,,0.0,,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,,,,,,0.0,2.0,2.0,0.0,,0.0,,2.0,,2.0,,Exercise--walking
,2.0,2.0,,0.0,,,,0.0,,,0.0,,,2.0,,,0.0,,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,,,,,0.0,,2.0,2.0,0.0,,0.0,,2.0,,2.0,,Turmeric
,0.0,0.0,,2.0,,,,2.0,,,2.0,,,0.0,,,2.0,,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,,,,,2.0,2.0,,0.0,2.0,,2.0,,0.0,,0.0,,Medication
,0.0,0.0,,2.0,,,,2.0,,,2.0,,,0.0,,,2.0,,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,,,,,2.0,2.0,0.0,,2.0,,2.0,,0.0,,0.0,,TENS Unit
,2.0,2.0,,0.0,,,,0.0,,,0.0,,,2.0,,,0.0,,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,,,,,0.0,0.0,2.0,2.0,,,0.0,,2.0,,2.0,,Essential oils
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,,,psychologist
,2.0,2.0,,0.0,,,,0.0,,,0.0,,,2.0,,,0.0,,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,,,,,0.0,0.0,2.0,2.0,0.0,,,,2.0,,2.0,,Medical Marijuana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methotrexate
,0.0,0.0,,2.0,,,,2.0,,,2.0,,,0.0,,,2.0,,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,,,,,2.0,2.0,0.0,0.0,2.0,,2.0,,,,0.0,,Meditation
0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,,,,Multi-vitamin
,0.0,0.0,,2.0,,,,2.0,,,2.0,,,0.0,,,2.0,,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,,,,,2.0,2.0,0.0,0.0,2.0,,2.0,,0.0,,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imodium
