Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Cold Pack,Florinef,ate breakfast,Solifenacin,busy,Prednisolone,Vitamin b12,Ingefära,Fludrocortisone,Feverfew,woke up late,dairy,Piyo,A little stressed,shopping,Probiotic,Superlong nap,very active aqua class,TigerBalm,scary new shit,day at home,Passionflower,long shopping  trip,Methylprednisolone,Ginger,Hydrocortisone,digestive enzyme,had sex,PeaPure,row
,0.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,very active aqua class
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,0.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,scary new shit
,0.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,day at home
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passionflower
,2.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,,0.0,0.0,0.0,0.0,2.0,0.0,long shopping  trip
,2.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,0.0,,0.0,0.0,0.0,2.0,0.0,Methylprednisolone
,2.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Ginger
,2.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,0.0,0.0,0.0,,0.0,2.0,0.0,Hydrocortisone
,2.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,0.0,0.0,0.0,0.0,,2.0,0.0,digestive enzyme
,0.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,,2.0,had sex
,2.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,,PeaPure
