Dicyclomine,Tretinoin,Ritalin,Tranexamic acid,gluten free diet,Phyical Therapy - stretches,Fluvoxamine,Cyclizine,Selenium,Osteopathy,Monteluklast,Burbur-Pinella,Pantoprazole,Low Dose Naltrexone,Gabapentin,Metformin,Lavender oil,Tetralabs Gold Caps CBN,Solifenacin,Hydrocortisone,Fexofenadine,Darifenacin,SAM-E,Relaxing,Zolmitriptan,digestive enzyme,Methylphenidate,Clinda-derm,Ribose,Vitamin,Epsom Salts,Ubiquinol,Feverfew,Achy breaky rub,Carbomer eye drops,alverine,N-acetyl cysteine,Tetralabs Gold Caps,Tyrosine,Piyo,Magnesium malate,Green Vibrance,Benadryl,Enada,Corticosteroids,BeachBody OnDemand,Mt. Si ACDC 2x Coco Caps,Probiotic,Cefaly Unit,Weighted Blanket,Vitamin d,TigerBalm,Topiramate,Voltaren,Ropinirole,Medication,Magnesium,Midodrine,Progesterone,Esopram,Cetraben cream,Gaba,excedrin migraine,Flexeril,Valerian,Vitamin B,CuraMed,Guarana & Ginseng,Zomig,Ginger,Montelukast,Vitamin b12,Cerelle,Butterbur,Florinef,Passionflower,Inositol,Plaquenil,row
,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,0.0,,,alverine
,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,N-acetyl cysteine
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,Tetralabs Gold Caps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine
,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,Piyo
,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,Magnesium malate
,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,Green Vibrance
0.00105394509036,0.00157722353769,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,1.02965173387e-07,,,,0.0120791693814,,,0.00093716972956,,,,2.0,,,,,,,,,,,,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.00357503746954,0.0,,,,,0.000721610522536,,,2.0,,,,,Benadryl
0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,0.0,,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.0,0.0,,,,,0.0,,,2.0,,,,,Enada
0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,0.0,0.0,,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.0,0.0,,,,,0.0,,,2.0,,,,,Corticosteroids
,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,0.0349389284096,,,,,0.0352419079545,,,0.0,,,,,,,,0.0145000203265,0.0,,0.0,0.0,,,0.0,,,0.0,,,,6.32794823807e-06,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,Probiotic
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Cefaly Unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,Weighted Blanket
2.0,2.0,,,,2.0,,,,2.0,,,,,,2.0,,,,,2.0,,,,2.0,,,2.0,,,,0.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,2.0,,,2.0,,,,,0.0,2.0,2.0,,,,,2.0,,,0.0,,,,,Vitamin d
,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,TigerBalm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topiramate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ropinirole
0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,,,,0.0,,,,,2.0,0.0,0.0,,,,,0.0,,,2.0,,,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,,,,,,2.0,0.0,0.0,,,,,0.0,,,2.0,,,,,Progesterone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,Esopram
,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,0.0,,,Cetraben cream
,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,Gaba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
2.0,2.0,,,,2.0,,,,2.0,,,,,,2.0,,0.0,,,2.0,,,,2.0,,,2.0,,0.0,,0.0,,,,,,2.0,,,,,2.0,2.0,2.0,,0.0,,0.0,0.0,0.0,,,,,2.0,,,2.0,2.0,,,,,2.0,2.0,,,,,2.0,,,0.0,,,,,Flexeril
0.00850293357463,0.00988966584356,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,0.0035368022868,,,,0.00251966014559,,,0.00816555519318,,,,2.0,,,,,,,,,,,0.00357503746954,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,,0.0,,,,,0.00750295842495,,,2.0,,,,,Valerian
0.0,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.0,,,,,,0.0,,,2.0,,,,,Vitamin B
,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,CuraMed
,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,Guarana & Ginseng
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,Ginger
3.13928571293e-05,0.000165248286694,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,0.00073894987947,,,,0.0186778721463,,,1.40714265583e-05,,,,2.0,,,,,,,,,,,0.000721610522536,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.00750295842495,0.0,,,,,,,,2.0,,,,,Montelukast
,,0.0349389284096,,,,,0.0352419079545,,,0.0,,,,,,,,0.0145000203265,0.0,,0.0,0.0,,,0.0,,,0.0,,,,6.32794823807e-06,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,,,Vitamin b12
,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,Cerelle
2.0,2.0,,,,2.0,,,,2.0,,,,,,2.0,,,,,2.0,,,,2.0,,,2.0,,,,0.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,0.0,,,,,2.0,,,2.0,,,,,0.0,2.0,2.0,,,,,2.0,,,,,,,,Butterbur
,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,Florinef
,,0.0349389284096,,,,,0.0352419079545,,,0.0,,,,,,,,0.0145000203265,0.0,,0.0,0.0,,,0.0,,,0.0,,,,6.32794823807e-06,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,,,,Passionflower
,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,Inositol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaquenil
