worn out,time difference,tired,Anxious about work,Anxious when not active,lack of sleep,Did not sing in church,At Mom and Dad's,Headache after exercising outdoors,ate red meat,pms,ate breakfast,exam,busy day,busy,feeling down,alcohol,bored,distracted,expectations,dairy,Felt rested in the morning,Visited the Park,not in a rush,injury,menstruating,happy,melancholy,Rested in evening,Bible study night,No milk,Bloated,Superlong nap,Anxious,ate bread,cleaning,slow coagulation,Red Dragon Con,ate lunch,Long drive,Hangry,sore foot,anxiety,grains,heavy nosebleed,ate grains,Legs hurt in evening,good sleep,bad sleep,Spotting,restless sleep,Neurologist appointment,Felt better after walk,ate at a restaurant,nosebleed,stressed,row
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,injury
0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.11022302463e-16,2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,1.4107812272,1.11022302463e-16,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.11022302463e-16,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,menstruating
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,happy
0.0,,2.0,0.0,0.0,,0.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,,2.0,0.0,2.0,,2.0,0.0,,2.0,,,,2.0,0.0,2.0,,,,,2.0,0.0,,,,0.0,2.0,,,2.0,melancholy
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,Rested in evening
0.0,,2.0,0.0,0.0,,0.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,0.0,2.0,,2.0,,2.0,0.0,,2.0,,,,2.0,0.0,2.0,,,,,2.0,0.0,,,,0.0,2.0,,,2.0,Bible study night
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,No milk
,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,,0.0,2.0,,,,,,0.0,0.0,2.0,,0.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,2.0,0.0,2.0,Bloated
2.0,2.0,0.589218772797,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.589218772797,2.0,2.0,0.589218772797,2.0,0.589218772797,0.0,1.4107812272,0.0,1.4107812272,0.0,0.0,0.0,0.0,1.4107812272,2.0,2.0,0.0,2.0,0.0,0.0,,1.4107812272,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.4107812272,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.589218772797,Superlong nap
0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.11022302463e-16,2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,1.11022302463e-16,2.0,0.0,2.0,0.0,2.0,0.0,1.4107812272,,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.11022302463e-16,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,Anxious
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,ate bread
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,cleaning
,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,2.0,0.0,2.0,slow coagulation
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,Red Dragon Con
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,ate lunch
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,,2.0,0.0,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,Long drive
0.0,,2.0,0.0,0.0,,0.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,,2.0,0.0,,2.0,,,,2.0,,2.0,,,,,2.0,0.0,,,,0.0,2.0,,,2.0,Hangry
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,,,,,,0.0,2.0,,,,2.0,0.0,,,0.0,sore foot
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,anxiety
,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,0.0,2.0,2.0,,,,2.0,,0.0,2.0,,0.0,2.0,0.0,0.0,,,2.0,0.0,2.0,grains
,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,0.0,2.0,2.0,,,,2.0,0.0,,2.0,,0.0,2.0,0.0,0.0,,,2.0,0.0,2.0,heavy nosebleed
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,,,2.0,0.0,2.0,2.0,,,0.0,2.0,0.0,ate grains
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,,2.0,,,,2.0,0.0,,,0.0,Legs hurt in evening
0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.11022302463e-16,2.0,2.22044604925e-16,2.0,2.0,2.0,2.0,1.11022302463e-16,2.0,0.0,2.0,0.0,2.0,0.0,1.4107812272,1.11022302463e-16,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,good sleep
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,,2.0,2.0,,,0.0,2.0,0.0,bad sleep
,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,0.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,,0.0,,,2.0,0.0,2.0,Spotting
,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,0.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,,2.0,0.0,2.0,restless sleep
0.0,,2.0,0.0,0.0,,0.0,2.0,2.0,,,2.0,,,2.0,,2.0,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,0.0,2.0,0.0,2.0,,2.0,0.0,,2.0,,,,2.0,0.0,2.0,,,,,2.0,0.0,,,,,2.0,,,2.0,Neurologist appointment
2.0,,0.0,2.0,2.0,,2.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,,0.0,,,,0.0,2.0,0.0,,,,,0.0,2.0,,,,2.0,,,,0.0,Felt better after walk
,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,2.0,,,,,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,2.0,0.0,0.0,,,,0.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,,,,2.0,0.0,ate at a restaurant
,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,,,,,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,0.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,2.0,,2.0,nosebleed
2.0,0.0,2.22044604925e-16,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.11022302463e-16,0.0,0.0,2.22044604925e-16,0.0,1.11022302463e-16,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.589218772797,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,,stressed
