AM meds,BeachBody OnDemand,Cyclizine,Meticorten,Acetyl-l-carnitine,Cold Pack,Florinef,Calcium Suplment,8 hours of sleep,Calcort,Solifenacin,Hydrocortisone,Prednisolone,Ibuprofen 600mg,Spinal epidural,digestive enzyme,Ingefära,Fludrocortisone,Feverfew,Gravol,Piyo,Ketotifeno,Ritalin,Probiotic,Excedrin,Stretching,thyroid support complex,TigerBalm,Bagomicina,Vitamin d+calcium,Wellbutrin,Allegra,PeaPure,Vicodin,Singulair,Methylprednisolone,Allopurinol,Ginger,Montelukast,Vitamin b12,Sleep,Colesevelam,Zinc,Tylenol,Passionflower,Diphenhydramine,Questran,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,Gravol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,Ketotifeno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excedrin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stretching
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,thyroid support complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,Bagomicina
,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,Vitamin d+calcium
,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,Wellbutrin
,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,,,Allegra
,,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,PeaPure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Vicodin
,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,Singulair
,,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,Methylprednisolone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Allopurinol
,,,,,,0.0,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,Ginger
,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,Montelukast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.74728144648,Colesevelam
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,Zinc
,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tylenol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passionflower
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diphenhydramine
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.74728144648,,,,,,Questran
